Income Statement,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,0.74%,11.27%,4.05%,1.95%,9.80%
Total Revenues,0.74%,11.27%,4.05%,1.95%,9.80%
Cost Of Revenues,1.80%,13.13%,6.00%,4.43%,13.38%
Gross Profit,(2.38%),5.59%,(2.33%),(6.85%),(2.95%)
Selling General & Admin Expenses,0.82%,4.32%,1.46%,0.11%,3.25%
Total Operating Expenses,0.82%,4.32%,1.46%,0.11%,3.25%
Operating Income,(14.03%),11.00%,(17.48%),(41.10%),(38.74%)
Interest Expense,(10.86%),-10.26%,(17.16%),-13.61%,-17.47%
Interest And Investment Income,,,,,0.00%
Net Interest Expenses,(10.86%),-10.26%,(17.16%),-13.61%,-16.64%
Currency Exchange Gains (Loss),,,210.26%,,
Other Non Operating Income (Expenses),,(7.95%),(100.00%),,-100.00%
"EBT, Excl. Unusual Items",(14.24%),16.62%,(20.73%),(43.35%),(73.38%)
"EBT, Incl. Unusual Items",(6.30%),24.03%,(24.53%),(82.77%),
Income Tax Expense,(23.77%),31.32%,(41.08%),(38.78%),(93.50%)
Earnings From Continuing Operations,(2.15%),22.68%,(21.25%),(89.30%),
Net Income to Company,(2.15%),22.68%,(21.25%),(89.30%),
Minority Interest,(27.78%),-69.57%,,60.00%,
Net Income,(2.28%),23.20%,(20.74%),(88.55%),
NI to Common Incl Extra Items,(2.28%),23.20%,(20.74%),(88.55%),
NI to Common Excl. Extra Items,(2.28%),23.20%,(20.74%),(88.55%),
Revenue Per Share,1.63%,20.53%,11.90%,6.83%,13.40%
Basic EPS,(1.33%),33.41%,(14.77%),(88.00%),
Basic EPS - Continuing Ops,(1.33%),33.41%,(14.77%),(88.00%),
Basic Weighted Average Shares Outst.,(0.89%),(7.69%),(7.01%),(4.57%),(3.18%)
Diluted EPS,(1.05%),33.60%,(14.65%),(87.97%),
Diluted EPS - Continuing Ops,(1.05%),33.60%,(14.65%),(87.97%),
Diluted Weighted Average Shares Outst.,(1.15%),(7.74%),(7.19%),(4.68%),(3.31%)
Normalized Basic EPS,(13.64%),27.22%,(14.00%),(39.98%),(71.04%)
Normalized Diluted EPS,(13.53%),27.15%,(13.96%),(39.86%),(71.00%)
Dividend Per Share,4.45%,7.19%,8.41%,3.37%,2.59%
Payout Ratio,6.37%,(13.14%),19.22%,828.54%,
EBITDA,(12.31%),10.31%,(10.78%),(32.72%),(29.94%)
EBITA,(13.38%),12.11%,(15.30%),(38.69%),(34.89%)
EBIT,(14.03%),11.00%,(17.48%),(41.10%),(38.74%)
EBITDAR,(9.55%),8.83%,(5.79%),(16.97%),
Effective Tax Rate,(18.65%),5.91%,(21.92%),255.40%,
Normalized Net Income,(14.44%),17.25%,(20.04%),(42.66%),(71.96%)
R&D Expense From Footnotes,2.94%,3.67%,7.48%,15.02%,15.02%
Foreign Sales,(7.86%),7.22%,(2.44%),(1.54%),
