Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,11352.0,12185.0,13988.0,13448.0,12172.0,13069.0
Total Revenues,11352.0,12185.0,13988.0,13448.0,12172.0,13069.0
Cost Of Revenues,7525.0,8002.0,9243.0,9054.0,8437.0,9037.0
Gross Profit,3827.0,4183.0,4745.0,4394.0,3735.0,4032.0
Selling General & Admin Expenses,1441.0,1577.0,1591.0,1489.0,1377.0,1421.0
R&D Expenses,603.0,611.0,680.0,644.0,613.0,630.0
Other Operating Expense/(Income),21.0,1.0,(12.0),,,3.0
Total Operating Expenses,2065.0,2189.0,2259.0,2133.0,1990.0,2054.0
Operating Income,1762.0,1994.0,2486.0,2261.0,1745.0,1978.0
Interest Expense,(127.0),(130.0),(107.0),(68.0),(48.0),(53.0)
Interest And Investment Income,17.0,16.0,15.0,19.0,15.0,15.0
Net Interest Expenses,(110.0),(114.0),(92.0),(49.0),(33.0),(38.0)
Other Non Operating Income (Expenses),18.0,(8.0),(2.0),1.0,(3.0),(15.0)
"EBT, Excl. Unusual Items",1670.0,1872.0,2392.0,2213.0,1709.0,1925.0
"EBT, Incl. Unusual Items",1021.0,1720.0,2240.0,1931.0,524.0,1510.0
Income Tax Expense,(826.0),180.0,(344.0),(15.0),783.0,460.0
Earnings From Continuing Operations,1847.0,1540.0,2584.0,1946.0,(259.0),1050.0
Earnings Of Discontinued Operations,162.0,143.0,(19.0),(102.0),18.0,26.0
Net Income to Company,2009.0,1683.0,2565.0,1844.0,(241.0),1076.0
Net Income,2009.0,1683.0,2565.0,1844.0,(241.0),1076.0
NI to Common Incl Extra Items,2009.0,1683.0,2565.0,1844.0,(241.0),1076.0
NI to Common Excl. Extra Items,1847.0,1540.0,2584.0,1946.0,(259.0),1050.0
Revenue Per Share,$31.02,$34.32,$39.97,$39.79,$36.66,$39.54
Basic EPS,$5.49,$4.74,$7.33,$5.46,($0.73),$3.26
Basic EPS - Continuing Ops,$5.05,$4.34,$7.38,$5.76,($0.78),$3.18
Basic Weighted Average Shares Outst.,366.0,355.0,350.0,338.0,332.0,330.5
Diluted EPS,$5.45,$4.70,$7.27,$5.42,($0.73),$3.24
Diluted EPS - Continuing Ops,$5.01,$4.30,$7.32,$5.72,($0.78),$3.16
Diluted Weighted Average Shares Outst.,369.0,358.0,353.0,340.0,332.0,331.5
Normalized Basic EPS,$2.85,$3.30,$4.27,$4.09,$3.22,$3.64
Normalized Diluted EPS,$2.83,$3.27,$4.24,$4.07,$3.22,$3.63
Dividend Per Share,$1.40,$1.54,$1.68,$1.80,$1.88,$1.92
Payout Ratio,25.34%,32.44%,22.92%,32.97%,NM,59.11%
EBITDA,2322.0,2605.0,3153.0,2951.0,2456.0,2715.0
EBITA,1911.0,2163.0,2666.0,2441.0,1927.0,2165.0
EBIT,1762.0,1994.0,2486.0,2261.0,1745.0,1978.0
EBITDAR,2459.0,2752.0,3294.0,3113.0,2613.0,
Effective Tax Rate,NM,10.5%,NM,NM,149.4%,30.5%
Normalized Net Income,1043.8,1170.0,1495.0,1383.1,1068.1,1203.1
R&D Expense From Footnotes,603.0,611.0,680.0,644.0,613.0,630.0
Foreign Sales,8373.0,9169.0,10510.0,10197.0,9294.0,
