Income Statement,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,10.02%,13.31%,5.42%,2.57%,2.29%
Total Revenues,10.02%,13.31%,5.42%,2.57%,2.29%
Cost Of Revenues,11.06%,13.52%,4.92%,1.51%,1.72%
Gross Profit,7.73%,12.84%,6.57%,4.97%,3.53%
Selling General & Admin Expenses,8.43%,11.24%,6.29%,6.46%,3.19%
Total Operating Expenses,8.43%,11.24%,6.29%,6.46%,3.19%
Operating Income,6.92%,14.69%,6.89%,3.31%,3.91%
Interest Expense,-4.39%,(25.69%),(17.52%),(44.02%),(36.93%)
Interest And Investment Income,24.46%,48.49%,55.33%,(20.77%),(59.41%)
Net Interest Expenses,57.42%,64.31%,75.40%,(43.82%),(96.02%)
Currency Exchange Gains (Loss),,,-1.72%,,
Other Non Operating Income (Expenses),,,-57.42%,"(3,739.48%)",
"EBT, Excl. Unusual Items",10.38%,11.00%,7.64%,3.05%,4.66%
"EBT, Incl. Unusual Items",(17.62%),25.82%,7.64%,8.36%,9.71%
Income Tax Expense,(21.76%),62.42%,(11.79%),13.05%,9.00%
Earnings From Continuing Operations,(16.43%),15.95%,14.99%,7.00%,9.92%
Net Income to Company,(16.43%),15.95%,14.99%,7.00%,9.92%
Minority Interest,-20.16%,-18.49%,-56.60%,(15.41%),(20.85%)
Net Income,(16.21%),17.84%,17.71%,6.88%,9.77%
NI to Common Incl Extra Items,(16.21%),17.84%,17.71%,6.88%,9.77%
NI to Common Excl. Extra Items,(16.21%),17.84%,17.71%,6.88%,9.77%
Revenue Per Share,10.85%,11.81%,3.82%,2.87%,2.52%
Basic EPS,(15.57%),16.19%,15.94%,7.17%,10.02%
Basic EPS - Continuing Ops,(15.57%),16.19%,15.94%,7.17%,10.02%
Basic Weighted Average Shares Outst.,(0.75%),1.35%,1.53%,(0.28%),(0.23%)
Diluted EPS,(15.63%),16.56%,16.10%,7.26%,10.24%
Diluted EPS - Continuing Ops,(15.63%),16.56%,16.10%,7.26%,10.24%
Diluted Weighted Average Shares Outst.,(1.09%),(0.78%),(0.78%),(0.37%),(0.44%)
Normalized Basic EPS,13.94%,11.27%,8.83%,3.09%,4.61%
Normalized Diluted EPS,14.32%,13.81%,11.44%,3.15%,4.84%
Dividend Per Share,9.96%,9.84%,(19.00%),45.13%,43.33%
Payout Ratio,30.36%,(5.38%),(5.36%),2.27%,(0.20%)
EBITDA,7.60%,14.80%,6.63%,4.51%,5.43%
EBITA,7.40%,14.66%,6.81%,4.18%,4.77%
EBIT,6.92%,14.69%,6.89%,3.31%,3.91%
EBITDAR,7.50%,,,,
Effective Tax Rate,(5.03%),29.11%,(18.07%),4.34%,(0.65%)
Normalized Net Income,13.05%,12.82%,10.50%,2.83%,4.38%
R&D Expense From Footnotes,9.47%,12.28%,1.13%,8.86%,8.86%
Foreign Earnings,,,6.89%,3.31%,
Foreign Sales,58.14%,13.31%,5.42%,2.57%,
