Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7251.0,7304.0,8453.0,8479.0,6090.0,5456.0
Total Revenues,7251.0,7304.0,8453.0,8479.0,6090.0,5456.0
Cost Of Revenues,7352.0,6412.0,7009.0,7634.0,5656.0,5090.0
Gross Profit,(101.0),892.0,1444.0,845.0,434.0,366.0
Selling General & Admin Expenses,1338.0,1169.0,1233.0,1303.0,968.0,929.0
Total Operating Expenses,1338.0,1169.0,1233.0,1303.0,968.0,929.0
Operating Income,"(1,439.0)",(277.0),211.0,(458.0),(534.0),(563.0)
Interest Expense,(105.0),(102.0),(93.0),(100.0),(84.0),(82.0)
Interest And Investment Income,15.0,25.0,25.0,20.0,7.0,6.0
Net Interest Expenses,(90.0),(77.0),(68.0),(80.0),(77.0),(76.0)
Currency Exchange Gains (Loss),(10.0),(3.0),(52.0),(36.0),(2.0),(2.0)
Other Non Operating Income (Expenses),(91.0),(30.0),(47.0),(54.0),(15.0),(22.0)
"EBT, Excl. Unusual Items","(1,651.0)",(392.0),41.0,(641.0),(888.0),(694.0)
"EBT, Incl. Unusual Items","(2,623.0)",(392.0),41.0,"(6,462.0)","(2,779.0)",(694.0)
Income Tax Expense,(207.0),(156.0),63.0,(369.0),(242.0),(92.0)
Earnings From Continuing Operations,"(2,416.0)",(236.0),(22.0),"(6,093.0)","(2,537.0)",(602.0)
Net Income to Company,"(2,416.0)",(236.0),(22.0),"(6,093.0)","(2,537.0)",(602.0)
Minority Interest,4.0,(1.0),(9.0),(2.0),(5.0),(8.0)
Net Income,"(2,412.0)",(237.0),(31.0),"(6,095.0)","(2,542.0)",(610.0)
NI to Common Incl Extra Items,"(2,412.0)",(237.0),(31.0),"(6,095.0)","(2,542.0)",(610.0)
NI to Common Excl. Extra Items,"(2,412.0)",(237.0),(31.0),"(6,095.0)","(2,542.0)",(610.0)
Revenue Per Share,$19.28,$19.37,$22.36,$22.20,$15.86,$14.19
Basic EPS,($6.41),($0.63),($0.08),($15.96),($6.62),($1.59)
Basic EPS - Continuing Ops,($6.41),($0.63),($0.08),($15.96),($6.62),($1.59)
Basic Weighted Average Shares Outst.,376.0,377.0,378.0,382.0,384.0,384.5
Diluted EPS,($6.41),($0.63),($0.08),($15.96),($6.62),($1.59)
Diluted EPS - Continuing Ops,($6.41),($0.63),($0.08),($15.96),($6.62),($1.59)
Diluted Weighted Average Shares Outst.,376.0,377.0,378.0,382.0,384.0,384.5
Normalized Basic EPS,($2.73),($0.65),$0.04,($1.05),($1.46),($1.15)
Normalized Diluted EPS,($2.73),($0.65),$0.04,($1.05),($1.46),($1.15)
Dividend Per Share,$0.61,$0.20,$0.20,$0.20,$0.05,$0.00
Payout Ratio,NM,NM,NM,NM,NM,
EBITDA,(736.0),421.0,901.0,107.0,(151.0),(206.0)
EBITA,"(1,439.0)",(277.0),211.0,(280.0),(485.0),(514.0)
EBIT,"(1,439.0)",(277.0),211.0,(458.0),(534.0),(563.0)
EBITDAR,(490.0),,,279.0,(1.0),
Effective Tax Rate,NM,NM,153.7%,NM,NM,NM
Normalized Net Income,"(1,027.9)",(246.0),16.6,(402.6),(560.0),(441.8)
Interest on Long-Term Debt,105.0,102.0,93.0,100.0,84.0,
Foreign Sales,5290.0,4544.0,4973.0,5367.0,4456.0,
