Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,(4.82%),6.78%,(5.68%),(7.55%),(6.00%)
Other Revenues,8.79%,12.88%,2.46%,2.40%,4.14%
Total Revenues,(4.65%),6.86%,(5.57%),(7.39%),(5.84%)
Cost Of Revenues,(1.49%),7.02%,(9.15%),(5.89%),(3.66%)
Gross Profit,(11.30%),6.48%,2.84%,(10.50%),(10.23%)
Selling General & Admin Expenses,(7.97%),(3.39%),1.13%,(7.32%),(7.86%)
R&D Expenses,(13.07%),11.88%,10.50%,1.74%,(0.21%)
Other Operating Expense/(Income),,"45,033.33%",,,
Total Operating Expenses,(4.03%),19.70%,(18.88%),4.08%,(1.40%)
Operating Income,(30.10%),(40.49%),158.08%,(43.26%),(33.67%)
Interest Expense,(12.08%),(5.69%),-11.90%,(6.75%),-11.38%
Interest And Investment Income,(0.95%),0.00%,(38.46%),(31.25%),0.00%
Net Interest Expenses,(19.17%),(8.26%),-0.80%,(16.60%),-80.22%
Currency Exchange Gains (Loss),(50.00%),,(98.74%),650.00%,
Other Non Operating Income (Expenses),93.41%,,,(63.64%),(49.06%)
"EBT, Excl. Unusual Items",(34.26%),(40.99%),201.74%,(46.08%),(38.83%)
"EBT, Incl. Unusual Items",(92.95%),(1.47%),479.48%,,
Income Tax Expense,,(963.41%),,,
Earnings From Continuing Operations,(86.53%),361.47%,(47.86%),,
Earnings Of Discontinued Operations,(21.05%),(13.04%),,,
Net Income to Company,(89.12%),454.65%,(45.02%),,
Net Income,(89.12%),454.65%,(45.02%),,
NI to Common Incl Extra Items,(89.12%),454.65%,(45.02%),,
NI to Common Excl. Extra Items,(86.53%),361.47%,(47.86%),,
Revenue Per Share,(0.68%),15.04%,6.71%,(3.15%),(3.38%)
Basic EPS,(88.64%),494.23%,(37.97%),,
Basic EPS - Continuing Ops,(85.98%),406.11%,(41.26%),,
Basic Weighted Average Shares Outst.,(4.02%),(7.11%),(11.51%),(4.36%),(2.54%)
Diluted EPS,(88.73%),487.16%,(37.40%),,
Diluted EPS - Continuing Ops,(86.02%),400.00%,(40.77%),,
Diluted Weighted Average Shares Outst.,(3.74%),(7.23%),(12.04%),(5.27%),(3.56%)
Normalized Basic EPS,(31.39%),(36.47%),245.45%,(43.70%),(37.24%)
Normalized Diluted EPS,(31.74%),(36.37%),242.17%,(43.26%),(36.57%)
Dividend Per Share,18.18%,44.23%,18.42%,6.67%,4.92%
Payout Ratio,954.39%,(75.99%),94.04%,,
EBITDA,(10.97%),(16.26%),47.18%,(21.52%),(16.39%)
EBITA,(25.73%),(35.87%),123.62%,(36.13%),(28.15%)
EBIT,(30.10%),(40.49%),158.08%,(43.26%),(33.67%)
EBITDAR,(10.66%),,,,
Effective Tax Rate,,,,(16.33%),434.78%
Normalized Net Income,(34.26%),(40.99%),201.74%,(46.08%),(38.83%)
Interest on Long-Term Debt,9.51%,5.34%,(3.65%),(0.82%),
R&D Expense From Footnotes,(13.07%),11.88%,10.50%,1.74%,(0.21%)
Foreign Sales,(5.50%),9.61%,(5.36%),(8.86%),
