Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9.88%,9.30%,9.43%,(3.58%),(1.60%)
Total Revenues,9.88%,9.30%,9.43%,(3.58%),(1.60%)
Cost Of Revenues,11.01%,10.39%,10.02%,2.16%,4.96%
Gross Profit,9.32%,8.74%,9.13%,(6.56%),(5.03%)
Selling General & Admin Expenses,11.14%,9.77%,3.54%,(4.40%),0.30%
R&D Expenses,10.07%,9.53%,12.65%,1.34%,1.80%
Total Operating Expenses,11.32%,9.91%,5.36%,(3.09%),1.55%
Operating Income,5.47%,6.36%,17.07%,(13.13%),(17.61%)
Interest Expense,(8.33%),(6.88%),(8.71%),(9.76%),(9.76%)
Interest And Investment Income,106.90%,98.33%,30.25%,,
Net Interest Expenses,-6.03%,-22.46%,-8.97%,(138.64%),(140.46%)
Currency Exchange Gains (Loss),-52.63%,-33.33%,,114.29%,66.67%
Other Non Operating Income (Expenses),(14.81%),-32.26%,-19.05%,,-52.63%
"EBT, Excl. Unusual Items",6.81%,9.14%,19.25%,(17.41%),(23.58%)
"EBT, Incl. Unusual Items",7.39%,14.20%,8.74%,(23.73%),(35.22%)
Income Tax Expense,280.66%,,,(25.89%),(36.42%)
Earnings From Continuing Operations,(38.07%),248.33%,(41.37%),(23.24%),(34.94%)
Net Income to Company,(38.07%),248.33%,(41.37%),(23.24%),(34.94%)
Net Income,(38.07%),248.33%,(41.37%),(23.24%),(34.94%)
NI to Common Incl Extra Items,(38.07%),248.33%,(41.37%),(23.24%),(34.94%)
NI to Common Excl. Extra Items,(38.07%),248.33%,(41.37%),(23.24%),(34.94%)
Revenue Per Share,9.92%,9.28%,9.45%,(3.97%),(2.00%)
Basic EPS,(38.02%),247.89%,(41.37%),(23.55%),(35.19%)
Basic EPS - Continuing Ops,(38.02%),247.89%,(41.37%),(23.55%),(35.19%)
Basic Weighted Average Shares Outst.,(0.03%),0.03%,(0.03%),0.40%,0.40%
Diluted EPS,(38.39%),248.51%,(41.33%),(23.36%),(35.14%)
Diluted EPS - Continuing Ops,(38.39%),248.51%,(41.33%),(23.36%),(35.14%)
Diluted Weighted Average Shares Outst.,0.42%,0.05%,(0.11%),0.11%,0.21%
Normalized Basic EPS,6.87%,9.05%,19.22%,(17.67%),(23.88%)
Normalized Diluted EPS,6.24%,9.11%,19.47%,(17.49%),(23.74%)
Dividend Per Share,11.15%,10.29%,10.62%,10.05%,(18.72%)
Payout Ratio,80.79%,(68.27%),88.73%,44.50%,70.64%
EBITDA,7.58%,7.55%,15.18%,(9.87%),(11.78%)
EBITA,6.66%,7.08%,16.34%,(11.34%),(13.72%)
EBIT,5.47%,6.36%,17.07%,(13.13%),(17.61%)
EBITDAR,7.72%,7.65%,14.49%,(9.63%),
Effective Tax Rate,254.54%,,,(2.85%),(1.85%)
Normalized Net Income,6.81%,9.14%,19.25%,(17.41%),(23.58%)
Interest on Long-Term Debt,8.33%,6.88%,8.71%,9.76%,
R&D Expense From Footnotes,10.07%,9.53%,12.65%,1.34%,1.80%
Foreign Sales,9.37%,10.87%,4.64%,(0.79%),
