Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,2405.8,2512.4,2597.6,2684.6,2721.6,2721.6
Other Revenue,208.4,231.8,265.4,240.1,273.9,273.9
Total Revenues,2614.2,2744.2,2863.0,2924.7,2995.6,2995.6
Property Expenses,669.1,708.0,757.1,813.2,867.5,867.5
Selling General & Admin Exp.,82.3,82.2,103.6,60.9,77.1,77.1
Depreciation & Amortization,433.3,454.5,483.6,512.9,553.3,553.3
Other Operating Expenses,1.4,0.7,1.1,1.2,1.3,1.3
Total Operating Expenses,1186.1,1245.4,1345.4,1388.2,1499.1,1499.1
Operating Income,1428.2,1498.8,1517.6,1536.4,1496.5,1496.5
Total Interest Expense,(4.2),(12.7),(32.5),(45.6),(56.3),(56.3)
Interest and Investment Income,4.5,7.9,14.7,17.8,13.7,13.7
Net Interest Expenses,0.3,(4.8),(17.9),(27.9),(42.6),(42.6)
Other Non Operating Income,10.6,10.9,161.5,8.9,8.6,8.6
"EBT, Excl. Unusual Items",1456.7,1454.8,1679.3,1525.3,1364.6,1364.6
Gain (Loss) on Sale of Assets,0.7,1.4,37.9,0.3,1.5,1.5
Asset Writedown,,,,,(3.2),(3.2)
Other Unusual Items,,(7.8),,,,
"EBT, Incl. Unusual Items",1460.4,1448.5,1717.2,1525.7,1361.2,1361.2
Earnings From Continuing Operations,1460.4,1448.5,1717.2,1525.7,1361.2,1361.2
Net Income to Company,1460.4,1448.5,1717.2,1525.7,1361.2,1361.2
Minority Interest,(6.9),(6.2),(6.2),(5.1),(4.0),(4.0)
Net Income,1453.6,1442.2,1711.0,1520.5,1357.2,1357.2
Pref. Dividends and Other Adj.,269.7,270.6,222.1,247.8,258.9,258.9
NI to Common Incl Extra Items,1183.9,1171.6,1488.9,1272.8,1098.3,1098.3
NI to Common Excl. Extra Items,1183.9,1171.6,1488.9,1272.8,1098.3,1098.3
Revenue Per Share,$15.10,$15.81,$16.46,$16.78,$17.17,$17.17
Basic EPS,$6.84,$6.75,$8.56,$7.30,$6.29,$6.29
Basic EPS - Continuing Ops,$6.84,$6.75,$8.56,$7.30,$6.29,$6.29
Basic Weighted Average Shares Outst.,173.1,173.6,174.0,174.3,174.5,174.5
Diluted EPS,$6.81,$6.73,$8.54,$7.29,$6.29,$6.29
Diluted EPS - Continuing Ops,$6.81,$6.73,$8.54,$7.29,$6.29,$6.29
Diluted Weighted Average Shares Outst.,173.9,174.2,174.3,174.5,174.6,174.6
Normalized Basic EPS,$5.22,$5.20,$6.00,$5.44,$4.86,$4.86
Normalized Diluted EPS,$5.20,$5.19,$5.99,$5.43,$4.86,$4.86
Dividend Per Share,$7.30,$8.00,$8.00,$8.00,$8.00,$8.00
Payout Ratio,103.59%,113.04%,94.25%,105.80%,118.36%,118.36%
FFO,1687.3,1689.6,1821.4,1845.8,1702.4,1702.4
FFO Payout Ratio %,75.12%,82.49%,76.66%,75.77%,82.20%,82.20%
AFFO,1687.3,1689.6,1821.4,1845.8,1702.4,1702.4
Funds Available for Distribution,1687.3,1689.6,1821.4,1845.8,1702.4,1702.4
FFO Per Share (Diluted),$9.70,$9.70,$10.45,$10.58,$9.75,$9.75
FFO Shares (Diluted),173.9,174.2,174.3,174.5,174.6,174.6
Adjusted FFO Per Share (Diluted),$9.70,$9.70,$10.45,$10.58,$9.75,$9.75
EBITDA,1861.5,1953.3,2001.2,2049.4,2049.7,2049.7
EBITA,1449.9,1513.8,1534.2,1553.2,1512.6,1512.6
EBIT,1428.2,1498.8,1517.6,1536.4,1496.5,1496.5
Normalized Net Income,903.5,903.0,1043.4,948.2,848.8,848.8
Interest Capitalized,5.1,4.4,4.8,3.9,3.4,3.4
