Income Statement,Oct 2016,Oct 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,18998.3,20005.7,22342.5,24419.4,21491.7,21858.9
Other Revenues,2317.6,2381.1,2377.0,2089.2,2026.3,1791.1
Total Revenues,21315.9,22386.8,24719.5,26508.6,23518.0,23650.0
Cost Of Revenues,14573.3,15552.2,17402.9,19020.5,18376.9,18524.7
Gross Profit,6742.6,6834.6,7316.6,7488.1,5141.1,5125.3
Selling General & Admin Expenses,1408.9,1408.4,1704.6,1824.1,1679.6,1775.4
Depreciation & Amortization,980.8,1011.4,1247.0,1377.3,1431.3,1456.5
Other Operating Expense/(Income),499.2,518.0,554.9,371.0,430.3,413.1
Total Operating Expenses,2888.9,2937.8,3506.5,3572.4,3541.2,3645.0
Operating Income,3853.7,3896.8,3810.1,3915.7,1599.9,1480.3
Interest Expense,(81.3),(92.5),(170.3),(331.0),(437.0),(481.7)
Interest And Investment Income,153.0,16.7,33.0,131.3,45.0,59.7
Net Interest Expenses,71.7,(75.8),(137.3),(199.7),(392.0),(422.0)
Currency Exchange Gains (Loss),(106.8),62.7,6.5,(27.9),0.3,0.3
Other Non Operating Income (Expenses),54.8,105.9,157.2,(7.8),(10.5),(10.5)
"EBT, Excl. Unusual Items",4191.6,4381.0,4137.7,3978.3,1520.2,1388.4
"EBT, Incl. Unusual Items",4198.6,4317.5,5780.0,4466.2,1164.4,943.0
Income Tax Expense,1379.7,1432.6,1262.0,871.6,239.7,332.2
Earnings From Continuing Operations,2818.9,2884.9,4518.0,3594.6,924.7,610.8
Net Income to Company,2818.9,2884.9,4518.0,3594.6,924.7,610.8
Minority Interest,(1.2),(0.2),0.3,4.6,3.6,(0.4)
Net Income,2817.7,2884.7,4518.3,3599.2,928.3,610.4
NI to Common Incl Extra Items,2817.7,2884.7,4518.3,3599.2,928.3,610.4
NI to Common Excl. Extra Items,2817.7,2884.7,4518.3,3599.2,928.3,610.4
Revenue Per Share,$14.48,$15.44,$17.88,$21.71,$20.05,$20.18
Basic EPS,$1.91,$1.99,$3.27,$2.95,$0.79,$0.52
Basic EPS - Continuing Ops,$1.91,$1.99,$3.27,$2.95,$0.79,$0.52
Basic Weighted Average Shares Outst.,1471.6,1449.5,1382.7,1221.2,1172.8,1171.9
Diluted EPS,$1.90,$1.97,$3.24,$2.92,$0.79,$0.52
Diluted EPS - Continuing Ops,$1.90,$1.97,$3.24,$2.92,$0.79,$0.52
Diluted Weighted Average Shares Outst.,1486.7,1461.5,1394.6,1233.2,1181.8,1180.9
Normalized Basic EPS,$1.78,$1.89,$1.87,$2.04,$0.81,$0.74
Normalized Diluted EPS,$1.76,$1.87,$1.85,$2.02,$0.81,$0.73
Dividend Per Share,$0.85,$1.05,$1.32,$1.49,$1.68,$0.86
Payout Ratio,41.81%,50.28%,38.59%,48.94%,207.21%,330.32%
EBITDA,4883.8,4963.9,5116.0,5365.0,3103.1,3009.5
EBITA,3911.0,3954.3,3996.6,4148.5,1823.6,1704.0
EBIT,3853.7,3896.8,3810.1,3915.7,1599.9,1480.3
EBITDAR,6092.4,6277.6,7366.5,7776.2,5544.2,
Effective Tax Rate,32.9%,33.2%,21.8%,19.5%,20.6%,35.2%
Normalized Net Income,2618.6,2737.9,2586.4,2491.0,953.7,867.4
Interest on Long-Term Debt,81.3,92.5,,331.0,,
Foreign Sales,5541.1,5859.7,7310.1,7885.9,6638.2,
