Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6098.0,6920.9,8138.4,8175.4,10116.5,10116.5
Total Revenues,6098.0,6920.9,8138.4,8175.4,10116.5,10116.5
Cost Of Revenues,5200.4,5988.6,7064.1,7127.5,8896.8,8896.8
Gross Profit,897.6,932.3,1074.3,1048.0,1219.7,1219.7
Selling General & Admin Expenses,41.8,44.3,45.3,44.0,18.4,18.4
Depreciation & Amortization,46.8,49.3,54.0,51.0,57.0,57.0
Other Operating Expense/(Income),138.9,142.5,178.4,186.3,203.9,203.9
Total Operating Expenses,227.4,236.1,277.7,281.3,279.3,279.3
Operating Income,670.2,696.3,796.6,766.7,940.4,940.4
Interest And Investment Income,11.6,13.2,19.2,22.8,10.4,10.4
Net Interest Expenses,11.6,13.2,19.2,22.8,10.4,10.4
Other Non Operating Income (Expenses),5.1,5.1,2.6,6.3,5.7,5.7
"EBT, Excl. Unusual Items",686.9,714.6,818.3,795.8,956.6,956.6
"EBT, Incl. Unusual Items",686.9,718.6,818.3,795.8,956.6,956.6
Income Tax Expense,254.3,228.2,198.5,203.8,258.4,258.4
Earnings From Continuing Operations,432.5,490.4,619.8,592.0,698.2,698.2
Net Income to Company,432.5,490.4,619.8,592.0,698.2,698.2
Minority Interest,(1.7),(1.0),(1.6),(1.6),(2.1),(2.1)
Net Income,430.8,489.3,618.2,590.4,696.1,696.1
NI to Common Incl Extra Items,430.8,489.3,618.2,590.4,696.1,696.1
NI to Common Excl. Extra Items,430.8,489.3,618.2,590.4,696.1,696.1
Revenue Per Share,$33.64,$38.61,$46.74,$47.84,$60.10,$60.10
Basic EPS,$2.38,$2.73,$3.55,$3.45,$4.14,$4.14
Basic EPS - Continuing Ops,$2.38,$2.73,$3.55,$3.45,$4.14,$4.14
Basic Weighted Average Shares Outst.,181.3,179.2,174.1,170.9,168.3,168.3
Diluted EPS,$2.36,$2.69,$3.48,$3.39,$4.07,$4.07
Diluted EPS - Continuing Ops,$2.36,$2.69,$3.48,$3.39,$4.07,$4.07
Diluted Weighted Average Shares Outst.,182.7,181.7,177.8,174.2,170.9,170.9
Normalized Basic EPS,$2.36,$2.49,$2.93,$2.90,$3.54,$3.54
Normalized Diluted EPS,$2.34,$2.45,$2.87,$2.85,$3.49,$3.49
Dividend Per Share,$0.80,$0.84,$0.90,$1.00,$1.04,$1.04
Payout Ratio,33.69%,30.75%,25.37%,28.89%,25.13%,25.13%
EBITDA,717.0,745.6,850.6,817.6,997.4,997.4
EBITA,670.2,696.3,796.6,766.7,940.4,940.4
EBIT,670.2,696.3,796.6,766.7,940.4,940.4
EBITDAR,779.3,814.5,940.0,925.4,1115.7,1115.7
Effective Tax Rate,37.0%,31.8%,24.3%,25.6%,27.0%,27.0%
Normalized Net Income,427.6,445.6,509.9,495.8,595.8,595.8
Foreign Earnings,419.5,422.4,486.5,443.4,609.5,609.5
Foreign Sales,4415.0,5204.7,5971.3,5466.7,7343.7,7343.7
