Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,12866.8,14134.7,14983.5,16039.1,12531.6,12531.6
Total Revenues,12866.8,14134.7,14983.5,16039.1,12531.6,12531.6
Cost Of Revenues,8668.5,9510.2,10156.5,10722.2,8997.2,8997.2
Gross Profit,4198.3,4624.5,4827.1,5316.9,3534.4,3534.4
Selling General & Admin Expenses,2395.6,2576.1,2786.4,3170.7,3104.7,3104.7
Total Operating Expenses,2395.6,2576.1,2786.4,3170.7,3104.7,3104.7
Operating Income,1802.6,2048.4,2040.7,2146.2,429.7,429.7
Interest Expense,(19.6),(18.8),(16.4),(9.7),(88.1),(88.1)
Interest And Investment Income,3.1,11.2,26.6,27.8,4.7,4.7
Net Interest Expenses,(16.5),(7.7),10.2,18.1,(83.4),(83.4)
"EBT, Excl. Unusual Items",1786.2,2040.7,2050.9,2164.3,346.3,346.3
"EBT, Incl. Unusual Items",1786.2,2040.7,2050.9,2164.3,106.3,106.3
Income Tax Expense,668.5,678.0,463.4,503.4,20.9,20.9
Earnings From Continuing Operations,1117.7,1362.8,1587.5,1660.9,85.4,85.4
Net Income to Company,1117.7,1362.8,1587.5,1660.9,85.4,85.4
Net Income,1117.7,1362.8,1587.5,1660.9,85.4,85.4
NI to Common Incl Extra Items,1117.7,1362.8,1587.5,1660.9,85.4,85.4
NI to Common Excl. Extra Items,1117.7,1362.8,1587.5,1660.9,85.4,85.4
Revenue Per Share,$32.81,$37.08,$40.55,$44.74,$35.56,$35.56
Basic EPS,$2.85,$3.58,$4.30,$4.63,$0.24,$0.24
Basic EPS - Continuing Ops,$2.85,$3.58,$4.30,$4.63,$0.24,$0.24
Basic Weighted Average Shares Outst.,392.1,381.2,369.5,358.5,352.4,352.4
Diluted EPS,$2.83,$3.55,$4.26,$4.60,$0.24,$0.24
Diluted EPS - Continuing Ops,$2.83,$3.55,$4.26,$4.60,$0.24,$0.24
Diluted Weighted Average Shares Outst.,395.0,384.3,372.7,361.2,354.6,354.6
Normalized Basic EPS,$2.85,$3.35,$3.47,$3.77,$0.61,$0.61
Normalized Diluted EPS,$2.83,$3.32,$3.44,$3.75,$0.61,$0.61
Dividend Per Share,$0.57,$0.71,$0.93,$1.05,$0.29,$0.29
Payout Ratio,19.20%,18.16%,21.24%,22.26%,118.77%,118.77%
EBITDA,2105.2,2361.6,2371.1,2497.1,794.0,794.0
EBITA,1802.6,2048.4,2040.7,2146.2,429.7,429.7
EBIT,1802.6,2048.4,2040.7,2146.2,429.7,429.7
EBITDAR,2610.4,2894.0,2940.9,3311.1,1635.3,1635.3
Effective Tax Rate,37.4%,33.2%,22.6%,23.3%,19.7%,19.7%
Normalized Net Income,1116.3,1275.5,1281.8,1352.7,216.4,216.4
Interest Capitalized,0.0,0.7,2.5,4.4,12.3,12.3
Interest on Long-Term Debt,18.6,18.6,17.9,13.1,88.5,88.5
