Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,3171.4,3504.3,3811.0,5223.0,5103.0,4746.0
Total Revenues,3171.4,3504.3,3811.0,5223.0,5103.0,4746.0
Cost Of Revenues,1411.6,1499.0,1627.0,2324.0,2409.0,2300.0
Gross Profit,1759.8,2005.2,2184.0,2899.0,2694.0,2446.0
Selling General & Admin Expenses,356.9,414.4,450.0,665.0,685.0,672.0
Total Operating Expenses,434.3,503.6,522.0,800.0,854.0,830.0
Operating Income,1325.5,1501.6,1662.0,2099.0,1840.0,1616.0
Interest Expense,(483.9),(602.6),(663.0),(859.0),"(1,029.0)","(1,048.0)"
Net Interest Expenses,(483.9),(602.6),(663.0),(859.0),"(1,029.0)","(1,048.0)"
Currency Exchange Gains (Loss),,,,,(1.6),(1.6)
Other Non Operating Income (Expenses),,(1.2),,(5.0),52.6,53.6
"EBT, Excl. Unusual Items",841.7,897.9,999.0,1235.0,862.0,620.0
"EBT, Incl. Unusual Items",768.1,837.4,986.0,1063.0,740.0,500.0
Income Tax Expense,181.7,208.9,24.0,222.0,87.0,31.0
Earnings From Continuing Operations,586.4,628.5,962.0,841.0,653.0,469.0
Earnings Of Discontinued Operations,,(31.7),(5.0),51.0,47.0,(24.0)
Net Income to Company,586.4,596.9,957.0,892.0,700.0,445.0
Minority Interest,,,,(2.0),(1.0),0.0
Net Income,586.4,596.9,957.0,890.0,699.0,445.0
Preferred Dividend and Other Adjustments,3.0,159.3,56.0,111.0,185.0,73.0
NI to Common Incl Extra Items,583.4,437.6,901.0,779.0,514.0,372.0
NI to Common Excl. Extra Items,583.4,469.3,906.0,728.0,467.0,396.0
Revenue Per Share,$56.47,$63.11,$68.54,$92.77,$89.06,$83.81
Basic EPS,$10.39,$7.88,$16.21,$13.84,$8.97,$6.57
Basic EPS - Continuing Ops,$10.39,$8.45,$16.29,$12.93,$8.15,$6.99
Basic Weighted Average Shares Outst.,56.2,55.5,55.6,56.3,57.3,56.6
Diluted EPS,$10.39,$7.88,$16.21,$13.84,$8.97,$6.57
Diluted EPS - Continuing Ops,$10.39,$8.45,$16.29,$12.93,$8.15,$6.99
Diluted Weighted Average Shares Outst.,56.2,55.5,55.6,56.3,57.3,56.6
Normalized Basic EPS,$9.37,$10.11,$11.23,$13.67,$9.38,$6.84
Normalized Diluted EPS,$9.37,$10.11,$11.23,$13.67,$9.38,$6.84
EBITDA,1446.4,1641.8,1791.0,2325.0,2123.0,1888.0
EBITA,1403.0,1590.9,1734.0,2234.0,2009.0,1774.0
EBIT,1325.5,1501.6,1662.0,2099.0,1840.0,1616.0
EBITDAR,1464.7,1660.8,1810.0,2351.0,2152.0,
Effective Tax Rate,23.7%,24.9%,2.4%,20.9%,11.8%,6.2%
Normalized Net Income,526.0,561.2,624.4,769.9,537.8,387.5
Interest on Long-Term Debt,,,,,9.6,
R&D Expense From Footnotes,58.6,73.8,73.8,116.8,130.9,130.9
Foreign Sales,,1318.9,1355.0,1778.0,1696.0,
