Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.82%,30.62%,90.27%,(3.49%),0.00%
Total Revenues,7.82%,30.62%,90.27%,(3.49%),0.00%
Cost Of Revenues,9.00%,41.34%,84.52%,(7.58%),0.00%
Gross Profit,6.35%,16.88%,99.17%,2.38%,0.00%
Selling General & Admin Expenses,4.25%,35.08%,110.77%,(11.94%),0.00%
R&D Expenses,1.09%,21.51%,62.83%,(17.39%),0.00%
Depreciation & Amortization,5.53%,54.56%,155.46%,(1.05%),0.00%
Other Operating Expense/(Income),-62.50%,,,-41.18%,0.00%
Total Operating Expenses,4.96%,45.38%,128.16%,(5.62%),0.00%
Operating Income,7.76%,(11.36%),52.05%,21.91%,0.00%
Interest Expense,(16.09%),(37.13%),-11.19%,-2.85%,0.00%
Interest And Investment Income,,95.12%,40.00%,(50.89%),0.00%
Net Interest Expenses,-7.47%,(22.36%),-31.98%,(37.31%),0.00%
Currency Exchange Gains (Loss),,,,(154.55%),0.00%
Other Non Operating Income (Expenses),,,357.14%,(11.46%),0.00%
"EBT, Excl. Unusual Items",8.94%,(11.77%),63.31%,18.40%,0.00%
"EBT, Incl. Unusual Items",11.73%,118.72%,(40.43%),14.07%,0.00%
Income Tax Expense,86.21%,(20.37%),(5.88%),10.14%,0.00%
Earnings From Continuing Operations,(14.95%),227.83%,(47.01%),15.40%,0.00%
Earnings Of Discontinued Operations,,,(5.56%),(96.08%),0.00%
Net Income to Company,(14.95%),236.09%,(46.00%),10.61%,0.00%
Minority Interest,(60.53%),-75.41%,(493.33%),(40.45%),0.00%
Net Income,(16.87%),251.32%,(47.84%),9.45%,0.00%
NI to Common Incl Extra Items,(16.87%),251.32%,(47.84%),9.45%,0.00%
NI to Common Excl. Extra Items,(16.87%),242.66%,(48.91%),14.38%,0.00%
Revenue Per Share,7.61%,13.16%,16.19%,(0.86%),0.00%
Basic EPS,(17.03%),204.12%,(68.15%),12.51%,0.00%
Basic EPS - Continuing Ops,(17.03%),196.62%,(68.80%),17.63%,0.00%
Basic Weighted Average Shares Outst.,0.20%,15.42%,63.77%,(2.65%),0.00%
Diluted EPS,(17.08%),203.55%,(68.06%),12.35%,0.00%
Diluted EPS - Continuing Ops,(17.08%),196.06%,(68.73%),17.50%,0.00%
Diluted Weighted Average Shares Outst.,0.47%,15.57%,63.16%,(2.57%),0.00%
Normalized Basic EPS,7.31%,(21.19%),(3.30%),20.65%,0.00%
Normalized Diluted EPS,6.94%,(21.29%),(3.04%),20.59%,0.00%
Dividend Per Share,5.00%,4.76%,6.06%,10.06%,0.00%
Payout Ratio,26.60%,(63.16%),211.00%,(2.02%),0.00%
EBITDA,7.03%,9.83%,98.84%,8.57%,0.00%
EBITA,7.34%,(6.18%),68.85%,18.72%,0.00%
EBIT,7.76%,(11.36%),52.05%,21.91%,0.00%
Effective Tax Rate,66.64%,(63.59%),58.05%,(3.46%),0.00%
Normalized Net Income,7.47%,(9.06%),58.36%,17.44%,0.00%
Interest Capitalized,(17.65%),(28.57%),90.00%,0.00%,
R&D Expense From Footnotes,1.09%,21.51%,62.83%,(17.39%),0.00%
Foreign Sales,20.80%,28.60%,84.06%,(3.49%),
