Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,11593.5,12966.6,13982.4,14442.2,14534.6,14534.6
Total Revenues,11593.5,12966.6,13982.4,14442.2,14534.6,14534.6
Cost Of Revenues,7325.5,8141.5,9065.6,9597.0,9495.5,9495.5
Gross Profit,4268.0,4825.1,4916.8,4845.2,5039.1,5039.1
Selling General & Admin Expenses,2609.3,2945.2,2985.9,2868.5,2872.4,2872.4
Other Operating Expense/(Income),164.8,303.7,210.9,249.0,165.3,165.3
Total Operating Expenses,2797.3,3265.2,3224.8,3150.5,3078.8,3078.8
Operating Income,1470.7,1559.9,1692.0,1694.7,1960.3,1960.3
Interest Expense,(194.5),(222.6),(277.9),(284.3),(223.1),(223.1)
Interest And Investment Income,23.2,40.1,68.7,53.9,18.0,18.0
Net Interest Expenses,(171.3),(182.5),(209.2),(230.4),(205.1),(205.1)
Currency Exchange Gains (Loss),(21.1),51.5,32.0,30.1,2.5,2.5
"EBT, Excl. Unusual Items",1278.3,1428.9,1514.8,1483.2,1766.8,1766.8
"EBT, Incl. Unusual Items",1229.3,1527.8,1022.1,1118.8,1276.1,1276.1
Income Tax Expense,261.7,300.9,416.3,160.8,41.4,41.4
Earnings From Continuing Operations,967.6,1226.9,605.8,958.0,1234.7,1234.7
Net Income to Company,967.6,1226.9,605.8,958.0,1234.7,1234.7
Minority Interest,0.4,0.4,(0.6),(2.2),(0.9),(0.9)
Net Income,968.0,1227.3,605.2,955.8,1233.8,1233.8
Preferred Dividend and Other Adjustments,,,,,23.4,23.4
NI to Common Incl Extra Items,968.0,1227.3,605.2,955.8,1210.4,1210.4
NI to Common Excl. Extra Items,968.0,1227.3,605.2,955.8,1210.4,1210.4
Revenue Per Share,$79.39,$86.66,$93.89,$97.34,$94.27,$94.27
Basic EPS,$6.63,$8.20,$4.06,$6.44,$7.85,$7.85
Basic EPS - Continuing Ops,$6.63,$8.20,$4.06,$6.44,$7.85,$7.85
Basic Weighted Average Shares Outst.,146.0,149.6,148.9,148.4,154.2,154.2
Diluted EPS,$6.53,$8.05,$3.99,$6.35,$7.77,$7.77
Diluted EPS - Continuing Ops,$6.53,$8.05,$3.99,$6.35,$7.77,$7.77
Diluted Weighted Average Shares Outst.,148.2,152.4,151.6,150.6,155.9,155.9
Normalized Basic EPS,$5.47,$5.97,$6.35,$6.23,$7.16,$7.16
Normalized Diluted EPS,$5.39,$5.86,$6.24,$6.14,$7.08,$7.08
Dividend Per Share,$2.26,$2.42,$2.58,$2.70,$2.78,$2.78
Payout Ratio,34.18%,29.57%,63.60%,42.06%,36.52%,36.52%
EBITDA,1878.7,2020.6,2198.5,2254.9,2538.4,2538.4
EBITA,1615.1,1723.7,1867.3,1882.1,2161.9,2161.9
EBIT,1470.7,1559.9,1692.0,1694.7,1960.3,1960.3
EBITDAR,2002.9,2171.0,2376.1,2438.8,2726.3,2726.3
Effective Tax Rate,21.3%,19.7%,40.7%,14.4%,3.2%,3.2%
Normalized Net Income,799.3,893.5,946.2,924.8,1103.4,1103.4
Interest on Long-Term Debt,6.8,,,,,
R&D Expense From Footnotes,204.4,252.3,275.8,255.2,211.0,211.0
Foreign Sales,5312.7,5940.9,6282.1,5970.1,5734.1,5734.1
