Income Statement,Aug 2017,Aug 2018,Aug 2019,Sep 2020,TTM
Revenues,63.90%,49.55%,(22.98%),(8.42%),19.92%
Total Revenues,63.90%,49.55%,(22.98%),(8.42%),19.92%
Cost Of Revenues,20.13%,5.17%,1.63%,17.15%,19.27%
Gross Profit,236.77%,112.08%,(40.18%),(38.78%),21.40%
Selling General & Admin Expenses,11.28%,11.37%,2.83%,5.38%,2.70%
R&D Expenses,12.80%,17.38%,14.01%,6.51%,0.67%
Other Operating Expense/(Income),,120.00%,218.18%,(68.57%),
Total Operating Expenses,12.68%,15.87%,11.70%,5.43%,5.57%
Operating Income,"2,411.54%",153.97%,(50.49%),(58.59%),42.50%
Interest Expense,(37.53%),-43.09%,-62.57%,(51.56%),(18.63%)
Interest And Investment Income,(2.38%),192.68%,70.83%,(44.39%),(70.05%)
Net Interest Expenses,(41.77%),-60.36%,,,
Currency Exchange Gains (Loss),(208.33%),(1.35%),-88.00%,-11.11%,(700.00%)
Other Non Operating Income (Expenses),-65.38%,-44.44%,,,"4,100.00%"
"EBT, Excl. Unusual Items",,178.96%,(48.98%),(59.70%),38.15%
"EBT, Incl. Unusual Items",,174.90%,(50.71%),(57.59%),48.22%
Income Tax Expense,500.00%,47.37%,312.50%,(59.60%),"2,425.00%"
Earnings From Continuing Operations,,177.76%,(55.03%),(57.38%),36.10%
Net Income to Company,,177.76%,(55.03%),(57.38%),36.10%
Minority Interest,0.00%,(200.00%),"(1,400.00%)",-48.89%,-92.73%
Net Income,,177.76%,(55.34%),(57.44%),39.18%
NI to Common Incl Extra Items,,177.76%,(55.34%),(57.44%),39.18%
NI to Common Excl. Extra Items,,177.76%,(55.34%),(57.44%),39.18%
Revenue Per Share,55.90%,41.38%,(20.35%),(8.09%),19.11%
Basic EPS,,162.74%,(53.81%),(57.31%),38.24%
Basic EPS - Continuing Ops,,162.74%,(53.81%),(57.31%),38.24%
Basic Weighted Average Shares Outst.,5.12%,5.79%,(3.30%),(0.36%),0.68%
Diluted EPS,,161.00%,(52.11%),(56.95%),39.20%
Diluted EPS - Continuing Ops,,161.00%,(52.11%),(56.95%),39.20%
Diluted Weighted Average Shares Outst.,11.39%,6.50%,(7.00%),(1.05%),0.44%
Normalized Basic EPS,,163.48%,(47.72%),(59.70%),41.82%
Normalized Diluted EPS,,161.76%,(45.62%),(59.37%),42.15%
EBITDA,202.99%,102.15%,(34.90%),(32.03%),20.93%
EBITA,"2,411.54%",153.97%,(50.49%),(58.59%),42.50%
EBIT,"2,411.54%",153.97%,(50.49%),(58.59%),42.50%
EBITDAR,200.31%,,,,
Effective Tax Rate,,(46.38%),740.03%,(4.74%),"1,603.55%"
Normalized Net Income,,178.95%,(49.45%),(59.80%),42.78%
Interest Capitalized,(83.72%),528.57%,134.09%,(25.24%),
Interest on Long-Term Debt,(26.92%),26.32%,15.00%,(22.46%),
R&D Expense From Footnotes,11.80%,14.97%,6.79%,3.96%,0.39%
Foreign Sales,(14.43%),48.11%,(17.48%),0.90%,
