Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,9.59%,2.47%,2.43%,(6.89%),(8.30%)
Total Revenues,9.59%,2.47%,2.43%,(6.89%),(8.30%)
Cost Of Revenues,0.80%,2.80%,3.44%,(8.41%),(9.58%)
Gross Profit,33.18%,1.82%,0.34%,(3.67%),(5.60%)
Selling General & Admin Expenses,41.05%,(4.68%),(3.99%),(3.68%),(5.96%)
R&D Expenses,94.30%,0.98%,2.90%,(14.11%),(14.11%)
Total Operating Expenses,43.05%,(4.39%),(3.62%),(4.28%),(6.43%)
Operating Income,4.55%,26.45%,12.21%,(2.09%),(3.53%)
Interest Expense,(52.22%),-8.30%,-18.09%,-28.36%,-22.55%
Interest And Investment Income,(8.33%),18.18%,369.23%,(62.30%),(80.60%)
Net Interest Expenses,(54.80%),-8.97%,-30.81%,-20.80%,-6.28%
Currency Exchange Gains (Loss),(18.18%),38.89%,(52.00%),,
Other Non Operating Income (Expenses),,,"(1,821.05%)",-51.23%,-51.52%
"EBT, Excl. Unusual Items",14.75%,8.85%,(19.82%),24.80%,18.86%
"EBT, Incl. Unusual Items",8.48%,34.32%,(31.69%),(14.49%),1.12%
Income Tax Expense,63.45%,(38.82%),,,
Earnings From Continuing Operations,(4.05%),62.73%,(4.45%),(38.32%),(27.38%)
Earnings Of Discontinued Operations,,5.11%,363.42%,,0.00%
Net Income to Company,,32.13%,150.98%,(86.44%),(80.60%)
Minority Interest,(18.94%),(10.83%),(8.62%),-13.23%,-7.81%
Net Income,,34.20%,162.44%,(88.88%),(83.15%)
NI to Common Incl Extra Items,,34.20%,162.44%,(88.88%),(83.15%)
NI to Common Excl. Extra Items,(8.20%),74.85%,(6.38%),(42.64%),(30.64%)
Revenue Per Share,(21.80%),3.56%,8.95%,7.90%,3.24%
Basic EPS,,35.79%,178.65%,(87.11%),(81.03%)
Basic EPS - Continuing Ops,(34.68%),76.29%,(0.47%),(33.32%),(21.92%)
Basic Weighted Average Shares Outst.,40.14%,(1.03%),(6.00%),(13.70%),(11.17%)
Diluted EPS,,36.43%,179.81%,(87.06%),(81.03%)
Diluted EPS - Continuing Ops,(34.86%),77.46%,0.00%,(33.33%),(22.01%)
Diluted Weighted Average Shares Outst.,40.44%,(1.37%),(6.16%),(13.81%),(11.33%)
Normalized Basic EPS,(19.01%),9.16%,(20.72%),57.97%,41.71%
Normalized Diluted EPS,(19.05%),9.72%,(20.26%),57.42%,41.97%
Dividend Per Share,,4.00%,0.00%,0.00%,0.00%
Payout Ratio,,1.25%,(63.26%),672.35%,422.25%
EBITDA,17.52%,12.57%,8.57%,(1.61%),(2.55%)
EBITA,27.52%,14.82%,10.25%,(1.42%),(2.34%)
EBIT,4.55%,26.45%,12.21%,(2.09%),(3.53%)
EBITDAR,,9.84%,8.86%,1.28%,
Effective Tax Rate,50.65%,(54.46%),,,
Normalized Net Income,13.97%,8.47%,(25.45%),35.76%,25.88%
Interest Capitalized,(26.32%),21.43%,(64.71%),(83.33%),
R&D Expense From Footnotes,94.30%,0.98%,2.90%,(14.11%),(14.11%)
Foreign Sales,20.06%,2.47%,2.43%,(6.89%),
