Income Statement,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,40.58%,20.61%,(6.81%),52.73%,52.73%
Total Revenues,40.58%,20.61%,(6.81%),52.73%,52.73%
Cost Of Revenues,36.71%,16.78%,(8.69%),47.42%,47.42%
Gross Profit,43.29%,23.17%,(5.62%),55.98%,55.98%
Selling General & Admin Expenses,22.93%,21.60%,10.29%,74.93%,74.93%
R&D Expenses,22.83%,32.22%,19.07%,38.71%,38.71%
Total Operating Expenses,22.86%,28.91%,16.48%,48.80%,48.80%
Operating Income,65.72%,18.50%,(25.18%),65.88%,65.88%
Interest Expense,(5.17%),-4.92%,-10.34%,(253.85%),(253.85%)
Interest And Investment Income,27.78%,97.10%,30.88%,(67.98%),(67.98%)
Net Interest Expenses,,875.00%,61.54%,,
Other Non Operating Income (Expenses),(450.00%),,,,
"EBT, Excl. Unusual Items",65.68%,21.90%,(23.77%),54.81%,54.81%
"EBT, Incl. Unusual Items",67.77%,21.90%,(23.77%),48.45%,48.45%
Income Tax Expense,(37.66%),,,(55.75%),(55.75%)
Earnings From Continuing Operations,82.89%,35.90%,(32.48%),54.94%,54.94%
Net Income to Company,82.89%,35.90%,(32.48%),54.94%,54.94%
Net Income,82.89%,35.90%,(32.48%),54.94%,54.94%
NI to Common Incl Extra Items,82.89%,35.90%,(32.48%),54.94%,54.94%
NI to Common Excl. Extra Items,82.89%,35.90%,(32.48%),54.94%,54.94%
Revenue Per Share,26.99%,18.80%,(6.97%),50.73%,50.75%
Basic EPS,65.16%,33.81%,(32.58%),52.96%,52.93%
Basic EPS - Continuing Ops,65.16%,33.81%,(32.58%),52.96%,52.93%
Basic Weighted Average Shares Outst.,10.72%,1.50%,0.16%,1.31%,1.31%
Diluted EPS,87.55%,37.55%,(31.83%),52.65%,52.65%
Diluted EPS - Continuing Ops,87.55%,37.55%,(31.83%),52.65%,52.65%
Diluted Weighted Average Shares Outst.,(2.62%),(1.11%),(1.12%),1.62%,1.62%
Normalized Basic EPS,49.54%,20.27%,(23.80%),52.71%,52.81%
Normalized Diluted EPS,69.92%,23.29%,(22.98%),52.53%,52.35%
Dividend Per Share,16.33%,7.02%,4.92%,0.00%,0.00%
Payout Ratio,(28.58%),(19.94%),55.67%,(34.64%),(34.63%)
EBITDA,60.50%,19.27%,(20.63%),80.32%,80.32%
EBITA,62.84%,17.40%,(25.10%),85.75%,85.75%
EBIT,65.72%,18.50%,(25.18%),65.88%,65.88%
EBITDAR,59.59%,19.72%,(19.42%),78.51%,
Effective Tax Rate,(62.85%),,,(70.20%),(70.19%)
Normalized Net Income,65.68%,21.90%,(23.77%),54.81%,54.81%
R&D Expense From Footnotes,22.83%,32.22%,19.07%,38.71%,38.71%
Foreign Sales,40.53%,20.97%,(1.74%),34.18%,
