Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,12965.0,12854.0,13547.0,13578.0,13770.0,13770.0
Total Revenues,12965.0,12854.0,13547.0,13578.0,13770.0,13770.0
Cost Of Revenues,7959.0,8040.0,8722.0,9145.0,9030.0,9030.0
Gross Profit,5006.0,4814.0,4825.0,4433.0,4740.0,4740.0
Selling General & Admin Expenses,3202.0,3017.0,3022.0,2827.0,2885.0,2885.0
Total Operating Expenses,3202.0,3017.0,3022.0,2827.0,2885.0,2885.0
Operating Income,1804.0,1797.0,1803.0,1606.0,1855.0,1855.0
Interest Expense,(406.0),(256.0),(287.0),(284.0),(281.0),(281.0)
Interest And Investment Income,5.0,,,24.0,21.0,21.0
Net Interest Expenses,(401.0),(256.0),(287.0),(260.0),(260.0),(260.0)
Currency Exchange Gains (Loss),,,,(4.0),(6.0),(6.0)
Other Non Operating Income (Expenses),(72.0),379.0,(39.0),190.0,83.0,83.0
"EBT, Excl. Unusual Items",1332.0,1927.0,1673.0,1525.0,1658.0,1658.0
"EBT, Incl. Unusual Items",935.0,1664.0,1525.0,1298.0,1587.0,1587.0
Income Tax Expense,235.0,410.0,181.0,321.0,323.0,323.0
Earnings From Continuing Operations,700.0,1254.0,1344.0,977.0,1264.0,1264.0
Net Income to Company,700.0,1254.0,1344.0,977.0,1264.0,1264.0
Minority Interest,(1.0),,(8.0),(17.0),(13.0),(13.0)
Net Income,699.0,1254.0,1336.0,960.0,1251.0,1251.0
NI to Common Incl Extra Items,699.0,1254.0,1336.0,960.0,1251.0,1251.0
NI to Common Excl. Extra Items,699.0,1254.0,1336.0,960.0,1251.0,1251.0
Revenue Per Share,$37.04,$36.94,$39.04,$39.82,$40.15,$40.15
Basic EPS,$2.00,$3.60,$3.85,$2.82,$3.65,$3.65
Basic EPS - Continuing Ops,$2.00,$3.60,$3.85,$2.82,$3.65,$3.65
Basic Weighted Average Shares Outst.,350.0,348.0,347.0,341.0,343.0,343.0
Diluted EPS,$1.97,$3.58,$3.83,$2.80,$3.63,$3.63
Diluted EPS - Continuing Ops,$1.97,$3.58,$3.83,$2.80,$3.63,$3.63
Diluted Weighted Average Shares Outst.,354.0,350.0,348.0,343.0,345.0,345.0
Normalized Basic EPS,$2.38,$3.46,$2.99,$2.75,$2.98,$2.98
Normalized Diluted EPS,$2.35,$3.44,$2.98,$2.73,$2.97,$2.97
Dividend Per Share,$2.04,$2.12,$2.20,$2.26,$2.28,$2.28
Payout Ratio,102.43%,58.69%,57.04%,80.10%,62.51%,62.51%
EBITDA,2321.0,2278.0,2319.0,2090.0,2334.0,2334.0
EBITA,1811.0,1809.0,1826.0,1633.0,1882.0,1882.0
EBIT,1804.0,1797.0,1803.0,1606.0,1855.0,1855.0
EBITDAR,2497.0,2473.0,2452.0,2223.0,2469.0,2469.0
Effective Tax Rate,25.1%,24.6%,11.9%,24.7%,20.4%,20.4%
Normalized Net Income,831.5,1204.4,1037.6,936.1,1023.3,1023.3
R&D Expense From Footnotes,182.0,148.0,154.0,144.0,135.0,135.0
Foreign Sales,4552.0,4694.0,5371.0,5693.0,5949.0,5949.0
