Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,4.99%,15.72%,8.62%,(3.83%),(10.49%)
Total Revenues,4.99%,15.72%,8.62%,(3.83%),(10.49%)
Cost Of Revenues,10.91%,16.83%,19.07%,5.26%,(2.35%)
Gross Profit,3.57%,15.44%,5.90%,(6.49%),(12.87%)
Selling General & Admin Expenses,2.71%,14.21%,3.45%,(2.75%),(8.72%)
Total Operating Expenses,2.71%,14.21%,3.45%,(2.75%),(8.72%)
Operating Income,7.14%,20.36%,15.23%,(19.25%),(26.23%)
Interest Expense,(45.07%),(24.27%),(3.91%),(21.05%),(33.58%)
Interest And Investment Income,75.00%,100.00%,3.57%,(17.24%),(10.34%)
Net Interest Expenses,(36.36%),-4.00%,(4.17%),(50.67%),(67.11%)
Currency Exchange Gains (Loss),,,,(70.13%),(100.00%)
"EBT, Excl. Unusual Items",6.19%,21.38%,19.12%,(22.77%),(31.16%)
"EBT, Incl. Unusual Items",3.99%,22.45%,16.52%,(54.66%),(52.90%)
Income Tax Expense,(16.82%),139.06%,(40.56%),(31.77%),(61.96%)
Earnings From Continuing Operations,12.04%,(11.07%),60.61%,(61.20%),(49.89%)
Net Income to Company,12.04%,(11.07%),60.61%,(61.20%),(49.89%)
Minority Interest,(16.67%),(28.57%),0.00%,(33.33%),(10.00%)
Net Income,12.02%,(11.29%),61.10%,(61.68%),(50.21%)
NI to Common Incl Extra Items,12.02%,(11.29%),61.10%,(61.68%),(50.21%)
NI to Common Excl. Extra Items,12.02%,(11.29%),61.10%,(61.68%),(50.21%)
Revenue Per Share,5.81%,15.44%,9.97%,(3.06%),(10.63%)
Basic EPS,13.03%,(11.45%),63.14%,(61.37%),(50.29%)
Basic EPS - Continuing Ops,13.03%,(11.45%),63.14%,(61.37%),(50.29%)
Basic Weighted Average Shares Outst.,(0.78%),0.25%,(1.22%),(0.80%),0.15%
Diluted EPS,13.18%,(11.94%),63.39%,(61.41%),(50.10%)
Diluted EPS - Continuing Ops,13.18%,(11.94%),63.39%,(61.41%),(50.10%)
Diluted Weighted Average Shares Outst.,(0.96%),0.72%,(1.41%),(0.94%),(0.24%)
Normalized Basic EPS,6.92%,20.92%,20.67%,(22.42%),(31.49%)
Normalized Diluted EPS,7.11%,20.42%,21.04%,(22.36%),(31.22%)
Dividend Per Share,15.79%,12.12%,12.84%,(16.77%),(15.82%)
Payout Ratio,2.56%,26.65%,(30.77%),115.53%,69.26%
EBITDA,8.03%,19.19%,13.27%,(14.15%),(20.03%)
EBITA,8.15%,20.83%,14.90%,(18.06%),(23.94%)
EBIT,7.14%,20.36%,15.23%,(19.25%),(26.23%)
EBITDAR,7.86%,,,,
Effective Tax Rate,(20.01%),95.19%,(48.99%),50.45%,(19.23%)
Normalized Net Income,6.13%,21.33%,19.25%,(23.08%),(31.39%)
R&D Expense From Footnotes,(6.28%),1.12%,11.60%,12.87%,12.87%
Foreign Earnings,,41.84%,10.47%,(73.02%),
Foreign Sales,6.80%,22.82%,15.40%,2.59%,
