Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,1413.7,1779.7,1792.9,2668.4,3089.0,3293.9
Total Revenues,1413.7,1779.7,1792.9,2668.4,3089.0,3293.9
Cost Of Revenues,791.2,1002.8,897.3,1516.2,1542.5,1625.9
Gross Profit,622.5,777.0,895.6,1152.2,1546.5,1668.0
Selling General & Admin Expenses,390.8,496.9,503.9,672.6,776.7,790.2
R&D Expenses,119.8,137.9,196.4,230.2,296.4,302.5
Depreciation & Amortization,28.8,30.7,44.0,40.2,48.1,52.6
Total Operating Expenses,539.4,665.5,744.3,943.0,1121.2,1145.3
Operating Income,83.1,111.5,151.4,209.1,425.4,522.7
Interest Expense,(29.2),(29.6),(22.3),(8.0),(2.6),(2.7)
Interest And Investment Income,,7.9,21.3,38.0,47.3,21.9
Net Interest Expenses,(29.2),(21.7),(1.0),30.0,44.7,19.2
Currency Exchange Gains (Loss),(1.4),5.0,(3.0),(0.5),(3.6),3.5
Other Non Operating Income (Expenses),0.4,1.0,5.1,(3.4),(2.6),(2.6)
"EBT, Excl. Unusual Items",52.9,95.8,152.4,235.3,463.9,542.8
"EBT, Incl. Unusual Items",(38.4),77.0,136.6,232.8,458.4,548.9
Income Tax Expense,(30.0),9.7,(36.9),(101.1),54.0,56.1
Earnings From Continuing Operations,(8.3),67.3,173.5,333.8,404.5,492.8
Net Income to Company,(8.3),67.3,173.5,333.8,404.5,492.8
Net Income,(8.3),67.3,173.5,333.8,404.5,492.8
Preferred Dividend and Other Adjustments,,1.3,0.2,,,
NI to Common Incl Extra Items,(8.3),66.0,173.4,333.8,404.5,492.8
NI to Common Excl. Extra Items,(8.3),66.0,173.4,333.8,404.5,492.8
Revenue Per Share,$16.95,$19.74,$16.28,$23.58,$27.31,$28.85
Basic EPS,($0.10),$0.73,$1.57,$2.95,$3.58,$4.32
Basic EPS - Continuing Ops,($0.10),$0.73,$1.57,$2.95,$3.58,$4.32
Basic Weighted Average Shares Outst.,83.4,90.2,110.1,113.2,113.1,114.2
Diluted EPS,($0.10),$0.72,$1.54,$2.90,$3.54,$4.27
Diluted EPS - Continuing Ops,($0.10),$0.72,$1.54,$2.90,$3.54,$4.27
Diluted Weighted Average Shares Outst.,83.4,92.3,112.8,115.2,114.1,115.3
Normalized Basic EPS,$0.40,$0.66,$0.87,$1.30,$2.56,$2.97
Normalized Diluted EPS,$0.40,$0.65,$0.84,$1.28,$2.54,$2.94
EBITDA,112.1,148.9,218.4,272.7,494.0,602.9
EBITA,83.3,118.3,186.2,233.0,446.3,549.7
EBIT,83.1,111.5,151.4,209.1,425.4,522.7
EBITDAR,130.1,168.5,243.7,301.9,526.1,
Effective Tax Rate,NM,12.6%,NM,NM,11.8%,10.2%
Normalized Net Income,33.1,59.9,95.3,147.0,289.9,339.3
Interest on Long-Term Debt,15.8,17.9,17.1,0.9,0.3,
R&D Expense From Footnotes,119.8,137.9,207.6,237.6,296.4,302.5
Foreign Sales,670.7,780.6,740.6,1241.5,1313.3,
