Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,39807.0,40122.0,42294.0,46840.0,47994.0,47994.0
Total Revenues,39807.0,40122.0,42294.0,46840.0,47994.0,47994.0
Cost Of Revenues,13502.0,12716.0,13351.0,13156.0,13422.0,13422.0
Gross Profit,26305.0,27406.0,28943.0,33684.0,34572.0,34572.0
Selling General & Admin Expenses,9313.0,9560.0,9587.0,9989.0,9372.0,9372.0
R&D Expenses,6921.0,9845.0,9254.0,8742.0,9487.0,9487.0
Total Operating Expenses,16234.0,19405.0,18841.0,18731.0,18859.0,18859.0
Operating Income,10071.0,8001.0,10102.0,14953.0,15713.0,15713.0
Interest Expense,(693.0),(754.0),(772.0),(893.0),(831.0),(831.0)
Interest And Investment Income,328.0,385.0,343.0,274.0,59.0,59.0
Net Interest Expenses,(365.0),(369.0),(429.0),(619.0),(772.0),(772.0)
Currency Exchange Gains (Loss),(174.0),11.0,(145.0),(187.0),(145.0),(145.0)
Other Non Operating Income (Expenses),83.0,185.0,111.0,114.0,126.0,126.0
"EBT, Excl. Unusual Items",9720.0,7828.0,9639.0,14261.0,14922.0,14922.0
"EBT, Incl. Unusual Items",4659.0,6521.0,8701.0,11464.0,8791.0,8791.0
Income Tax Expense,718.0,4103.0,2508.0,1687.0,1709.0,1709.0
Earnings From Continuing Operations,3941.0,2418.0,6193.0,9777.0,7082.0,7082.0
Net Income to Company,3941.0,2418.0,6193.0,9777.0,7082.0,7082.0
Minority Interest,(21.0),(24.0),27.0,66.0,(15.0),(15.0)
Net Income,3920.0,2394.0,6220.0,9843.0,7067.0,7067.0
NI to Common Incl Extra Items,3920.0,2394.0,6220.0,9843.0,7067.0,7067.0
NI to Common Excl. Extra Items,3920.0,2394.0,6220.0,9843.0,7067.0,7067.0
Revenue Per Share,$14.39,$14.70,$15.88,$18.26,$18.97,$18.97
Basic EPS,$1.42,$0.88,$2.33,$3.84,$2.79,$2.79
Basic EPS - Continuing Ops,$1.42,$0.88,$2.33,$3.84,$2.79,$2.79
Basic Weighted Average Shares Outst.,2766.0,2730.0,2664.0,2565.0,2530.0,2530.0
Diluted EPS,$1.41,$0.87,$2.32,$3.81,$2.78,$2.78
Diluted EPS - Continuing Ops,$1.41,$0.87,$2.32,$3.81,$2.78,$2.78
Diluted Weighted Average Shares Outst.,2787.0,2748.0,2679.0,2580.0,2541.0,2541.0
Normalized Basic EPS,$2.19,$1.78,$2.27,$3.50,$3.68,$3.68
Normalized Diluted EPS,$2.17,$1.77,$2.26,$3.48,$3.66,$3.66
Dividend Per Share,$1.84,$1.88,$1.92,$2.20,$2.44,$2.44
Payout Ratio,130.71%,215.83%,83.15%,57.86%,87.94%,87.94%
EBITDA,15315.0,12617.0,14622.0,18372.0,19070.0,19070.0
EBITA,13871.0,11201.0,13205.0,16926.0,17612.0,17612.0
EBIT,10071.0,8001.0,10102.0,14953.0,15713.0,15713.0
EBITDAR,15607.0,,14944.0,18711.0,19416.0,19416.0
Effective Tax Rate,15.4%,62.9%,28.8%,14.7%,19.4%,19.4%
Normalized Net Income,6054.0,4868.5,6051.4,8979.1,9311.3,9311.3
R&D Expense From Footnotes,10261.0,10339.0,9752.0,9872.0,13558.0,13558.0
Foreign Sales,21329.0,22698.0,23948.0,26321.0,26967.0,26967.0
