Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,19.30%,21.43%,(2.06%),(23.12%),0.00%
Other Revenues,0.80%,4.09%,5.00%,(10.48%),0.00%
Total Revenues,17.97%,20.37%,(1.68%),(22.40%),0.00%
Cost Of Revenues,10.64%,18.38%,(1.21%),(19.62%),0.00%
Gross Profit,45.35%,26.04%,(2.96%),(29.98%),0.00%
Selling General & Admin Expenses,(1.14%),8.61%,(0.21%),(20.04%),0.00%
R&D Expenses,(0.59%),0.43%,(8.49%),(16.42%),0.00%
Other Operating Expense/(Income),-75.64%,(368.42%),(57.30%),-42.86%,0.00%
Total Operating Expenses,(0.05%),5.11%,(3.32%),(18.57%),0.00%
Operating Income,195.97%,49.50%,(2.68%),(38.90%),0.00%
Interest Expense,(5.57%),-23.92%,(4.21%),(22.09%),0.00%
Interest And Investment Income,64.86%,59.84%,3.59%,(44.55%),0.00%
Net Interest Expenses,-4.66%,-48.90%,(4.78%),(83.56%),0.00%
Currency Exchange Gains (Loss),(273.68%),-5.63%,-66.67%,(188.06%),0.00%
Other Non Operating Income (Expenses),(48.65%),436.84%,(74.51%),,0.00%
"EBT, Excl. Unusual Items",249.13%,61.40%,(2.12%),(45.29%),0.00%
"EBT, Incl. Unusual Items","2,981.20%",91.46%,(0.08%),(48.86%),0.00%
Income Tax Expense,"1,639.06%",(49.15%),2.83%,(42.38%),0.00%
Earnings From Continuing Operations,,710.01%,(0.88%),(50.72%),0.00%
Net Income to Company,,710.01%,(0.88%),(50.72%),0.00%
Minority Interest,-37.50%,-80.00%,0.00%,(400.00%),0.00%
Net Income,,715.25%,(0.88%),(50.80%),0.00%
NI to Common Incl Extra Items,,715.25%,(0.88%),(50.80%),0.00%
NI to Common Excl. Extra Items,,715.25%,(0.88%),(50.80%),0.00%
Revenue Per Share,16.48%,20.45%,3.53%,(19.91%),0.00%
Basic EPS,,718.42%,4.42%,(49.22%),0.00%
Basic EPS - Continuing Ops,,718.42%,4.42%,(49.22%),0.00%
Basic Weighted Average Shares Outst.,1.28%,(0.07%),(5.04%),(3.12%),0.00%
Diluted EPS,,714.29%,4.68%,(49.16%),0.00%
Diluted EPS - Continuing Ops,,714.29%,4.68%,(49.16%),0.00%
Diluted Weighted Average Shares Outst.,2.57%,0.02%,(5.32%),(3.33%),0.00%
Normalized Basic EPS,248.37%,61.74%,3.04%,(43.63%),0.00%
Normalized Diluted EPS,244.01%,61.74%,3.43%,(43.51%),0.00%
Dividend Per Share,0.97%,8.04%,17.56%,4.30%,0.00%
Payout Ratio,,(86.93%),10.24%,113.82%,0.00%
EBITDA,71.88%,31.34%,(3.71%),(31.77%),0.00%
EBITA,166.92%,46.92%,(2.65%),(37.56%),0.00%
EBIT,195.97%,49.50%,(2.68%),(38.90%),0.00%
EBITDAR,,,,(31.25%),
Effective Tax Rate,(43.56%),(73.44%),2.91%,12.68%,0.00%
Normalized Net Income,251.72%,61.62%,(2.12%),(45.38%),0.00%
R&D Expense From Footnotes,(0.59%),0.43%,(8.49%),(16.42%),0.00%
Foreign Sales,101.33%,20.37%,(1.68%),(22.40%),
