Income Statement,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,(0.89%),7.79%,17.12%,(6.06%),(19.18%)
Total Revenues,(0.89%),7.79%,17.12%,(6.06%),(19.18%)
Cost Of Revenues,1.48%,7.99%,28.52%,4.32%,(7.53%)
Gross Profit,(3.64%),7.56%,3.14%,(21.92%),(37.64%)
Selling General & Admin Expenses,(6.60%),8.37%,26.94%,10.09%,(9.36%)
Depreciation & Amortization,10.09%,8.23%,38.39%,28.27%,12.89%
Total Operating Expenses,(2.86%),8.33%,29.85%,15.01%,(3.36%)
Operating Income,(4.24%),6.95%,(18.23%),(68.83%),(89.86%)
Interest Expense,(43.22%),(34.52%),(82.70%),(32.18%),(16.89%)
Interest And Investment Income,1.06%,13.68%,146.30%,(36.47%),(22.85%)
Net Interest Expenses,(58.46%),(39.32%),(70.73%),(50.82%),(25.89%)
"EBT, Excl. Unusual Items",(9.05%),2.76%,(21.98%),(73.26%),(96.76%)
"EBT, Incl. Unusual Items",(7.26%),6.82%,(5.47%),,
Income Tax Expense,(12.92%),(62.39%),81.96%,(76.90%),(90.95%)
Earnings From Continuing Operations,(4.33%),39.50%,(16.60%),,
Net Income to Company,(4.33%),39.50%,(11.79%),,
Minority Interest,-3.26%,(21.24%),(0.85%),-17.37%,-31.71%
Net Income,(4.38%),40.29%,(12.26%),,
NI to Common Incl Extra Items,(4.38%),40.29%,(12.26%),,
NI to Common Excl. Extra Items,(4.38%),40.29%,(17.25%),,
Revenue Per Share,2.97%,12.77%,6.01%,(13.95%),(22.53%)
Basic EPS,(0.57%),46.67%,(20.53%),,
Basic EPS - Continuing Ops,(0.57%),46.67%,(25.06%),,
Basic Weighted Average Shares Outst.,(3.74%),(4.40%),10.47%,9.18%,4.32%
Diluted EPS,(0.70%),46.92%,(20.60%),,
Diluted EPS - Continuing Ops,(0.70%),46.92%,(25.12%),,
Diluted Weighted Average Shares Outst.,(3.72%),(4.50%),10.55%,8.52%,3.67%
Normalized Basic EPS,(5.80%),6.52%,(30.50%),(79.29%),
Normalized Diluted EPS,(5.72%),6.77%,(30.54%),(79.13%),
Dividend Per Share,8.72%,6.17%,2.33%,,
Payout Ratio,10.54%,(26.69%),31.21%,,
EBITDA,(2.11%),7.16%,(8.68%),(44.01%),(59.95%)
EBITA,(4.25%),7.26%,(10.83%),(55.51%),(75.00%)
EBIT,(4.24%),6.95%,(18.23%),(68.83%),(89.86%)
EBITDAR,(1.71%),6.80%,(7.20%),(39.56%),
Effective Tax Rate,(6.09%),(64.79%),92.50%,,
Normalized Net Income,(9.31%),1.89%,(23.25%),(77.37%),
Interest Capitalized,(37.41%),43.68%,77.60%,(29.28%),
Foreign Earnings,6.45%,311.46%,(5.37%),(45.39%),
Foreign Sales,1.84%,348.36%,17.12%,(6.06%),
