Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,14.44%,18.96%,10.43%,(23.22%),(27.11%)
Total Interest Income,14.44%,18.96%,10.43%,(23.22%),(27.11%)
Interest On Deposits,41.31%,51.66%,27.35%,(62.83%),(73.07%)
Total Interest Expense,41.31%,51.66%,27.35%,(62.83%),(73.07%)
Net Interest Income,8.71%,9.90%,3.97%,(4.69%),(7.37%)
Trust Income,6.01%,3.11%,0.68%,7.51%,5.65%
Total Mortgage Banking Activities,(35.13%),(22.40%),62.36%,51.82%,77.30%
Income From Trading Activities,(1.89%),6.27%,16.25%,28.56%,67.59%
Gain (Loss) on Sale of Assets,,(572.00%),,0.00%,0.00%
Gain (Loss) on Sale of Invest. & Securities,,(498.48%),,45.53%,81.78%
Total Other Non Interest Income,(0.69%),15.56%,2.97%,1.18%,6.38%
Total Non Interest Income,(1.09%),7.24%,8.58%,11.74%,22.60%
Revenue Before Loan Losses,3.59%,8.58%,6.24%,3.59%,7.65%
Provision For Loan Losses,(1.32%),(7.92%),14.66%,212.98%,(59.28%)
Total Revenues,3.88%,9.50%,5.85%,(7.06%),15.74%
Salaries And Other Employee Benefits,3.10%,5.69%,3.58%,2.00%,7.46%
Total Selling General & Admin Expenses,6.32%,9.56%,6.24%,(0.37%),(1.31%)
Total Other Non Interest Expense,3.70%,(9.82%),(11.73%),(0.43%),4.54%
Total Non Interest Expense,4.45%,5.68%,3.37%,0.79%,3.40%
"EBT, Excl. Unusual Items",2.93%,15.95%,9.67%,(18.45%),37.61%
Legal Settlements,114.51%,,(231.94%),(366.53%),(82.98%)
"EBT, Incl. Unusual Items",3.95%,13.55%,9.28%,(20.51%),36.97%
Income Tax Expense,16.89%,(27.66%),(2.12%),(22.65%),47.81%
Earnings From Continuing Operations,(1.18%),32.87%,12.19%,(20.04%),34.69%
Net Income to Company,(1.18%),32.87%,12.19%,(20.04%),34.69%
Net Income,(1.18%),32.87%,12.19%,(20.04%),34.69%
Preferred Dividend and Other Adjustments,(1.32%),(5.82%),1.36%,(3.80%),(3.29%)
Net Income to Common Incl Extra Items,(1.17%),36.08%,12.81%,(20.88%),37.10%
Net Income to Common Excl. Extra Items,(1.17%),36.08%,12.81%,(20.88%),37.10%
Revenue Per Share,7.01%,14.49%,11.58%,(2.87%),19.29%
Basic EPS,1.83%,42.39%,18.95%,(17.28%),41.30%
Basic EPS - Continuing Ops,1.83%,42.39%,18.95%,(17.28%),41.30%
Basic Weighted Average Shares Outst.,(2.93%),(4.37%),(5.15%),(4.32%),(2.97%)
Diluted EPS,1.94%,42.63%,19.11%,(17.16%),41.35%
Diluted EPS - Continuing Ops,1.94%,42.63%,19.11%,(17.16%),41.35%
Diluted Weighted Average Shares Outst.,(3.07%),(4.55%),(5.38%),(4.43%),(3.04%)
Normalized Basic EPS,5.95%,21.20%,15.69%,(14.78%),41.82%
Normalized Diluted EPS,6.11%,21.56%,15.84%,(14.63%),41.92%
Dividend Per Share,12.77%,28.30%,25.00%,5.88%,2.86%
Payout Ratio,7.37%,(15.39%),8.84%,28.58%,
Effective Tax Rate,12.47%,(36.29%),(10.45%),(2.72%),7.91%
Normalized Net Income,2.93%,15.95%,9.67%,(18.45%),37.61%
Interest on Long-Term Debt,21.37%,18.14%,10.39%,(34.55%),
Foreign Sales,343.83%,8.02%,6.08%,3.59%,
