Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7668.4,7803.3,7932.9,7982.2,7024.5,7024.5
Total Revenues,7668.4,7803.3,7932.9,7982.2,7024.5,7024.5
Cost Of Revenues,2058.5,2100.1,2271.9,2252.6,2128.3,2128.3
Gross Profit,5609.9,5703.2,5661.0,5729.6,4896.2,4896.2
Selling General & Admin Expenses,2906.4,3095.8,3372.4,3289.8,2995.7,2995.7
R&D Expenses,365.6,369.9,391.7,449.3,372.0,372.0
Total Operating Expenses,3837.9,4069.6,4360.0,4323.4,3965.3,3965.3
Operating Income,1772.0,1633.6,1301.0,1406.2,930.9,930.9
Interest Expense,(421.4),(325.3),(289.3),(226.9),(212.0),(212.0)
Net Interest Expenses,(421.4),(325.3),(289.3),(226.9),(212.0),(212.0)
Currency Exchange Gains (Loss),(13.0),(16.8),(16.5),(14.4),(12.2),(12.2)
Other Non Operating Income (Expenses),61.3,,,,,
"EBT, Excl. Unusual Items",1398.9,1291.5,995.2,1164.9,706.7,706.7
"EBT, Incl. Unusual Items",399.6,464.6,(271.1),905.8,(274.4),(274.4)
Income Tax Expense,95.0,"(1,348.8)",108.2,(225.7),(137.0),(137.0)
Earnings From Continuing Operations,304.6,1813.4,(379.3),1131.5,(137.4),(137.4)
Net Income to Company,304.6,1813.4,(379.3),1131.5,(137.4),(137.4)
Minority Interest,1.3,0.4,0.1,0.1,(1.5),(1.5)
Net Income,305.9,1813.8,(379.2),1131.6,(138.9),(138.9)
NI to Common Incl Extra Items,305.9,1813.8,(379.2),1131.6,(138.9),(138.9)
NI to Common Excl. Extra Items,305.9,1813.8,(379.2),1131.6,(138.9),(138.9)
Revenue Per Share,$38.34,$38.65,$38.98,$38.92,$33.93,$33.93
Basic EPS,$1.53,$8.98,($1.86),$5.52,($0.67),($0.67)
Basic EPS - Continuing Ops,$1.53,$8.98,($1.86),$5.52,($0.67),($0.67)
Basic Weighted Average Shares Outst.,200.0,201.9,203.5,205.1,207.0,207.0
Diluted EPS,$1.51,$8.90,($1.86),$5.47,($0.67),($0.67)
Diluted EPS - Continuing Ops,$1.51,$8.90,($1.86),$5.47,($0.67),($0.67)
Diluted Weighted Average Shares Outst.,202.4,203.7,203.5,206.7,207.0,207.0
Normalized Basic EPS,$4.38,$4.00,$3.06,$3.55,$2.13,$2.13
Normalized Diluted EPS,$4.33,$3.96,$3.06,$3.52,$2.13,$2.13
Dividend Per Share,$0.96,$0.96,$0.96,$0.96,$0.96,$0.96
Payout Ratio,61.59%,10.67%,NM,17.38%,NM,NM
EBITDA,2811.3,2696.3,2341.5,2412.3,1963.6,1963.6
EBITA,2337.9,2237.5,1896.9,1990.5,1528.5,1528.5
EBIT,1772.0,1633.6,1301.0,1406.2,930.9,930.9
EBITDAR,2885.3,2783.5,2413.7,2488.3,2047.3,2047.3
Effective Tax Rate,23.8%,NM,NM,NM,NM,NM
Normalized Net Income,875.6,807.6,622.1,728.2,440.2,440.2
R&D Expense From Footnotes,365.6,388.7,395.5,519.4,405.0,405.0
Foreign Sales,3142.6,7803.3,7932.9,7982.2,7024.5,7024.5
