Income Statement,Feb 2017,Feb 2018,Feb 2019,Feb 2020,Feb 2021,TTM
Revenues,7321.1,7580.3,8116.0,8343.5,8614.9,8614.9
Total Revenues,7321.1,7580.3,8116.0,8343.5,8614.9,8614.9
Cost Of Revenues,3782.0,3730.0,4012.6,4058.0,4040.6,4040.6
Gross Profit,3539.1,3850.3,4103.4,4285.5,4574.3,4574.3
Selling General & Admin Expenses,1284.8,1370.8,1482.1,1587.6,1620.1,1620.1
Other Operating Expense/(Income),,(10.5),(10.1),(18.7),(5.0),(5.0)
Total Operating Expenses,1284.8,1360.3,1472.0,1568.9,1615.1,1615.1
Operating Income,2254.3,2490.0,2631.4,2716.6,2959.2,2959.2
Interest Expense,(333.3),(332.0),(367.1),(428.7),(385.7),(385.7)
Net Interest Expenses,(333.3),(332.0),(367.1),(428.7),(385.7),(385.7)
Currency Exchange Gains (Loss),(26.1),6.0,(60.8),(7.8),(17.4),(17.4)
Other Non Operating Income (Expenses),,(7.3),,,,
"EBT, Excl. Unusual Items",1922.2,2643.9,4305.1,(388.5),2706.4,2706.4
"EBT, Incl. Unusual Items",2083.0,2338.0,4145.0,(945.2),2542.9,2542.9
Income Tax Expense,550.3,22.7,685.9,(966.6),511.1,511.1
Earnings From Continuing Operations,1532.7,2315.3,3459.1,21.4,2031.8,2031.8
Net Income to Company,1532.7,2315.3,3459.1,21.4,2031.8,2031.8
Minority Interest,(4.1),(11.9),(23.2),(33.2),(33.8),(33.8)
Net Income,1528.6,2303.4,3435.9,(11.8),1998.0,1998.0
NI to Common Incl Extra Items,1528.6,2303.4,3435.9,(11.8),1998.0,1998.0
NI to Common Excl. Extra Items,1528.6,2303.4,3435.9,(11.8),1998.0,1998.0
Revenue Per Share,$36.74,$38.91,$42.59,$43.54,$44.52,$44.52
Basic EPS,$7.67,$11.82,$18.03,($0.06),$10.32,$10.32
Basic EPS - Continuing Ops,$7.67,$11.82,$18.03,($0.06),$10.32,$10.32
Basic Weighted Average Shares Outst.,199.3,194.8,190.6,191.6,193.5,193.5
Diluted EPS,$7.49,$11.47,$17.57,($0.06),$10.32,$10.32
Diluted EPS - Continuing Ops,$7.49,$11.47,$17.57,($0.06),$10.32,$10.32
Diluted Weighted Average Shares Outst.,204.1,200.7,195.5,191.6,193.5,193.5
Normalized Basic EPS,$6.01,$8.42,$14.00,($1.44),$8.57,$8.57
Normalized Diluted EPS,$5.87,$8.17,$13.64,($1.44),$8.57,$8.57
Dividend Per Share,$1.60,$2.08,$2.96,$3.00,$3.00,$3.00
Payout Ratio,20.61%,17.37%,16.23%,NM,28.78%,28.78%
EBITDA,2502.2,2789.7,2961.6,3041.2,3258.2,3258.2
EBITA,2264.7,2495.9,2637.4,2722.3,2964.5,2964.5
EBIT,2254.3,2490.0,2631.4,2716.6,2959.2,2959.2
EBITDAR,2561.4,,,3552.0,3577.3,3577.3
Effective Tax Rate,26.4%,1.0%,16.5%,NM,20.1%,20.1%
Normalized Net Income,1197.3,1640.5,2667.5,(276.0),1657.7,1657.7
Interest on Long-Term Debt,,,,0.7,0.5,0.5
Foreign Sales,523.8,254.9,221.2,227.3,218.4,218.4
