Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,23.96%,42.50%,17.32%,(14.83%),0.00%
Total Revenues,23.96%,42.50%,17.32%,(14.83%),0.00%
Cost Of Revenues,7.80%,17.41%,27.69%,0.97%,0.00%
Gross Profit,41.07%,62.80%,11.27%,(25.42%),0.00%
Selling General & Admin Expenses,(58.95%),7.14%,52.65%,(3.25%),0.00%
Depreciation & Amortization,(6.23%),(0.62%),54.39%,31.87%,0.00%
Other Operating Expense/(Income),329.24%,23.38%,50.78%,(32.91%),0.00%
Total Operating Expenses,(3.98%),5.39%,49.15%,80.79%,0.00%
Operating Income,,577.38%,(41.57%),,0.00%
Interest Expense,(17.82%),(9.88%),(147.19%),(110.45%),0.00%
Interest And Investment Income,(6.60%),37.37%,59.56%,(45.62%),0.00%
Net Interest Expenses,(33.14%),-2.22%,(201.36%),(161.54%),0.00%
Other Non Operating Income (Expenses),(164.71%),(295.56%),,,0.00%
"EBT, Excl. Unusual Items",,493.34%,(46.72%),,0.00%
"EBT, Incl. Unusual Items",,322.29%,(93.69%),,0.00%
Income Tax Expense,,"8,588.24%",(41.71%),,0.00%
Earnings From Continuing Operations,,215.10%,,"(2,569.23%)",0.00%
Earnings Of Discontinued Operations,,,,"(8,553.33%)",0.00%
Net Income to Company,,215.10%,,"(2,741.19%)",0.00%
Net Income,,215.10%,,"(2,123.54%)",0.00%
Preferred Dividend and Other Adjustments,,183.33%,"1,770.59%",165.41%,0.00%
NI to Common Incl Extra Items,,215.25%,,"(1,491.37%)",0.00%
NI to Common Excl. Extra Items,,215.25%,,"(1,382.16%)",0.00%
Revenue Per Share,23.76%,43.12%,10.39%,(24.95%),0.00%
Basic EPS,,215.85%,,"(1,298.54%)",0.00%
Basic EPS - Continuing Ops,,215.85%,,"(1,204.11%)",0.00%
Basic Weighted Average Shares Outst.,0.17%,(0.44%),6.28%,13.49%,0.00%
Diluted EPS,,217.06%,,"(1,298.60%)",0.00%
Diluted EPS - Continuing Ops,,217.06%,,"(1,204.17%)",0.00%
Diluted Weighted Average Shares Outst.,0.27%,(0.34%),6.05%,13.49%,0.00%
Normalized Basic EPS,,494.12%,(54.55%),,0.00%
Normalized Diluted EPS,,492.87%,(54.43%),,0.00%
Dividend Per Share,1.32%,1.31%,1.29%,(73.89%),0.00%
Payout Ratio,,(67.89%),,,-25.83%
EBITDA,89.41%,78.42%,0.86%,(25.20%),0.00%
EBITA,,577.38%,(41.57%),,0.00%
EBIT,,577.38%,(41.57%),,0.00%
EBITDAR,,,,(22.06%),
Effective Tax Rate,,"1,957.60%",823.39%,(94.31%),0.00%
Normalized Net Income,,493.34%,(51.73%),,0.00%
Interest Capitalized,,(11.54%),93.48%,(6.74%),
Interest on Long-Term Debt,18.15%,12.75%,174.04%,33.58%,
Foreign Sales,,,,(27.45%),
