Income Statement,Jun 2017,Jun 2018,Jun 2019,Jan 2020,Jan 2021,TTM
Revenues,5897.0,6168.0,6801.0,18526.0,18194.0,18194.0
Total Revenues,5897.0,6168.0,6801.0,18526.0,18194.0,18194.0
Cost Of Revenues,3854.0,4066.0,4467.0,13168.0,12855.0,12855.0
Gross Profit,2043.0,2102.0,2334.0,5358.0,5339.0,5339.0
Selling General & Admin Expenses,928.0,946.0,991.0,2684.0,2786.0,2786.0
Total Operating Expenses,928.0,946.0,991.0,2684.0,2786.0,2786.0
Operating Income,1115.0,1156.0,1343.0,2674.0,2553.0,2553.0
Interest Expense,(172.0),(170.0),(169.0),(270.0),(270.0),(270.0)
Interest And Investment Income,2.0,2.0,2.0,24.0,16.0,16.0
Net Interest Expenses,(170.0),(168.0),(167.0),(246.0),(254.0),(254.0)
Other Non Operating Income (Expenses),,(4.0),2.0,(2.0),10.0,10.0
"EBT, Excl. Unusual Items",945.0,984.0,1178.0,2426.0,2309.0,2309.0
"EBT, Incl. Unusual Items",889.0,908.0,1113.0,1816.0,1322.0,1322.0
Income Tax Expense,261.0,206.0,160.0,146.0,234.0,234.0
Earnings From Continuing Operations,628.0,702.0,953.0,1670.0,1088.0,1088.0
Earnings Of Discontinued Operations,(85.0),(3.0),(4.0),(2.0),(2.0),(2.0)
Net Income to Company,543.0,699.0,949.0,1668.0,1086.0,1086.0
Minority Interest,,,,(24.0),33.0,33.0
Net Income,543.0,699.0,949.0,1644.0,1119.0,1119.0
Preferred Dividend and Other Adjustments,1.0,2.0,2.0,,,
NI to Common Incl Extra Items,542.0,697.0,947.0,1644.0,1119.0,1119.0
NI to Common Excl. Extra Items,627.0,700.0,951.0,1646.0,1121.0,1121.0
Revenue Per Share,$48.10,$52.01,$57.64,$83.75,$85.02,$85.02
Basic EPS,$4.42,$5.88,$8.03,$7.43,$5.23,$5.23
Basic EPS - Continuing Ops,$5.11,$5.90,$8.06,$7.44,$5.24,$5.24
Basic Weighted Average Shares Outst.,122.6,118.6,118.0,221.2,214.0,214.0
Diluted EPS,$4.36,$5.76,$7.86,$7.35,$5.18,$5.18
Diluted EPS - Continuing Ops,$5.04,$5.78,$7.89,$7.36,$5.19,$5.19
Diluted Weighted Average Shares Outst.,124.3,121.1,120.5,223.7,215.9,215.9
Normalized Basic EPS,$4.82,$5.19,$6.24,$6.75,$6.90,$6.90
Normalized Diluted EPS,$4.75,$5.08,$6.11,$6.67,$6.84,$6.84
Dividend Per Share,$2.12,$2.28,$2.74,$3.00,$3.40,$3.40
Payout Ratio,48.25%,38.91%,34.25%,41.00%,64.79%,64.79%
EBITDA,1387.0,1415.0,1601.0,3245.0,3585.0,3585.0
EBITA,1241.0,1273.0,1458.0,3252.0,3262.0,3262.0
EBIT,1115.0,1156.0,1343.0,2674.0,2553.0,2553.0
EBITDAR,1452.0,1476.0,1674.0,,3761.0,3761.0
Effective Tax Rate,29.4%,22.7%,14.4%,8.0%,17.7%,17.7%
Normalized Net Income,590.6,615.0,736.3,1492.3,1476.1,1476.1
R&D Expense From Footnotes,310.0,311.0,331.0,658.0,684.0,684.0
Foreign Sales,260.0,314.0,271.0,,1196.0,1196.0
