Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,3759.5,4202.5,5247.1,5552.4,5643.5,5493.7
Other Revenues,1036.2,1120.9,1229.5,1339.9,1441.6,1406.5
Total Revenues,4795.8,5323.4,6476.6,6892.3,7085.1,6900.3
Cost Of Revenues,2694.4,2943.1,3568.1,3763.7,3851.4,3736.8
Gross Profit,2101.3,2380.3,2908.5,3128.6,3233.7,3163.4
Selling General & Admin Expenses,1332.4,1527.4,1916.8,1980.6,2061.8,1917.7
Total Operating Expenses,1332.4,1527.4,1916.8,1980.6,2061.8,1917.7
Operating Income,768.9,852.9,991.7,1147.9,1171.9,1245.7
Interest Expense,(64.5),(86.5),(110.2),(101.7),(105.4),(99.6)
Interest And Investment Income,0.9,0.2,1.3,1.2,1.0,0.6
Net Interest Expenses,(63.6),(86.3),(108.8),(100.5),(104.4),(99.0)
"EBT, Excl. Unusual Items",705.3,766.6,882.9,1047.4,1067.5,1146.7
"EBT, Incl. Unusual Items",705.3,687.4,841.0,1102.4,1058.3,1137.4
Income Tax Expense,256.7,230.1,57.1,219.8,181.9,149.6
Earnings From Continuing Operations,448.6,457.3,783.9,882.6,876.4,987.8
Earnings Of Discontinued Operations,244.9,23.4,58.7,2.3,(0.3),0.0
Net Income to Company,693.5,480.7,842.6,885.0,876.0,987.8
Net Income,693.5,480.7,842.6,885.0,876.0,987.8
Preferred Dividend and Other Adjustments,7.1,8.2,11.8,9.6,8.2,7.2
NI to Common Incl Extra Items,686.4,472.5,830.8,875.4,867.9,980.6
NI to Common Excl. Extra Items,441.5,449.1,772.1,873.1,868.2,980.6
Revenue Per Share,$44.31,$50.72,$60.76,$64.97,$68.25,$66.02
Basic EPS,$6.34,$4.50,$7.79,$8.25,$8.36,$9.38
Basic EPS - Continuing Ops,$4.08,$4.28,$7.24,$8.23,$8.36,$9.38
Basic Weighted Average Shares Outst.,108.2,105.0,106.6,106.1,103.8,104.5
Diluted EPS,$6.25,$4.39,$7.56,$7.99,$8.11,$9.14
Diluted EPS - Continuing Ops,$4.02,$4.17,$7.03,$7.97,$8.11,$9.14
Diluted Weighted Average Shares Outst.,110.0,107.8,109.8,109.5,107.0,107.3
Normalized Basic EPS,$4.07,$4.56,$5.18,$6.17,$6.43,$6.86
Normalized Diluted EPS,$4.01,$4.45,$5.03,$5.98,$6.23,$6.68
Dividend Per Share,$1.05,$1.33,$1.62,$2.05,$2.55,$4.26
Payout Ratio,16.62%,29.63%,20.84%,24.95%,30.59%,37.63%
EBITDA,934.2,1049.5,1248.3,1415.3,1451.7,1528.5
EBITA,784.5,877.9,1055.7,1213.3,1237.3,1307.2
EBIT,768.9,852.9,991.7,1147.9,1171.9,1245.7
EBITDAR,975.0,1099.1,1318.3,1485.0,1522.1,
Effective Tax Rate,36.4%,33.5%,6.8%,19.9%,17.2%,13.2%
Normalized Net Income,440.8,479.1,551.8,654.6,667.2,716.7
Interest Capitalized,1.1,2.1,,,,
R&D Expense From Footnotes,,,22.8,21.6,21.5,21.5
