Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,21.21%,5.94%,(1.38%),2.68%,0.00%
Total Revenues,21.21%,5.94%,(1.38%),2.68%,0.00%
Cost Of Revenues,20.87%,7.02%,(1.35%),1.30%,0.00%
Gross Profit,22.55%,1.77%,(1.52%),8.23%,0.00%
Selling General & Admin Expenses,0.39%,(7.00%),(12.76%),25.90%,0.00%
Depreciation & Amortization,53.20%,1.15%,(3.42%),(1.47%),0.00%
Total Operating Expenses,25.18%,(2.32%),(7.20%),8.95%,0.00%
Operating Income,19.68%,6.43%,4.44%,7.57%,0.00%
Interest Expense,(24.45%),(5.61%),(5.32%),-13.25%,0.00%
Net Interest Expenses,(24.45%),(5.61%),(5.32%),-13.25%,0.00%
Other Non Operating Income (Expenses),(44.44%),(43.59%),-19.64%,-44.44%,0.00%
"EBT, Excl. Unusual Items",18.97%,1.18%,5.04%,17.96%,0.00%
"EBT, Incl. Unusual Items",289.29%,17.06%,(4.86%),12.19%,0.00%
Income Tax Expense,,12.12%,(61.62%),39.44%,0.00%
Earnings From Continuing Operations,42.86%,19.21%,18.32%,8.58%,0.00%
Net Income to Company,42.86%,19.21%,18.32%,8.58%,0.00%
Minority Interest,(100.00%),,"2,900.00%",(90.00%),0.00%
Net Income,42.21%,21.39%,24.67%,3.36%,0.00%
NI to Common Incl Extra Items,42.21%,21.39%,24.67%,3.36%,0.00%
NI to Common Excl. Extra Items,42.21%,21.39%,24.67%,3.36%,0.00%
Revenue Per Share,9.56%,7.60%,2.71%,4.21%,0.00%
Basic EPS,28.64%,23.06%,29.50%,4.86%,0.00%
Basic EPS - Continuing Ops,28.64%,23.06%,29.50%,4.86%,0.00%
Basic Weighted Average Shares Outst.,10.65%,(1.56%),(3.97%),(1.46%),0.00%
Diluted EPS,29.63%,22.86%,28.68%,6.02%,0.00%
Diluted EPS - Continuing Ops,29.63%,22.86%,28.68%,6.02%,0.00%
Diluted Weighted Average Shares Outst.,10.56%,(1.31%),(3.46%),(2.15%),0.00%
Normalized Basic EPS,6.98%,4.14%,15.27%,13.27%,0.00%
Normalized Diluted EPS,6.66%,4.23%,14.65%,14.55%,0.00%
Dividend Per Share,40.38%,8.11%,37.50%,9.09%,0.00%
Payout Ratio,9.29%,(12.51%),6.55%,5.24%,0.00%
EBITDA,31.04%,4.34%,1.42%,4.26%,0.00%
EBITA,7.09%,25.71%,2.48%,6.02%,0.00%
EBIT,19.68%,6.43%,4.44%,7.57%,0.00%
EBITDAR,,,,4.88%,
Effective Tax Rate,,(4.24%),(59.67%),24.25%,0.00%
Normalized Net Income,18.36%,2.67%,11.01%,11.94%,0.00%
R&D Expense From Footnotes,(3.57%),18.52%,37.50%,6.82%,0.00%
Foreign Sales,32.79%,6.65%,(2.14%),(4.59%),
