Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6604.0,6340.0,8439.0,6423.0,4503.0,4503.0
Total Revenues,6604.0,6340.0,8439.0,6423.0,4503.0,4503.0
Cost Of Revenues,4403.0,4175.0,5474.0,3737.0,2946.0,2946.0
Gross Profit,2201.0,2165.0,2965.0,2686.0,1557.0,1557.0
Selling General & Admin Expenses,733.0,645.0,574.0,475.0,338.0,338.0
Depreciation & Amortization,1592.0,1008.0,1228.0,1497.0,1300.0,1300.0
Other Operating Expense/(Income),136.0,24.0,(464.0),479.0,(169.0),(169.0)
Total Operating Expenses,3111.0,2023.0,1575.0,2509.0,1484.0,1484.0
Operating Income,(910.0),142.0,1390.0,177.0,73.0,73.0
Interest Expense,(427.0),(337.0),(287.0),(260.0),(259.0),(259.0)
Interest And Investment Income,,,32.0,33.0,12.0,12.0
Net Interest Expenses,(427.0),(337.0),(255.0),(227.0),(247.0),(247.0)
Currency Exchange Gains (Loss),(39.0),,,,,
Other Non Operating Income (Expenses),(21.0),16.0,(13.0),(23.0),(23.0),(23.0)
"EBT, Excl. Unusual Items","(1,397.0)",(179.0),1122.0,(73.0),(197.0),(197.0)
"EBT, Incl. Unusual Items",(433.0),40.0,944.0,(109.0),"(3,090.0)","(3,090.0)"
Income Tax Expense,141.0,7.0,230.0,(30.0),(547.0),(547.0)
Earnings From Continuing Operations,(574.0),33.0,714.0,(79.0),"(2,543.0)","(2,543.0)"
Earnings Of Discontinued Operations,(884.0),1045.0,2510.0,(274.0),(128.0),(128.0)
Net Income to Company,"(1,458.0)",1078.0,3224.0,(353.0),"(2,671.0)","(2,671.0)"
Minority Interest,402.0,(180.0),(160.0),(2.0),(9.0),(9.0)
Net Income,"(1,056.0)",898.0,3064.0,(355.0),"(2,680.0)","(2,680.0)"
Preferred Dividend and Other Adjustments,2.0,1.0,8.0,2.0,4.0,4.0
NI to Common Incl Extra Items,"(1,058.0)",897.0,3056.0,(357.0),"(2,684.0)","(2,684.0)"
NI to Common Excl. Extra Items,(174.0),(148.0),546.0,(83.0),"(2,556.0)","(2,556.0)"
Revenue Per Share,$13.03,$12.19,$17.08,$16.02,$11.94,$11.94
Basic EPS,($2.09),$1.73,$6.19,($0.89),($7.12),($7.12)
Basic EPS - Continuing Ops,($0.34),($0.28),$1.11,($0.21),($6.78),($6.78)
Basic Weighted Average Shares Outst.,507.0,520.0,494.0,401.0,377.0,377.0
Diluted EPS,($2.09),$1.70,$6.10,($0.89),($7.12),($7.12)
Diluted EPS - Continuing Ops,($0.35),($0.31),$1.05,($0.21),($6.78),($6.78)
Diluted Weighted Average Shares Outst.,507.0,520.0,497.0,401.0,377.0,377.0
Normalized Basic EPS,($0.93),($0.56),$1.10,($0.12),($0.35),($0.35)
Normalized Diluted EPS,($0.93),($0.56),$1.09,($0.12),($0.35),($0.35)
Dividend Per Share,$0.42,$0.24,$0.30,$0.35,$0.42,$0.42
Payout Ratio,NM,14.14%,4.86%,NM,NM,NM
EBITDA,1269.0,1394.0,2848.0,1713.0,1393.0,1393.0
EBITA,(835.0),169.0,1416.0,198.0,93.0,93.0
EBIT,(910.0),142.0,1390.0,177.0,73.0,73.0
EBITDAR,1280.0,,,1715.0,,
Effective Tax Rate,NM,17.5%,24.4%,NM,NM,NM
Normalized Net Income,(471.1),(291.9),541.3,(47.6),(132.1),(132.1)
Interest Capitalized,61.0,,,,,
Interest on Long-Term Debt,509.0,,,10.0,11.0,11.0
Foreign Sales,1031.0,,,,,
