Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,28.32%,23.37%,9.70%,(3.44%),0.00%
Other Revenues,,(39.56%),,,
Total Revenues,35.46%,20.05%,6.79%,(3.44%),0.00%
Cost Of Revenues,39.61%,11.26%,5.57%,(13.26%),0.00%
Gross Profit,32.85%,25.88%,7.50%,2.21%,0.00%
Selling General & Admin Expenses,46.88%,17.82%,11.63%,(3.06%),0.00%
Depreciation & Amortization,71.90%,7.35%,19.64%,14.45%,0.00%
Total Operating Expenses,59.83%,16.33%,8.19%,(2.47%),0.00%
Operating Income,(56.47%),141.93%,3.49%,30.81%,0.00%
Interest Expense,(364.16%),-0.92%,-18.89%,(12.45%),0.00%
Interest And Investment Income,22.95%,(14.78%),17.93%,(31.03%),0.00%
Net Interest Expenses,(397.44%),-0.58%,-19.65%,(13.77%),0.00%
Currency Exchange Gains (Loss),(571.29%),-75.21%,(207.98%),-55.41%,0.00%
Other Non Operating Income (Expenses),34.76%,(77.12%),26.22%,,0.00%
"EBT, Excl. Unusual Items",(90.68%),692.84%,14.53%,35.62%,0.00%
"EBT, Incl. Unusual Items",,,52.24%,18.28%,0.00%
Income Tax Expense,,,(27.64%),39.90%,0.00%
Earnings From Continuing Operations,(98.31%),"3,634.55%",90.51%,14.34%,0.00%
Net Income to Company,(98.31%),"3,634.55%",90.51%,14.34%,0.00%
Net Income,(98.31%),"3,634.55%",90.51%,14.34%,0.00%
NI to Common Incl Extra Items,(98.31%),"3,634.55%",90.51%,14.34%,0.00%
NI to Common Excl. Extra Items,(98.31%),"3,634.55%",90.51%,14.34%,0.00%
Revenue Per Share,26.42%,16.94%,7.99%,(2.90%),0.00%
Basic EPS,(98.42%),"3,270.58%",92.40%,14.87%,0.00%
Basic EPS - Continuing Ops,(98.42%),"3,270.58%",92.40%,14.87%,0.00%
Basic Weighted Average Shares Outst.,7.14%,2.67%,(1.11%),(0.56%),0.00%
Diluted EPS,(98.40%),"3,225.00%",92.48%,15.62%,0.00%
Diluted EPS - Continuing Ops,(98.40%),"3,225.00%",92.48%,15.62%,0.00%
Diluted Weighted Average Shares Outst.,7.12%,2.60%,(1.25%),(1.05%),0.00%
Normalized Basic EPS,(91.31%),659.66%,15.90%,36.07%,0.00%
Normalized Diluted EPS,(91.30%),684.64%,15.82%,37.13%,0.00%
EBITDA,(4.81%),59.47%,(6.22%),20.16%,0.00%
EBITA,(12.05%),68.85%,(8.05%),22.04%,0.00%
EBIT,(56.47%),141.93%,3.49%,30.81%,0.00%
EBITDAR,6.98%,49.53%,(1.30%),16.19%,
Effective Tax Rate,211.94%,,(52.47%),18.32%,0.00%
Normalized Net Income,(90.68%),692.84%,14.53%,35.62%,0.00%
Interest on Long-Term Debt,364.16%,(0.92%),(18.89%),12.45%,
R&D Expense From Footnotes,12.50%,33.33%,51.52%,44.50%,0.00%
Foreign Sales,258.08%,20.05%,6.79%,(3.44%),
