Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,31.57%,30.78%,30.25%,14.07%,0.00%
Total Revenues,31.57%,30.78%,30.25%,14.07%,0.00%
Cost Of Revenues,29.36%,22.09%,17.19%,9.45%,0.00%
Gross Profit,31.95%,32.24%,32.28%,14.70%,0.00%
Selling General & Admin Expenses,32.20%,25.86%,27.58%,34.91%,0.00%
R&D Expenses,45.14%,51.98%,58.02%,23.49%,0.00%
Depreciation & Amortization,42.28%,52.91%,42.33%,26.44%,0.00%
Total Operating Expenses,34.48%,31.34%,33.41%,32.08%,0.00%
Operating Income,27.49%,33.93%,30.23%,(17.73%),0.00%
Interest Expense,-12.07%,-15.92%,(202.22%),-39.57%,0.00%
Net Interest Expenses,-12.07%,-15.92%,(202.22%),-39.57%,0.00%
Other Non Operating Income (Expenses),,,23.61%,(44.35%),0.00%
"EBT, Excl. Unusual Items",27.47%,35.78%,29.41%,(17.76%),0.00%
"EBT, Incl. Unusual Items",26.45%,36.78%,29.41%,(17.76%),0.00%
Income Tax Expense,(86.12%),786.62%,20.89%,(6.65%),0.00%
Earnings From Continuing Operations,75.35%,11.00%,31.74%,(20.56%),0.00%
Net Income to Company,75.35%,11.00%,31.74%,(20.56%),0.00%
Net Income,75.35%,11.00%,31.74%,(20.56%),0.00%
Preferred Dividend and Other Adjustments,(41.12%),(49.52%),(49.06%),,
NI to Common Incl Extra Items,76.25%,11.15%,31.84%,(20.52%),0.00%
NI to Common Excl. Extra Items,76.25%,11.15%,31.84%,(20.52%),0.00%
Revenue Per Share,30.89%,31.02%,30.64%,13.91%,0.00%
Basic EPS,76.00%,11.37%,32.31%,(20.71%),0.00%
Basic EPS - Continuing Ops,76.00%,11.37%,32.31%,(20.71%),0.00%
Basic Weighted Average Shares Outst.,0.50%,(0.22%),(0.26%),0.10%,0.00%
Diluted EPS,76.07%,11.29%,32.09%,(20.39%),0.00%
Diluted EPS - Continuing Ops,76.07%,11.29%,32.09%,(20.39%),0.00%
Diluted Weighted Average Shares Outst.,(0.30%),(0.35%),(0.32%),(0.19%),0.00%
Normalized Basic EPS,26.40%,36.12%,29.89%,(17.68%),0.00%
Normalized Diluted EPS,27.85%,36.06%,30.10%,(17.61%),0.00%
EBITDA,27.14%,34.32%,30.68%,(14.85%),0.00%
EBITA,26.39%,33.16%,30.19%,(17.71%),0.00%
EBIT,27.49%,33.93%,30.23%,(17.73%),0.00%
EBITDAR,26.27%,33.92%,30.77%,(13.81%),
Effective Tax Rate,(89.02%),549.02%,(6.59%),13.50%,0.00%
Normalized Net Income,27.47%,35.78%,29.41%,(17.76%),0.00%
Interest Capitalized,100.00%,0.00%,(25.00%),150.00%,
R&D Expense From Footnotes,45.14%,51.98%,58.02%,23.49%,0.00%
