Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,17.01%,0.28%,6.19%,8.94%,2.72%
Total Revenues,17.01%,0.28%,6.19%,8.94%,2.72%
Cost Of Revenues,18.62%,(3.74%),4.57%,6.98%,1.40%
Gross Profit,14.60%,6.48%,8.46%,11.58%,4.43%
Selling General & Admin Expenses,19.88%,(5.55%),4.71%,9.88%,0.95%
R&D Expenses,4.82%,2.33%,3.71%,3.98%,2.86%
Total Operating Expenses,18.46%,(4.89%),4.62%,9.36%,1.12%
Operating Income,6.73%,32.19%,14.69%,14.88%,8.89%
Interest Expense,(4.24%),(13.72%),-11.09%,-10.52%,-12.16%
Interest And Investment Income,77.78%,93.51%,0.40%,(3.22%),10.74%
Net Interest Expenses,(1.26%),(8.04%),-12.55%,-11.59%,-15.71%
"EBT, Excl. Unusual Items",7.62%,35.86%,17.98%,17.25%,10.62%
"EBT, Incl. Unusual Items",7.42%,92.25%,4.08%,34.97%,9.08%
Income Tax Expense,22.75%,(14.40%),1.63%,41.12%,6.05%
Earnings From Continuing Operations,(0.85%),163.60%,4.61%,33.67%,9.78%
Net Income to Company,(0.85%),163.60%,4.61%,33.67%,9.78%
Minority Interest,-18.98%,(6.16%),(44.98%),-80.49%,-82.75%
Net Income,(0.72%),164.55%,4.52%,34.06%,9.88%
NI to Common Incl Extra Items,(0.72%),164.55%,4.52%,34.06%,9.88%
NI to Common Excl. Extra Items,(0.72%),164.55%,4.52%,34.06%,9.88%
Revenue Per Share,(3.20%),0.80%,6.77%,8.67%,2.24%
Basic EPS,(18.05%),165.22%,5.12%,33.93%,9.37%
Basic EPS - Continuing Ops,(18.05%),165.22%,5.12%,33.93%,9.37%
Basic Weighted Average Shares Outst.,20.90%,(0.52%),(0.53%),0.24%,0.47%
Diluted EPS,(17.95%),164.84%,5.01%,33.71%,9.34%
Diluted EPS - Continuing Ops,(17.95%),164.84%,5.01%,33.71%,9.34%
Diluted Weighted Average Shares Outst.,20.95%,(0.44%),(0.29%),0.20%,0.26%
Normalized Basic EPS,(10.73%),36.73%,18.57%,17.16%,10.23%
Normalized Diluted EPS,(10.98%),36.32%,18.20%,17.43%,10.45%
Dividend Per Share,11.22%,11.01%,9.92%,9.02%,8.45%
Payout Ratio,43.96%,(58.25%),4.58%,(18.42%),(0.83%)
EBITDA,14.65%,18.20%,15.56%,8.52%,8.64%
EBITA,11.22%,26.84%,(1.86%),30.49%,24.10%
EBIT,6.73%,32.19%,14.69%,14.88%,8.89%
EBITDAR,15.97%,,,,
Effective Tax Rate,14.27%,(55.47%),(2.36%),4.55%,(2.78%)
Normalized Net Income,7.76%,35.97%,17.90%,17.62%,10.74%
Interest Capitalized,,,,(13.54%),
R&D Expense From Footnotes,4.82%,2.33%,3.71%,3.98%,2.86%
Foreign Sales,42.26%,0.07%,5.97%,8.87%,
