Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,7.34%,5.62%,0.43%,(5.45%),(7.81%)
Total Revenues,7.34%,5.62%,0.43%,(5.45%),(7.81%)
Cost Of Revenues,7.03%,3.78%,0.36%,(1.58%),(5.19%)
Gross Profit,7.77%,8.13%,0.53%,(10.51%),(11.36%)
Selling General & Admin Expenses,11.47%,(1.33%),(5.21%),(0.85%),(4.53%)
Total Operating Expenses,11.47%,(1.33%),(5.21%),(0.85%),(4.53%)
Operating Income,2.40%,23.11%,7.81%,(21.29%),(19.50%)
Interest Expense,(6.87%),-4.20%,(34.52%),(5.40%),-4.04%
Interest And Investment Income,54.33%,24.49%,(54.51%),(50.45%),(74.81%)
Net Interest Expenses,-3.41%,-14.13%,(79.22%),(12.51%),(6.53%)
Currency Exchange Gains (Loss),-24.17%,,(72.73%),,
Other Non Operating Income (Expenses),93.62%,79.12%,,,
"EBT, Excl. Unusual Items",3.55%,27.05%,2.31%,(22.63%),(20.07%)
"EBT, Incl. Unusual Items",10.00%,28.28%,(32.30%),26.09%,34.75%
Income Tax Expense,(0.80%),275.67%,(74.20%),(44.98%),10.93%
Earnings From Continuing Operations,13.16%,(35.15%),29.93%,47.05%,39.46%
Net Income to Company,13.16%,(35.15%),29.93%,47.05%,39.46%
Net Income,13.16%,(35.15%),29.93%,47.08%,41.01%
Preferred Dividend and Other Adjustments,28.57%,(44.44%),40.00%,42.86%,55.56%
NI to Common Incl Extra Items,13.14%,(35.14%),29.93%,47.09%,40.99%
NI to Common Excl. Extra Items,13.14%,(35.14%),29.93%,47.09%,40.99%
Revenue Per Share,8.84%,8.15%,6.46%,(3.41%),(6.82%)
Basic EPS,14.71%,(33.55%),37.61%,50.15%,42.51%
Basic EPS - Continuing Ops,14.71%,(33.55%),37.61%,50.15%,42.51%
Basic Weighted Average Shares Outst.,(1.38%),(2.34%),(5.66%),(2.11%),(1.07%)
Diluted EPS,14.21%,(33.70%),38.48%,50.43%,42.63%
Diluted EPS - Continuing Ops,14.21%,(33.70%),38.48%,50.43%,42.63%
Diluted Weighted Average Shares Outst.,(0.92%),(2.31%),(5.99%),(2.26%),(1.14%)
Normalized Basic EPS,4.94%,30.19%,8.53%,(20.97%),(17.64%)
Normalized Diluted EPS,4.42%,30.02%,8.85%,(20.80%),(17.57%)
Dividend Per Share,4.83%,15.46%,10.54%,5.15%,5.09%
Payout Ratio,(8.71%),73.95%,(19.73%),(30.09%),(26.25%)
EBITDA,1.93%,19.50%,6.20%,(17.92%),(16.36%)
EBITA,2.65%,22.29%,7.65%,(19.29%),(17.56%)
EBIT,2.40%,23.11%,7.81%,(21.29%),(19.50%)
EBITDAR,1.73%,18.18%,5.63%,(16.54%),
Effective Tax Rate,(9.82%),192.80%,(61.89%),(56.36%),(17.68%)
Normalized Net Income,3.55%,27.05%,2.31%,(22.61%),(18.51%)
R&D Expense From Footnotes,9.05%,6.78%,1.91%,(1.95%),(1.95%)
Foreign Sales,136.72%,5.62%,0.43%,(56.61%),
