Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.16%,1.79%,3.87%,4.78%,4.63%
Total Revenues,1.16%,1.79%,3.87%,4.78%,4.63%
Cost Of Revenues,2.03%,2.03%,2.05%,5.84%,6.08%
Gross Profit,0.44%,1.59%,5.38%,3.92%,3.45%
Selling General & Admin Expenses,(0.92%),3.68%,6.47%,5.13%,4.40%
R&D Expenses,(3.03%),(7.73%),4.56%,1.13%,1.13%
Other Operating Expense/(Income),,(200.00%),,,
Total Operating Expenses,(1.01%),3.33%,6.44%,4.99%,4.13%
Operating Income,3.89%,(2.36%),2.84%,1.27%,1.76%
Interest Expense,-14.23%,(5.91%),-23.30%,(20.64%),(7.35%)
Interest And Investment Income,121.82%,,,,
Net Interest Expenses,-26.38%,(34.40%),-23.30%,(20.64%),(7.35%)
Other Non Operating Income (Expenses),,,,(83.64%),
"EBT, Excl. Unusual Items",6.98%,(5.79%),6.92%,(1.05%),3.29%
"EBT, Incl. Unusual Items",12.26%,(4.30%),1.34%,(2.61%),4.12%
Income Tax Expense,115.92%,,,(3.32%),5.98%
Earnings From Continuing Operations,(23.06%),155.89%,(41.45%),(2.42%),3.64%
Net Income to Company,(23.06%),155.89%,(41.45%),(2.42%),3.64%
Minority Interest,(2.00%),-13.73%,-11.36%,(41.03%),(18.60%)
Net Income,(23.26%),157.67%,(41.56%),(2.65%),3.55%
Preferred Dividend and Other Adjustments,(33.33%),(50.00%),,,
NI to Common Incl Extra Items,(23.25%),157.84%,(41.55%),(2.65%),3.55%
NI to Common Excl. Extra Items,(23.25%),157.84%,(41.55%),(2.65%),3.55%
Revenue Per Share,2.15%,2.51%,5.05%,5.83%,5.57%
Basic EPS,(22.42%),159.33%,(40.86%),(1.71%),4.49%
Basic EPS - Continuing Ops,(22.42%),159.33%,(40.86%),(1.71%),4.49%
Basic Weighted Average Shares Outst.,(0.97%),(0.70%),(1.13%),(1.00%),(0.90%)
Diluted EPS,(22.53%),159.84%,(40.77%),(1.54%),4.60%
Diluted EPS - Continuing Ops,(22.53%),159.84%,(40.77%),(1.54%),4.60%
Diluted Weighted Average Shares Outst.,(0.96%),(0.90%),(1.26%),(1.07%),(0.93%)
Normalized Basic EPS,8.12%,(5.12%),8.38%,(0.41%),4.11%
Normalized Diluted EPS,7.97%,(4.88%),8.31%,(0.22%),4.14%
Dividend Per Share,7.01%,13.17%,5.64%,6.13%,7.07%
Payout Ratio,37.85%,(57.21%),84.10%,6.69%,1.44%
EBITDA,3.14%,(1.57%),(0.37%),1.60%,1.94%
EBITA,3.85%,(2.34%),2.94%,1.35%,1.83%
EBIT,3.89%,(2.36%),2.84%,1.27%,1.76%
EBITDAR,3.29%,(1.27%),(2.06%),2.04%,
Effective Tax Rate,92.31%,,,(0.74%),1.79%
Normalized Net Income,7.02%,(5.73%),7.07%,(1.32%),3.18%
R&D Expense From Footnotes,(3.03%),(7.73%),4.56%,1.13%,1.13%
Foreign Sales,3.50%,1.98%,3.65%,3.70%,
