Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,4.85%,9.59%,12.31%,(3.88%),(4.51%)
Total Revenues,4.85%,9.59%,12.31%,(3.88%),(4.51%)
Cost Of Revenues,6.46%,6.44%,13.81%,(2.21%),(3.15%)
Gross Profit,(1.75%),23.68%,6.53%,(10.74%),(10.18%)
Selling General & Admin Expenses,1.88%,3.27%,13.07%,(7.31%),(9.14%)
Total Operating Expenses,2.75%,8.35%,15.96%,(6.46%),(8.80%)
Operating Income,(7.85%),46.83%,(3.97%),(16.51%),(12.13%)
Interest Expense,(4.71%),(58.56%),(38.72%),-4.88%,-12.14%
Interest And Investment Income,,,(2.88%),(10.12%),(27.18%)
Net Interest Expenses,(4.71%),(32.04%),(47.07%),-4.19%,-3.92%
Other Non Operating Income (Expenses),400.00%,10.43%,(81.10%),295.83%,"1,278.57%"
"EBT, Excl. Unusual Items",(6.54%),47.38%,(17.51%),(19.97%),(12.37%)
"EBT, Incl. Unusual Items",250.61%,20.66%,10.62%,,
Income Tax Expense,77.06%,,,(40.93%),(35.80%)
Earnings From Continuing Operations,351.29%,173.30%,(54.54%),,
Net Income to Company,,173.30%,(54.54%),,
Minority Interest,,,(56.25%),-4.00%,-18.87%
Net Income,,169.15%,(54.73%),,
Preferred Dividend and Other Adjustments,,100.00%,(50.00%),0.00%,0.00%
NI to Common Incl Extra Items,,169.16%,(54.73%),,
NI to Common Excl. Extra Items,377.16%,169.16%,(54.73%),,
Revenue Per Share,5.61%,8.18%,11.82%,(4.84%),(5.56%)
Basic EPS,,165.46%,(54.93%),,
Basic EPS - Continuing Ops,384.08%,165.46%,(54.93%),,
Basic Weighted Average Shares Outst.,(0.71%),1.31%,0.43%,1.01%,1.12%
Diluted EPS,,164.98%,(54.63%),,
Diluted EPS - Continuing Ops,385.96%,164.98%,(54.63%),,
Diluted Weighted Average Shares Outst.,(0.85%),1.60%,(0.27%),0.04%,0.43%
Normalized Basic EPS,(3.11%),42.28%,(18.09%),(20.93%),(13.28%)
Normalized Diluted EPS,(3.22%),42.40%,(17.62%),(20.04%),(12.70%)
Dividend Per Share,6.67%,7.50%,5.81%,(26.92%),(41.80%)
Payout Ratio,,(59.37%),134.43%,,
EBITDA,(2.85%),30.63%,5.01%,(8.81%),(7.26%)
EBITA,(5.09%),43.58%,2.33%,(13.16%),(10.58%)
EBIT,(7.85%),46.83%,(3.97%),(16.51%),(12.13%)
EBITDAR,(2.16%),29.32%,7.95%,(9.30%),
Effective Tax Rate,(49.50%),,,,
Normalized Net Income,(3.96%),44.38%,(17.80%),(20.09%),(12.32%)
Interest Capitalized,(7.89%),17.14%,190.24%,3.36%,
Foreign Earnings,,38.68%,8.76%,(23.99%),
Foreign Sales,8.02%,23.48%,465.05%,(3.88%),
