Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,12574.0,12632.0,13237.0,12914.0,11847.0,11847.0
Total Revenues,12574.0,12632.0,13237.0,12914.0,11847.0,11847.0
Cost Of Revenues,6760.0,6964.0,7488.0,7367.0,6240.0,6240.0
Gross Profit,5814.0,5668.0,5749.0,5547.0,5607.0,5607.0
Selling General & Admin Expenses,3776.0,3940.0,4289.0,4306.0,3733.0,3733.0
Total Operating Expenses,3776.0,3940.0,4289.0,4306.0,3733.0,3733.0
Operating Income,2038.0,1728.0,1460.0,1241.0,1874.0,1874.0
Interest Expense,(394.0),(406.0),(385.0),(378.0),(438.0),(438.0)
Interest And Investment Income,,20.0,,,,
Net Interest Expenses,(394.0),(386.0),(385.0),(378.0),(438.0),(438.0)
Other Non Operating Income (Expenses),11.0,15.0,5.0,16.0,3.0,3.0
"EBT, Excl. Unusual Items",1655.0,1357.0,1080.0,879.0,1439.0,1439.0
"EBT, Incl. Unusual Items",1696.0,1312.0,857.0,(181.0),1092.0,1092.0
Income Tax Expense,538.0,329.0,213.0,185.0,248.0,248.0
Earnings From Continuing Operations,1158.0,983.0,644.0,(366.0),844.0,844.0
Net Income to Company,1158.0,983.0,644.0,(366.0),844.0,844.0
Net Income,1158.0,983.0,644.0,(366.0),844.0,844.0
NI to Common Incl Extra Items,1158.0,983.0,644.0,(366.0),844.0,844.0
NI to Common Excl. Extra Items,1158.0,983.0,644.0,(366.0),844.0,844.0
Revenue Per Share,$43.81,$44.48,$47.96,$46.79,$42.62,$42.62
Basic EPS,$4.03,$3.46,$2.33,($1.33),$3.04,$3.04
Basic EPS - Continuing Ops,$4.03,$3.46,$2.33,($1.33),$3.04,$3.04
Basic Weighted Average Shares Outst.,287.0,284.0,276.0,276.0,278.0,278.0
Diluted EPS,$3.98,$3.42,$2.31,($1.33),$3.00,$3.00
Diluted EPS - Continuing Ops,$3.98,$3.42,$2.31,($1.33),$3.00,$3.00
Diluted Weighted Average Shares Outst.,291.0,287.0,279.0,276.0,281.0,281.0
Normalized Basic EPS,$3.60,$2.99,$2.45,$1.99,$3.24,$3.24
Normalized Diluted EPS,$3.55,$2.96,$2.42,$1.99,$3.20,$3.20
Dividend Per Share,$2.40,$2.40,$2.40,$1.20,$0.30,$0.30
Payout Ratio,59.68%,69.79%,103.42%,NM,9.83%,9.83%
EBITDA,2556.0,2299.0,2050.0,1829.0,2395.0,2395.0
EBITA,2038.0,1728.0,1460.0,1241.0,1874.0,1874.0
EBIT,2038.0,1728.0,1460.0,1241.0,1874.0,1874.0
EBITDAR,3319.0,3100.0,2881.0,2663.0,3120.0,3120.0
Effective Tax Rate,31.7%,25.1%,24.9%,NM,22.7%,22.7%
Normalized Net Income,1034.4,848.1,675.0,549.4,899.4,899.4
Foreign Sales,1408.0,1553.0,1683.0,1496.0,1111.0,1111.0
