Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,27.71%,(34.71%),20.50%,(1.93%),0.00%
Total Revenues,27.71%,(34.71%),20.50%,(1.93%),0.00%
Operations And Maintenance,6.27%,5.10%,14.12%,4.72%,0.00%
Depreciation & Amortization,(7.99%),18.73%,(0.41%),(2.94%),0.00%
Other Operating Expenses,56.09%,(63.49%),30.04%,(9.61%),0.00%
Total Operating Expenses,29.89%,(36.37%),17.16%,(2.65%),0.00%
Operating Income,12.62%,(21.48%),42.09%,1.92%,0.00%
"Interest Expense, Total",-9.09%,(7.69%),(35.00%),-6.70%,0.00%
Interest and Investment Income,(91.30%),"2,700.00%",(21.43%),(81.82%),0.00%
Net Interest Expenses,-4.43%,-6.19%,(43.68%),-0.38%,0.00%
Other Non-Operating Inc. (Exp.),,,(8.06%),,0.00%
"EBT, Excl. Unusual Items",193.33%,(45.74%),17.63%,,0.00%
Impairment of Goodwill,,,,,0.00%
Other Unusual Items,,,,0.00%,
"EBT, Incl. Unusual Items",54.96%,(48.17%),40.47%,,0.00%
Income Tax Expense,,,(40.65%),,0.00%
Earnings From Continuing Operations,314.81%,(77.90%),72.22%,,0.00%
Earnings Of Discontinued Operations,,,,,0.00%
Net Income to Company,314.81%,(79.46%),114.95%,,0.00%
Net Income,314.81%,(79.46%),114.95%,,0.00%
Pref. Dividends and Other Adj.,,,234.29%,50.43%,0.00%
NI to Common Incl Extra Items,314.81%,(81.42%),102.40%,,0.00%
NI to Common Excl. Extra Items,314.81%,(79.85%),56.51%,,0.00%
Revenue Per Share,27.62%,(37.31%),7.69%,(7.31%),0.00%
Basic EPS,315.81%,(82.17%),81.42%,,0.00%
Basic EPS - Continuing Ops,315.81%,(80.67%),40.67%,,0.00%
Basic Weighted Average Shares Outst.,0.08%,4.15%,11.86%,5.77%,0.00%
Diluted EPS,313.00%,(82.13%),80.51%,,0.00%
Diluted EPS - Continuing Ops,313.00%,(80.63%),40.00%,,0.00%
Diluted Weighted Average Shares Outst.,0.16%,4.18%,11.65%,5.12%,0.00%
Normalized Basic EPS,194.51%,(47.85%),4.88%,,0.00%
Normalized Diluted EPS,192.24%,(47.93%),5.56%,,0.00%
Dividend Per Share,3.88%,3.74%,3.60%,(35.65%),0.00%
Payout Ratio,(74.91%),438.62%,(36.60%),,0.00%
EBITDA,1.87%,(27.36%),41.10%,3.73%,0.00%
EBITA,13.51%,(15.41%),41.11%,(0.08%),0.00%
EBIT,12.62%,(21.48%),42.09%,1.92%,0.00%
EBITDAR,,,,3.27%,
Effective Tax Rate,,,(57.75%),166.41%,0.00%
Normalized Net Income,193.33%,(45.74%),17.63%,,0.00%
Interest Capitalized,12.50%,(11.11%),350.00%,(25.00%),
Interest on Long-Term Debt,(15.38%),(23.38%),(33.90%),(28.21%),
