Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12.08%,7.24%,3.64%,(10.15%),0.00%
Total Revenues,12.08%,7.24%,3.64%,(10.15%),0.00%
Cost Of Revenues,30.05%,(4.98%),(2.73%),(3.48%),0.00%
Gross Profit,(48.52%),111.29%,28.03%,(29.56%),0.00%
Selling General & Admin Expenses,10.17%,8.21%,10.43%,(12.02%),0.00%
Other Operating Expense/(Income),(87.62%),,,,
Total Operating Expenses,(26.24%),(7.21%),23.32%,(13.87%),0.00%
Operating Income,(59.71%),220.35%,29.28%,(33.55%),0.00%
Interest Expense,(57.50%),-23.49%,-1.66%,-24.47%,0.00%
Interest And Investment Income,140.00%,8.33%,53.85%,(10.00%),0.00%
Net Interest Expenses,(55.38%),-24.75%,-4.82%,-25.81%,0.00%
Currency Exchange Gains (Loss),-97.85%,,(80.00%),,0.00%
Other Non Operating Income (Expenses),(50.00%),500.00%,(83.33%),,
"EBT, Excl. Unusual Items",,,31.86%,(34.78%),0.00%
"EBT, Incl. Unusual Items",-44.69%,,41.13%,(40.03%),0.00%
Income Tax Expense,(745.59%),,5.88%,(75.40%),0.00%
Earnings From Continuing Operations,,(4.89%),50.93%,(33.13%),0.00%
Net Income to Company,,(4.89%),50.93%,(33.13%),0.00%
Minority Interest,-22.69%,(50.00%),(10.87%),-24.84%,0.00%
Net Income,,(18.99%),70.00%,(35.70%),0.00%
NI to Common Incl Extra Items,,(18.99%),70.00%,(35.70%),0.00%
NI to Common Excl. Extra Items,,(18.99%),70.00%,(35.70%),0.00%
Revenue Per Share,11.87%,7.64%,9.48%,(7.92%),0.00%
Basic EPS,,(18.51%),79.11%,(34.15%),0.00%
Basic EPS - Continuing Ops,,(18.51%),79.11%,(34.15%),0.00%
Basic Weighted Average Shares Outst.,0.17%,(0.39%),(5.33%),(2.41%),0.00%
Diluted EPS,,(18.95%),79.84%,(34.08%),0.00%
Diluted EPS - Continuing Ops,,(18.95%),79.84%,(34.08%),0.00%
Diluted Weighted Average Shares Outst.,0.34%,(0.04%),(5.22%),(2.89%),0.00%
Normalized Basic EPS,(261.68%),,53.73%,(38.58%),0.00%
Normalized Diluted EPS,(261.06%),,54.53%,(38.20%),0.00%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,,23.45%,(44.33%),51.42%,0.00%
EBITDA,(10.49%),45.36%,12.34%,(16.40%),0.00%
EBITA,(58.63%),211.06%,29.14%,(33.26%),0.00%
EBIT,(59.71%),220.35%,29.28%,(33.55%),0.00%
EBITDAR,(8.59%),40.44%,11.71%,(15.08%),
Effective Tax Rate,,,(24.99%),(58.97%),0.00%
Normalized Net Income,(257.95%),,46.24%,(39.94%),0.00%
Interest Capitalized,(98.80%),(50.00%),100.00%,,
Foreign Sales,33.65%,(0.78%),(5.20%),(9.56%),
