Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.03%,(33.98%),20.09%,1.54%,0.00%
Total Revenues,7.03%,(33.98%),20.09%,1.54%,0.00%
Cost Of Revenues,5.47%,(43.07%),28.17%,(2.38%),0.00%
Gross Profit,8.58%,(25.16%),14.13%,4.79%,0.00%
Selling General & Admin Expenses,8.99%,(11.39%),29.58%,5.06%,0.00%
R&D Expenses,5.21%,(24.70%),15.17%,0.12%,0.00%
Total Operating Expenses,8.17%,(14.20%),26.91%,4.23%,0.00%
Operating Income,9.20%,(41.44%),(13.68%),6.59%,0.00%
Interest Expense,(91.16%),-12.97%,(84.72%),(4.14%),0.00%
Net Interest Expenses,(91.16%),-12.97%,(84.72%),(4.14%),0.00%
Other Non Operating Income (Expenses),,(91.57%),85.71%,207.69%,0.00%
"EBT, Excl. Unusual Items",6.33%,(44.13%),(26.62%),8.01%,0.00%
"EBT, Incl. Unusual Items",6.24%,(47.30%),(40.49%),347.79%,0.00%
Income Tax Expense,(29.97%),(60.06%),(9.26%),(19.10%),0.00%
Earnings From Continuing Operations,19.47%,(44.57%),(45.31%),441.66%,0.00%
Earnings Of Discontinued Operations,21.27%,"1,412.86%",(80.57%),(65.78%),0.00%
Net Income to Company,19.74%,178.97%,(74.64%),118.34%,0.00%
Net Income,19.74%,178.97%,(74.64%),118.34%,0.00%
Preferred Dividend and Other Adjustments,,,97.71%,0.00%,0.00%
NI to Common Incl Extra Items,19.74%,175.62%,(76.73%),130.53%,0.00%
NI to Common Excl. Extra Items,19.47%,(48.51%),(56.27%),594.73%,0.00%
Revenue Per Share,6.45%,(33.58%),23.56%,1.07%,0.00%
Basic EPS,19.28%,176.83%,(76.05%),130.00%,0.00%
Basic EPS - Continuing Ops,18.91%,(48.12%),(55.08%),594.84%,0.00%
Basic Weighted Average Shares Outst.,0.52%,(0.58%),(2.81%),0.48%,0.00%
Diluted EPS,18.10%,177.39%,(75.95%),128.12%,0.00%
Diluted EPS - Continuing Ops,17.84%,(48.21%),(54.62%),585.61%,0.00%
Diluted Weighted Average Shares Outst.,1.53%,(0.54%),(3.05%),5.59%,0.00%
Normalized Basic EPS,5.97%,(43.77%),(24.66%),7.02%,0.00%
Normalized Diluted EPS,5.00%,(43.75%),(24.23%),1.79%,0.00%
Dividend Per Share,100.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,67.67%,(51.53%),388.53%,(54.02%),0.00%
EBITDA,7.79%,(35.34%),8.47%,8.73%,0.00%
EBITA,6.78%,(36.09%),7.85%,10.30%,0.00%
EBIT,9.20%,(41.44%),(13.68%),6.59%,0.00%
EBITDAR,7.51%,(34.52%),9.97%,8.42%,
Effective Tax Rate,(34.09%),(24.21%),52.50%,(81.93%),0.00%
Normalized Net Income,6.33%,(44.13%),(26.62%),8.01%,0.00%
Interest on Long-Term Debt,,,,20.00%,
R&D Expense From Footnotes,5.21%,(24.70%),15.17%,0.12%,0.00%
Foreign Sales,10.98%,(26.19%),12.74%,1.30%,
