Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,(2.03%),2.21%,1.34%,4.09%,0.00%
Total Revenues,(2.03%),2.21%,1.34%,4.09%,0.00%
Cost Of Revenues,(0.43%),1.37%,1.43%,3.38%,0.00%
Gross Profit,(4.01%),3.29%,1.23%,5.00%,0.00%
Selling General & Admin Expenses,1.04%,2.86%,(3.49%),5.22%,0.00%
Total Operating Expenses,1.04%,2.86%,(2.72%),5.17%,0.00%
Operating Income,(26.17%),5.85%,24.26%,4.22%,0.00%
Interest Expense,-1.85%,-3.76%,-29.49%,(17.51%),0.00%
Net Interest Expenses,-1.85%,-3.76%,-29.49%,(17.51%),0.00%
Currency Exchange Gains (Loss),,(25.00%),-66.00%,(305.88%),0.00%
Other Non Operating Income (Expenses),15.26%,(2.11%),2.73%,(77.43%),0.00%
"EBT, Excl. Unusual Items",(28.06%),6.58%,29.92%,1.38%,0.00%
"EBT, Incl. Unusual Items",(29.58%),6.73%,14.85%,2.08%,0.00%
Income Tax Expense,(83.97%),193.64%,14.79%,4.74%,0.00%
Earnings From Continuing Operations,3.46%,(10.86%),14.88%,1.26%,0.00%
Net Income to Company,3.46%,(10.86%),14.88%,1.26%,0.00%
Net Income,3.46%,(10.86%),14.88%,1.26%,0.00%
NI to Common Incl Extra Items,3.46%,(10.86%),14.88%,1.26%,0.00%
NI to Common Excl. Extra Items,3.46%,(10.86%),14.88%,1.26%,0.00%
Revenue Per Share,(2.40%),2.37%,5.43%,7.30%,0.00%
Basic EPS,3.03%,(10.73%),19.48%,4.39%,0.00%
Basic EPS - Continuing Ops,3.03%,(10.73%),19.48%,4.39%,0.00%
Basic Weighted Average Shares Outst.,0.39%,(0.16%),(3.88%),(2.99%),0.00%
Diluted EPS,3.55%,(10.75%),19.37%,4.39%,0.00%
Diluted EPS - Continuing Ops,3.55%,(10.75%),19.37%,4.39%,0.00%
Diluted Weighted Average Shares Outst.,0.34%,(0.16%),(3.82%),(3.04%),0.00%
Normalized Basic EPS,(28.32%),6.65%,35.18%,4.44%,0.00%
Normalized Diluted EPS,(28.35%),6.74%,35.18%,4.54%,0.00%
Dividend Per Share,0.00%,0.00%,0.00%,316.67%,0.00%
Payout Ratio,(2.73%),12.11%,(15.96%),223.76%,0.00%
EBITDA,(20.60%),2.77%,17.53%,4.39%,0.00%
EBITA,(24.75%),4.35%,21.39%,4.04%,0.00%
EBIT,(26.17%),5.85%,24.26%,4.22%,0.00%
EBITDAR,(14.03%),,,2.01%,
Effective Tax Rate,(77.24%),175.20%,(0.07%),2.62%,0.00%
Normalized Net Income,(28.06%),6.58%,29.92%,1.38%,0.00%
