Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7517.0,7447.0,7785.0,7769.0,7607.0,7607.0
Total Revenues,7517.0,7447.0,7785.0,7769.0,7607.0,7607.0
Fuel & Purchased Power,1497.0,1444.0,1544.0,1432.0,1266.0,1266.0
Operations And Maintenance,1830.0,1764.0,1957.0,1944.0,1887.0,1887.0
Depreciation & Amortization,926.0,1008.0,1094.0,1199.0,1287.0,1287.0
Other Operating Expenses,216.0,163.0,81.0,33.0,74.0,74.0
Total Operating Expenses,4469.0,4379.0,4676.0,4608.0,4514.0,4514.0
Operating Income,3048.0,3068.0,3109.0,3161.0,3093.0,3093.0
"Interest Expense, Total",(888.0),(901.0),(963.0),(994.0),"(1,001.0)","(1,001.0)"
Interest and Investment Income,3.0,2.0,6.0,16.0,10.0,10.0
Net Interest Expenses,(885.0),(899.0),(957.0),(978.0),(991.0),(991.0)
Allow. For Equity Funds Used For Const.,19.0,16.0,21.0,23.0,20.0,20.0
Other Non-Operating Inc. (Exp.),(133.0),71.0,(80.0),(23.0),(3.0),(3.0)
"EBT, Excl. Unusual Items",2252.0,1912.0,2285.0,2224.0,2272.0,2272.0
Other Unusual Items,298.0,,,(69.0),(301.0),(301.0)
"EBT, Incl. Unusual Items",2550.0,1912.0,2285.0,2155.0,1971.0,1971.0
Income Tax Expense,648.0,784.0,458.0,409.0,502.0,502.0
Earnings From Continuing Operations,1902.0,1128.0,1827.0,1746.0,1469.0,1469.0
Net Income to Company,1902.0,1128.0,1827.0,1746.0,1469.0,1469.0
Net Income,1902.0,1128.0,1827.0,1746.0,1469.0,1469.0
Pref. Dividends and Other Adj.,6.0,2.0,2.0,1.0,1.0,1.0
NI to Common Incl Extra Items,1896.0,1126.0,1825.0,1745.0,1468.0,1468.0
NI to Common Excl. Extra Items,1896.0,1126.0,1825.0,1745.0,1468.0,1468.0
Revenue Per Share,$11.09,$10.87,$11.05,$10.66,$9.90,$9.90
Basic EPS,$2.80,$1.64,$2.59,$2.40,$1.91,$1.91
Basic EPS - Continuing Ops,$2.80,$1.64,$2.59,$2.40,$1.91,$1.91
Basic Weighted Average Shares Outst.,677.6,685.2,704.4,728.5,768.6,768.6
Diluted EPS,$2.79,$1.64,$2.58,$2.37,$1.91,$1.91
Diluted EPS - Continuing Ops,$2.79,$1.64,$2.58,$2.37,$1.91,$1.91
Diluted Weighted Average Shares Outst.,680.4,687.3,708.6,736.8,769.4,769.4
Normalized Basic EPS,$2.08,$1.74,$2.03,$1.91,$1.85,$1.85
Normalized Diluted EPS,$2.07,$1.74,$2.02,$1.89,$1.85,$1.85
Dividend Per Share,$1.52,$1.58,$1.64,$1.65,$1.66,$1.66
Payout Ratio,54.15%,95.04%,62.01%,68.27%,86.79%,86.79%
EBITDA,4054.0,4173.0,4281.0,4441.0,4452.0,4452.0
EBITA,3128.0,3165.0,3187.0,3242.0,3165.0,3165.0
EBIT,3048.0,3068.0,3109.0,3161.0,3093.0,3093.0
EBITDAR,4104.0,,,4481.0,4491.0,4491.0
Effective Tax Rate,25.4%,41.0%,20.0%,19.0%,25.5%,25.5%
Normalized Net Income,1407.5,1195.0,1428.1,1390.0,1420.0,1420.0
Interest Capitalized,11.0,11.0,15.0,10.0,9.0,9.0
Interest on Long-Term Debt,,14.0,21.0,24.0,33.0,33.0
Foreign Sales,2207.0,2091.0,2268.0,2167.0,2133.0,2133.0
