Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.80%,2.74%,(2.45%),9.97%,0.00%
Total Revenues,3.80%,2.74%,(2.45%),9.97%,0.00%
Fuel & Purchased Power,85.50%,10.94%,(52.13%),10.39%,0.00%
Operations And Maintenance,(1.50%),(1.60%),7.67%,19.77%,0.00%
Depreciation & Amortization,1.69%,(8.33%),(7.54%),13.70%,0.00%
Other Operating Expenses,(8.76%),(4.80%),3.86%,(38.00%),0.00%
Total Operating Expenses,3.10%,2.98%,(4.64%),7.95%,0.00%
Operating Income,7.11%,1.61%,7.59%,18.16%,0.00%
"Interest Expense, Total",(8.38%),(12.06%),(12.51%),(7.48%),0.00%
Interest and Investment Income,133.33%,242.86%,54.17%,(45.95%),0.00%
Net Interest Expenses,(7.85%),(9.92%),(11.31%),(9.62%),0.00%
Allow. For Equity Funds Used For Const.,,,(2.88%),19.80%,0.00%
Other Non-Operating Inc. (Exp.),(16.98%),,(20.00%),,0.00%
"EBT, Excl. Unusual Items",5.04%,(2.11%),4.77%,24.70%,0.00%
Impairment of Goodwill,,,(31.58%),(36.00%),0.00%
Gain (Loss) on Sale of Assets,,,(28.57%),"2,560.00%",
Other Unusual Items,,,-84.75%,(308.85%),0.00%
"EBT, Incl. Unusual Items",(43.76%),,,(56.86%),0.00%
Income Tax Expense,58.76%,,-62.38%,(9.71%),0.00%
Earnings From Continuing Operations,(57.83%),,,(42.45%),0.00%
Net Income to Company,(58.22%),,,(42.45%),0.00%
Minority Interest,133.33%,(33.33%),,,
Net Income,(56.90%),,,(42.45%),0.00%
NI to Common Incl Extra Items,(56.90%),,,(42.45%),0.00%
NI to Common Excl. Extra Items,(56.51%),,,(42.45%),0.00%
Revenue Per Share,3.79%,2.74%,(6.48%),0.25%,0.00%
Basic EPS,(56.89%),,,(47.59%),0.00%
Basic EPS - Continuing Ops,(56.45%),,,(47.59%),0.00%
Basic Weighted Average Shares Outst.,0.00%,0.00%,4.29%,9.71%,0.00%
Diluted EPS,(56.78%),,,(47.48%),0.00%
Diluted EPS - Continuing Ops,(56.35%),,,(47.48%),0.00%
Diluted Weighted Average Shares Outst.,(0.61%),(0.61%),4.60%,9.68%,0.00%
Normalized Basic EPS,6.28%,(2.74%),(1.12%),13.54%,0.00%
Normalized Diluted EPS,6.75%,(2.10%),(1.41%),13.62%,0.00%
Dividend Per Share,12.75%,8.86%,1.85%,3.83%,0.00%
Payout Ratio,162.06%,,,99.07%,0.00%
EBITDA,4.60%,(2.53%),1.07%,15.82%,0.00%
EBITA,7.11%,1.61%,7.59%,18.16%,0.00%
EBIT,7.11%,1.61%,7.59%,18.16%,0.00%
EBITDAR,9.69%,,,7.38%,
Effective Tax Rate,182.19%,79.31%,,,0.00%
Normalized Net Income,6.27%,(2.77%),3.26%,24.70%,0.00%
Interest Capitalized,21.74%,57.14%,43.18%,(15.87%),
