Income Statement,Aug 2016,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,32882.7,36176.8,40992.5,43215.0,44327.0,45676.9
Total Revenues,32882.7,36176.8,40992.5,43215.0,44327.0,45676.9
Cost Of Revenues,22605.3,25105.3,28499.2,29900.3,30350.9,31214.1
Gross Profit,10277.4,11071.5,12493.4,13314.7,13976.2,14462.8
Selling General & Admin Expenses,5467.0,5928.1,6594.6,7009.6,7462.5,7661.1
Other Operating Expense/(Income),0.0,,,,,
Total Operating Expenses,5467.0,5928.1,6594.6,7009.6,7462.5,7661.1
Operating Income,4810.4,5143.4,5898.8,6305.1,6513.6,6801.6
Interest Expense,(16.3),(15.5),(19.5),(23.0),(33.1),(36.8)
Interest And Investment Income,30.5,37.9,56.3,87.5,69.3,39.6
Net Interest Expenses,14.2,22.4,36.8,64.5,36.3,2.8
Currency Exchange Gains (Loss),(84.3),66.7,(114.1),(112.1),111.6,191.3
Other Non Operating Income (Expenses),,,(13.4),(5.7),(219.2),(114.3)
"EBT, Excl. Unusual Items",4740.4,5232.5,5808.1,6251.8,6442.3,6881.4
"EBT, Incl. Unusual Items",5603.6,4616.0,5808.1,6251.8,6774.3,7213.4
Income Tax Expense,1254.0,981.1,1593.5,1405.6,1589.0,1671.8
Earnings From Continuing Operations,4349.6,3634.9,4214.6,4846.2,5185.3,5541.6
Net Income to Company,4349.6,3634.9,4214.6,4846.2,5185.3,5541.6
Minority Interest,(237.7),(189.8),(154.7),(67.1),(77.5),(84.3)
Net Income,4111.9,3445.1,4059.9,4779.1,5107.8,5457.3
NI to Common Incl Extra Items,4111.9,3445.1,4059.9,4779.1,5107.8,5457.3
NI to Common Excl. Extra Items,4111.9,3445.1,4059.9,4779.1,5107.8,5457.3
Revenue Per Share,$52.63,$58.34,$65.23,$67.72,$69.66,$71.87
Basic EPS,$6.58,$5.56,$6.46,$7.49,$8.03,$8.59
Basic EPS - Continuing Ops,$6.58,$5.56,$6.46,$7.49,$8.03,$8.59
Basic Weighted Average Shares Outst.,624.8,620.1,628.5,638.1,636.3,635.6
Diluted EPS,$6.45,$5.44,$6.34,$7.36,$7.89,$8.45
Diluted EPS - Continuing Ops,$6.45,$5.44,$6.34,$7.36,$7.89,$8.45
Diluted Weighted Average Shares Outst.,667.8,660.5,655.3,650.2,647.8,646.6
Normalized Basic EPS,$4.36,$4.97,$5.53,$6.02,$6.21,$6.63
Normalized Diluted EPS,$4.08,$4.66,$5.30,$5.91,$6.10,$6.52
Dividend Per Share,$2.31,$2.54,$2.79,$2.26,$3.28,$3.44
Payout Ratio,33.37%,43.50%,41.16%,38.96%,39.84%,39.12%
EBITDA,5256.1,5655.6,6492.4,6923.0,7235.4,7588.8
EBITA,4928.3,5292.8,6069.0,6482.2,6753.3,7073.1
EBIT,4810.4,5143.4,5898.8,6305.1,6513.6,6801.6
EBITDAR,5807.8,6243.7,,,8139.0,
Effective Tax Rate,22.4%,21.3%,27.4%,22.5%,23.5%,23.2%
Normalized Net Income,2725.0,3080.6,3475.4,3840.2,3949.0,4216.6
R&D Expense From Footnotes,643.4,704.3,790.8,799.7,870.6,870.6
Foreign Earnings,,,5898.8,6305.1,6513.6,
Foreign Sales,22648.0,35815.1,40582.6,42782.9,43883.8,
