Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,4.08%,8.69%,7.03%,(6.31%),(6.86%)
Total Interest Income,4.54%,8.78%,5.97%,(7.27%),(7.72%)
Interest On Deposits,33.33%,60.26%,78.80%,(59.73%),(72.81%)
Total Interest On Borrowings,10.71%,62.21%,14.77%,(53.47%),(58.43%)
Total Interest Expense,19.17%,61.39%,41.36%,(56.76%),(66.24%)
Net Interest Income,3.23%,3.35%,0.27%,3.98%,4.38%
Service Charges On Deposits,2.86%,3.95%,2.68%,(14.81%),(18.03%)
Trust Income,7.98%,2.17%,3.40%,4.12%,4.84%
Total Mortgage Banking Activities,(13.87%),(8.05%),18.98%,104.29%,74.02%
Gain (Loss) on Sale of Invest. & Securities,216.67%,(94.74%),,,
Total Other Non Interest Income,(1.90%),5.45%,8.62%,12.10%,36.47%
Total Non Interest Income,0.41%,2.55%,5.17%,13.05%,21.50%
Revenue Before Loan Losses,2.22%,3.07%,1.98%,7.25%,10.50%
Provision For Loan Losses,(42.75%),52.67%,69.00%,243.67%,21.82%
Total Revenues,4.49%,1.70%,(0.80%),(9.46%),9.04%
Salaries And Other Employee Benefits,1.87%,1.89%,1.31%,8.39%,13.14%
Occupancy Expense,(6.97%),(19.08%),(28.36%),(5.00%),(19.29%)
Total Selling General & Admin Expenses,3.44%,(2.91%),18.63%,4.69%,4.09%
Total Other Non Interest Expense,2.83%,2.75%,(8.26%),(6.84%),(1.96%)
Total Non Interest Expense,1.17%,(1.02%),(1.57%),3.37%,5.70%
"EBT, Excl. Unusual Items",11.30%,6.77%,0.54%,(31.23%),15.70%
Restructuring Charges,-59.49%,(125.00%),-58.33%,(106.67%),(70.59%)
Other Unusual Items,,700.00%,,(33.33%),(46.67%)
"EBT, Incl. Unusual Items",11.78%,5.11%,1.53%,(33.80%),14.32%
Income Tax Expense,21.37%,(37.48%),4.13%,(45.41%),5.29%
Earnings From Continuing Operations,7.54%,26.35%,0.89%,(30.85%),16.59%
Earnings Of Discontinued Operations,144.44%,768.18%,,,
Net Income to Company,8.60%,39.27%,(10.06%),(30.85%),16.59%
Net Income,8.60%,39.27%,(10.06%),(30.85%),16.59%
Preferred Dividend and Other Adjustments,0.00%,0.00%,23.44%,30.38%,25.58%
Net Income to Common Incl Extra Items,9.10%,41.37%,(11.33%),(34.07%),15.98%
Net Income to Common Excl. Extra Items,7.98%,27.78%,(0.07%),(34.07%),15.98%
Revenue Per Share,10.49%,10.55%,8.92%,(6.06%),11.23%
Basic EPS,14.88%,53.68%,(2.55%),(31.57%),18.31%
Basic EPS - Continuing Ops,14.07%,39.12%,9.46%,(31.57%),18.31%
Basic Weighted Average Shares Outst.,(5.50%),(7.93%),(8.88%),(3.62%),(1.97%)
Diluted EPS,14.75%,53.33%,(1.96%),(31.33%),18.23%
Diluted EPS - Continuing Ops,13.95%,38.78%,10.29%,(31.33%),18.23%
Diluted Weighted Average Shares Outst.,(5.00%),(8.01%),(9.35%),(3.70%),(1.76%)
Normalized Basic EPS,17.24%,15.56%,9.92%,(28.92%),18.02%
Normalized Diluted EPS,17.45%,15.66%,10.44%,(28.59%),17.77%
Dividend Per Share,21.15%,43.75%,28.26%,5.08%,2.48%
Payout Ratio,(0.91%),(9.63%),41.38%,53.85%,
Effective Tax Rate,8.58%,(40.52%),2.54%,(17.52%),(7.89%)
Normalized Net Income,11.30%,6.77%,0.54%,(31.23%),15.70%
Interest on Long-Term Debt,8.16%,51.89%,9.01%,(49.29%),
