Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,6086.5,6613.8,7159.0,7070.1,6971.5,6971.5
Total Revenues,6086.5,6613.8,7159.0,7070.1,6971.5,6971.5
Cost Of Revenues,4386.8,4801.6,5243.5,5166.0,5048.2,5048.2
Gross Profit,1699.7,1812.2,1915.5,1904.1,1923.3,1923.3
Selling General & Admin Expenses,1012.1,988.6,1015.2,994.4,936.9,936.9
R&D Expenses,89.7,93.4,98.2,92.6,112.8,112.8
Total Operating Expenses,1101.8,1082.0,1113.4,1087.0,1049.7,1049.7
Operating Income,597.9,730.2,802.1,817.1,873.6,873.6
Interest Expense,(59.9),(63.0),(58.5),(75.8),(70.0),(70.0)
Net Interest Expenses,(59.9),(63.0),(58.5),(75.8),(70.0),(70.0)
Currency Exchange Gains (Loss),4.1,(42.9),(27.0),3.5,(14.2),(14.2)
Other Non Operating Income (Expenses),,(3.5),1.8,(0.6),(2.2),(2.2)
"EBT, Excl. Unusual Items",542.1,620.8,716.4,741.6,783.5,783.5
"EBT, Incl. Unusual Items",477.1,589.5,552.8,246.9,733.6,733.6
Income Tax Expense,156.4,307.7,85.4,(56.7),177.7,177.7
Earnings From Continuing Operations,320.7,281.8,467.4,303.6,555.9,555.9
Net Income to Company,320.7,281.8,467.4,303.6,555.9,555.9
Net Income,320.7,281.8,467.4,303.6,555.9,555.9
NI to Common Incl Extra Items,320.7,281.8,467.4,303.6,555.9,555.9
NI to Common Excl. Extra Items,320.7,281.8,467.4,303.6,555.9,555.9
Revenue Per Share,$68.31,$74.90,$82.00,$84.17,$83.59,$83.59
Basic EPS,$3.60,$3.19,$5.35,$3.61,$6.67,$6.67
Basic EPS - Continuing Ops,$3.60,$3.19,$5.35,$3.61,$6.67,$6.67
Basic Weighted Average Shares Outst.,89.1,88.3,87.3,84.0,83.4,83.4
Diluted EPS,$3.54,$3.13,$5.28,$3.57,$6.61,$6.61
Diluted EPS - Continuing Ops,$3.54,$3.13,$5.28,$3.57,$6.61,$6.61
Diluted Weighted Average Shares Outst.,90.7,90.1,88.6,85.0,84.1,84.1
Normalized Basic EPS,$3.80,$4.39,$5.13,$5.52,$5.87,$5.87
Normalized Diluted EPS,$3.74,$4.31,$5.05,$5.45,$5.82,$5.82
Dividend Per Share,$1.60,$1.76,$2.01,$2.26,$2.36,$2.36
Payout Ratio,44.43%,55.18%,37.44%,62.48%,35.40%,35.40%
EBITDA,740.1,879.6,962.9,975.3,1049.9,1049.9
EBITA,622.6,753.0,821.4,835.0,895.7,895.7
EBIT,597.9,730.2,802.1,817.1,873.6,873.6
EBITDAR,798.1,943.6,1028.9,1040.7,1113.0,1113.0
Effective Tax Rate,32.8%,52.2%,15.4%,NM,24.2%,24.2%
Normalized Net Income,338.8,388.0,447.8,463.5,489.7,489.7
Interest Capitalized,3.6,4.9,5.3,5.3,3.9,3.9
R&D Expense From Footnotes,89.7,93.4,98.2,92.6,112.8,112.8
Foreign Sales,4560.9,5056.0,5533.9,5431.3,5287.9,5287.9
