Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.65%,8.68%,14.83%,7.13%,11.01%
Total Revenues,14.65%,8.68%,14.83%,7.13%,11.01%
Cost Of Revenues,11.01%,6.69%,12.50%,6.26%,6.50%
Gross Profit,23.48%,13.01%,19.63%,8.81%,19.92%
Selling General & Admin Expenses,6.20%,14.25%,26.91%,5.93%,11.35%
Depreciation & Amortization,11.60%,23.65%,5.35%,12.10%,11.92%
Other Operating Expense/(Income),1.17%,4.22%,8.39%,41.46%,46.36%
Total Operating Expenses,3.88%,10.26%,14.92%,22.48%,27.03%
Operating Income,386.17%,23.90%,36.20%,(31.78%),(3.35%)
Interest Expense,,(47.25%),(245.71%),-70.10%,(46.90%)
Interest And Investment Income,46.57%,99.59%,52.58%,(74.22%),(90.96%)
Net Interest Expenses,36.52%,103.44%,42.30%,(74.75%),
"EBT, Excl. Unusual Items",365.75%,25.27%,36.37%,(33.02%),(6.54%)
"EBT, Incl. Unusual Items",611.80%,(2.65%),70.72%,(35.90%),(9.47%)
Income Tax Expense,529.64%,(7.65%),17.68%,,
Earnings From Continuing Operations,668.39%,0.17%,98.33%,1.60%,20.11%
Net Income to Company,668.39%,0.17%,98.33%,1.60%,20.11%
Net Income,668.39%,0.17%,98.33%,1.60%,20.11%
NI to Common Incl Extra Items,668.39%,0.17%,98.33%,1.60%,20.11%
NI to Common Excl. Extra Items,668.39%,0.17%,98.33%,1.60%,20.11%
Revenue Per Share,17.77%,11.29%,15.17%,6.45%,10.08%
Basic EPS,693.11%,2.51%,98.79%,0.98%,19.10%
Basic EPS - Continuing Ops,693.11%,2.51%,98.79%,0.98%,19.10%
Basic Weighted Average Shares Outst.,(2.64%),(2.34%),(0.30%),0.64%,0.85%
Diluted EPS,701.30%,2.27%,96.20%,1.13%,19.43%
Diluted EPS - Continuing Ops,701.30%,2.27%,96.20%,1.13%,19.43%
Diluted Weighted Average Shares Outst.,(4.06%),(2.10%),1.19%,0.43%,0.47%
Normalized Basic EPS,376.82%,28.31%,36.86%,(33.47%),(7.33%)
Normalized Diluted EPS,386.62%,27.87%,34.84%,(33.32%),(6.98%)
EBITDA,118.49%,23.81%,24.95%,(18.29%),1.64%
EBITA,386.17%,23.90%,36.20%,(31.78%),(3.35%)
EBIT,386.17%,23.90%,36.20%,(31.78%),(3.35%)
EBITDAR,68.21%,16.34%,15.14%,(9.99%),
Effective Tax Rate,(11.55%),(5.13%),(31.07%),,
Normalized Net Income,365.75%,25.27%,36.37%,(33.02%),(6.54%)
