Income Statement,Oct 2017,Oct 2018,Nov 2019,Nov 2020,TTM
Revenues,10.68%,28.84%,4.60%,(10.36%),(4.88%)
Other Revenues,0.77%,24.51%,9.58%,(2.42%),(4.61%)
Total Revenues,9.50%,28.37%,5.13%,(9.48%),(4.85%)
Cost Of Revenues,9.31%,27.09%,6.05%,(11.61%),(9.15%)
Gross Profit,10.14%,32.57%,2.25%,(2.53%),9.27%
Selling General & Admin Expenses,9.61%,16.16%,3.83%,(8.68%),(6.97%)
R&D Expenses,(2.66%),22.21%,7.48%,(10.83%),(13.34%)
Other Operating Expense/(Income),(99.23%),"27,000.00%",(67.90%),(18.39%),
Total Operating Expenses,1.37%,25.30%,1.06%,(9.64%),(8.23%)
Operating Income,24.29%,42.14%,3.63%,5.52%,28.35%
Interest Expense,(1.23%),(16.52%),-13.43%,(31.47%),(44.05%)
Interest And Investment Income,6.25%,(17.65%),78.57%,4.00%,4.00%
Net Interest Expenses,(0.85%),(19.25%),-18.50%,(34.78%),(49.01%)
Currency Exchange Gains (Loss),,,(50.51%),25.77%,
"EBT, Excl. Unusual Items",16.54%,59.88%,2.25%,2.89%,23.58%
"EBT, Incl. Unusual Items",40.89%,30.93%,0.27%,(6.67%),20.19%
Income Tax Expense,38.69%,77.86%,(50.67%),27.00%,86.63%
Earnings From Continuing Operations,41.90%,9.82%,37.37%,(15.47%),5.62%
Net Income to Company,41.90%,9.82%,37.37%,(15.47%),5.62%
Minority Interest,,,(33.33%),-50.00%,-66.67%
Net Income,41.68%,9.68%,37.37%,(15.43%),5.68%
NI to Common Incl Extra Items,41.74%,9.68%,37.37%,(15.43%),5.68%
NI to Common Excl. Extra Items,41.74%,9.68%,37.37%,(15.43%),5.68%
Revenue Per Share,8.02%,27.13%,7.16%,(8.61%),(4.32%)
Basic EPS,39.91%,8.59%,40.03%,(14.64%),6.27%
Basic EPS - Continuing Ops,39.91%,8.59%,40.03%,(14.64%),6.27%
Basic Weighted Average Shares Outst.,1.36%,0.97%,(1.89%),(0.95%),(0.56%)
Diluted EPS,38.88%,8.38%,40.19%,(14.38%),6.57%
Diluted EPS - Continuing Ops,38.88%,8.38%,40.19%,(14.38%),6.57%
Diluted Weighted Average Shares Outst.,2.12%,1.24%,(2.05%),(1.25%),(0.91%)
Normalized Basic EPS,14.79%,58.18%,4.16%,3.99%,24.38%
Normalized Diluted EPS,13.96%,57.79%,4.40%,4.22%,24.82%
Dividend Per Share,0.00%,7.50%,17.83%,0.00%,0.00%
Payout Ratio,(29.17%),(3.82%),(14.84%),19.87%,(6.26%)
EBITDA,18.68%,31.32%,4.01%,(11.80%),3.68%
EBITA,24.26%,44.67%,3.76%,5.23%,27.76%
EBIT,24.29%,42.14%,3.63%,5.52%,28.35%
EBITDAR,17.36%,,,,
Effective Tax Rate,(1.55%),35.86%,(50.80%),36.10%,55.28%
Normalized Net Income,16.34%,59.69%,2.22%,2.97%,23.68%
Interest Capitalized,0.00%,33.33%,75.00%,(14.29%),
R&D Expense From Footnotes,(1.49%),20.76%,7.54%,(7.80%),(11.99%)
Foreign Earnings,76.83%,242.99%,(1.36%),(2.49%),
Foreign Sales,20.60%,224.98%,7.25%,(9.47%),
