Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.57%,(47.70%),4.72%,(25.91%),0.00%
Total Revenues,4.57%,(47.70%),4.72%,(25.91%),0.00%
Cost Of Revenues,5.41%,(49.97%),1.45%,(26.04%),0.00%
Gross Profit,1.52%,(39.25%),14.78%,(25.55%),0.00%
Selling General & Admin Expenses,(1.73%),(54.17%),5.64%,(28.16%),0.00%
R&D Expenses,(16.15%),(62.39%),(31.71%),(39.29%),0.00%
Depreciation & Amortization,2.99%,(43.01%),(6.05%),(5.42%),0.00%
Total Operating Expenses,(1.31%),(50.43%),(1.87%),(19.46%),0.00%
Operating Income,5.23%,(25.49%),28.42%,(29.36%),0.00%
Interest Expense,-0.60%,-23.99%,-10.34%,(12.72%),0.00%
Interest And Investment Income,18.75%,15.79%,9.09%,(79.17%),0.00%
Net Interest Expenses,-1.24%,-25.58%,-11.55%,(19.75%),0.00%
Currency Exchange Gains (Loss),25.00%,,-44.44%,,0.00%
Other Non Operating Income (Expenses),,,,(143.48%),0.00%
"EBT, Excl. Unusual Items",8.03%,(20.72%),39.53%,(50.90%),0.00%
"EBT, Incl. Unusual Items",13.53%,(8.94%),(50.93%),(18.57%),0.00%
Income Tax Expense,(63.14%),(78.13%),(29.41%),,0.00%
Earnings From Continuing Operations,-93.03%,,(59.22%),67.46%,0.00%
Earnings Of Discontinued Operations,,,3.30%,(85.47%),0.00%
Net Income to Company,-92.14%,,(26.79%),(44.47%),0.00%
Net Income,-92.14%,,(26.79%),(44.47%),0.00%
Preferred Dividend and Other Adjustments,(23.19%),(96.23%),0.00%,0.00%,0.00%
NI to Common Incl Extra Items,-87.43%,,(26.88%),(44.66%),0.00%
NI to Common Excl. Extra Items,-88.77%,,(59.61%),68.55%,0.00%
Revenue Per Share,1.54%,(51.17%),13.43%,(24.01%),0.00%
Basic EPS,-87.81%,,(21.10%),(43.30%),0.00%
Basic EPS - Continuing Ops,-89.09%,,(56.56%),71.59%,0.00%
Basic Weighted Average Shares Outst.,2.97%,7.10%,(7.66%),(2.47%),0.00%
Diluted EPS,-87.81%,,(21.47%),(41.20%),0.00%
Diluted EPS - Continuing Ops,-89.09%,,(57.14%),77.78%,0.00%
Diluted Weighted Average Shares Outst.,2.97%,11.53%,(7.95%),(5.18%),0.00%
Normalized Basic EPS,5.41%,(25.72%),51.60%,(49.77%),0.00%
Normalized Diluted EPS,5.41%,(28.67%),51.95%,(48.01%),0.00%
Dividend Per Share,166.67%,0.00%,(50.00%),(83.33%),0.00%
Payout Ratio,,,(34.59%),(65.26%),
EBITDA,(22.62%),(16.19%),14.76%,(31.74%),0.00%
EBITA,5.44%,(25.10%),26.72%,(29.44%),0.00%
EBIT,5.23%,(25.49%),28.42%,(29.36%),0.00%
EBITDAR,(21.46%),(16.60%),13.75%,(31.20%),
Effective Tax Rate,(67.53%),(75.98%),43.88%,,0.00%
Normalized Net Income,8.03%,(20.72%),39.53%,(50.90%),0.00%
Interest Capitalized,(31.25%),4.55%,43.48%,(66.67%),
R&D Expense From Footnotes,(16.15%),(62.39%),(31.71%),(39.29%),0.00%
Foreign Sales,4.86%,(26.71%),1.45%,(30.50%),
