Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,42.36%,7.32%,6.49%,2.44%,7.67%
Total Revenues,42.36%,7.32%,6.49%,2.44%,7.67%
Cost Of Revenues,32.71%,7.06%,8.21%,2.74%,8.04%
Gross Profit,64.54%,7.79%,3.33%,1.87%,6.95%
Selling General & Admin Expenses,58.44%,5.42%,1.12%,2.98%,5.77%
Depreciation & Amortization,249.83%,12.86%,5.35%,7.07%,5.81%
Total Operating Expenses,100.92%,8.30%,2.82%,4.67%,5.78%
Operating Income,2.61%,6.11%,5.04%,(7.43%),10.93%
Interest Expense,(140.28%),(19.65%),(7.97%),-6.94%,-7.67%
Interest And Investment Income,75.00%,14.29%,12.50%,(33.33%),(44.44%)
Net Interest Expenses,(142.14%),(19.76%),(7.88%),-6.39%,-6.91%
Currency Exchange Gains (Loss),,50.00%,(50.00%),,
Other Non Operating Income (Expenses),,-72.92%,(200.00%),-87.18%,
"EBT, Excl. Unusual Items",(32.36%),6.01%,(10.43%),1.52%,45.94%
"EBT, Incl. Unusual Items",(26.21%),12.83%,0.00%,10.79%,55.39%
Income Tax Expense,,,96.61%,(37.93%),7.61%
Earnings From Continuing Operations,"1,389.66%",(78.09%),(20.07%),35.68%,72.91%
Net Income to Company,"1,389.66%",(78.09%),(20.07%),35.68%,72.91%
Minority Interest,(26.67%),(31.58%),(44.00%),-19.44%,-30.56%
Net Income,"1,673.61%",(79.72%),(26.25%),46.07%,90.23%
NI to Common Incl Extra Items,"1,673.61%",(79.72%),(26.25%),46.07%,90.23%
NI to Common Excl. Extra Items,"1,673.61%",(79.72%),(26.25%),46.07%,90.23%
Revenue Per Share,(2.55%),14.73%,11.20%,4.48%,9.06%
Basic EPS,"1,121.50%",(78.30%),(22.91%),48.82%,92.69%
Basic EPS - Continuing Ops,"1,121.50%",(78.30%),(22.91%),48.82%,92.69%
Basic Weighted Average Shares Outst.,46.08%,(6.47%),(4.22%),(1.95%),(1.28%)
Diluted EPS,"1,121.28%",(78.40%),(22.58%),48.96%,93.22%
Diluted EPS - Continuing Ops,"1,121.28%",(78.40%),(22.58%),48.96%,93.22%
Diluted Weighted Average Shares Outst.,46.45%,(6.47%),(4.13%),(2.30%),(1.67%)
Normalized Basic EPS,(55.38%),10.84%,(12.13%),7.27%,61.09%
Normalized Diluted EPS,(55.45%),11.46%,(11.96%),7.22%,61.73%
EBITDA,64.55%,8.00%,4.79%,(2.71%),4.98%
EBITA,65.09%,8.65%,4.97%,(3.25%),5.87%
EBIT,2.61%,6.11%,5.04%,(7.43%),10.93%
EBITDAR,63.50%,7.15%,4.12%,(1.69%),
Effective Tax Rate,,,96.62%,(43.98%),(30.75%)
Normalized Net Income,(34.75%),3.99%,(15.86%),5.10%,59.04%
Foreign Sales,58.02%,5.47%,2.76%,21.07%,
