Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,2.01%,4.21%,0.31%,(1.11%),(0.19%)
Total Revenues,2.01%,4.21%,0.31%,(1.11%),(0.19%)
Cost Of Revenues,(0.36%),8.16%,(0.81%),(0.71%),(4.11%)
Gross Profit,2.61%,3.24%,0.60%,(1.21%),0.80%
Selling General & Admin Expenses,2.88%,4.47%,0.61%,(5.11%),(9.81%)
R&D Expenses,6.32%,(1.12%),(0.95%),0.68%,2.29%
Other Operating Expense/(Income),,,433.33%,218.75%,224.32%
Total Operating Expenses,2.67%,3.07%,0.48%,(3.00%),(5.54%)
Operating Income,2.54%,3.45%,0.76%,1.04%,8.65%
Interest Expense,(22.56%),(12.63%),(2.81%),-3.99%,(21.76%)
Interest And Investment Income,49.44%,49.63%,(9.23%),(51.74%),(77.24%)
Net Interest Expenses,(7.00%),-17.30%,(20.44%),(48.69%),(72.53%)
Currency Exchange Gains (Loss),(38.18%),-51.32%,(50.00%),(66.67%),-16.47%
Other Non Operating Income (Expenses),-63.41%,,,(6.02%),-47.77%
"EBT, Excl. Unusual Items",2.55%,6.66%,(2.47%),(3.30%),3.17%
"EBT, Incl. Unusual Items",2.08%,6.37%,(1.26%),(1.67%),2.50%
Income Tax Expense,(12.32%),296.63%,(86.59%),62.70%,
Earnings From Continuing Operations,6.19%,(62.05%),208.98%,(8.55%),19.25%
Net Income to Company,6.19%,(62.05%),208.98%,(8.55%),19.25%
Net Income,6.19%,(62.05%),208.98%,(8.55%),19.25%
NI to Common Incl Extra Items,6.19%,(62.05%),208.98%,(8.55%),19.25%
NI to Common Excl. Extra Items,6.19%,(62.05%),208.98%,(8.55%),19.25%
Revenue Per Share,4.60%,4.10%,13.72%,11.93%,9.10%
Basic EPS,8.86%,(62.16%),250.55%,3.49%,30.35%
Basic EPS - Continuing Ops,8.86%,(62.16%),250.55%,3.49%,30.35%
Basic Weighted Average Shares Outst.,(2.51%),0.15%,(11.82%),(11.64%),(8.52%)
Diluted EPS,8.21%,(62.05%),249.41%,3.70%,31.44%
Diluted EPS - Continuing Ops,8.21%,(62.05%),249.41%,3.70%,31.44%
Diluted Weighted Average Shares Outst.,(2.04%),0.50%,(11.94%),(11.74%),(8.84%)
Normalized Basic EPS,5.08%,6.50%,10.65%,9.48%,12.77%
Normalized Diluted EPS,4.91%,6.42%,10.54%,9.73%,13.17%
Dividend Per Share,6.67%,18.75%,6.58%,18.52%,0.00%
Payout Ratio,(2.50%),214.43%,(69.78%),14.52%,(22.83%)
EBITDA,5.54%,5.02%,(3.70%),1.63%,7.91%
EBITA,4.97%,4.25%,(4.40%),0.74%,7.77%
EBIT,2.54%,3.45%,0.76%,1.04%,8.65%
EBITDAR,6.86%,,,,
Effective Tax Rate,(14.11%),272.79%,(86.42%),65.45%,
Normalized Net Income,2.55%,6.66%,(2.47%),(3.30%),3.17%
R&D Expense From Footnotes,(3.04%),(1.12%),13.13%,(0.39%),(0.57%)
Foreign Sales,0.77%,5.60%,(0.68%),(1.29%),
