Income Statement,Feb 2017,Feb 2018,Feb 2019,Jan 2020,Jan 2021,TTM
Revenues,65017.0,68619.0,71309.0,72148.0,89597.0,89597.0
Total Revenues,65017.0,68619.0,71309.0,72148.0,89597.0,89597.0
Cost Of Revenues,43343.0,46185.0,48401.0,49048.0,60015.0,60015.0
Gross Profit,21674.0,22434.0,22908.0,23100.0,29582.0,29582.0
Selling General & Admin Expenses,14328.0,14444.0,16461.0,15282.0,17292.0,17292.0
Depreciation & Amortization,1453.0,1404.0,1477.0,1239.0,1398.0,1398.0
Total Operating Expenses,15781.0,15848.0,17938.0,16521.0,18690.0,18690.0
Operating Income,5893.0,6586.0,4970.0,6579.0,10892.0,10892.0
Interest Expense,(657.0),(652.0),(652.0),(718.0),(872.0),(872.0)
Interest And Investment Income,12.0,19.0,28.0,27.0,24.0,24.0
Net Interest Expenses,(645.0),(633.0),(624.0),(691.0),(848.0),(848.0)
"EBT, Excl. Unusual Items",5248.0,5953.0,4346.0,5888.0,10044.0,10044.0
"EBT, Incl. Unusual Items",5201.0,5489.0,3394.0,5623.0,7739.0,7739.0
Income Tax Expense,2108.0,2042.0,1080.0,1342.0,1904.0,1904.0
Earnings From Continuing Operations,3093.0,3447.0,2314.0,4281.0,5835.0,5835.0
Net Income to Company,3093.0,3447.0,2314.0,4281.0,5835.0,5835.0
Net Income,3093.0,3447.0,2314.0,4281.0,5835.0,5835.0
Preferred Dividend and Other Adjustments,31.0,11.0,7.0,13.0,24.0,24.0
NI to Common Incl Extra Items,3062.0,3436.0,2307.0,4268.0,5811.0,5811.0
NI to Common Excl. Extra Items,3062.0,3436.0,2307.0,4268.0,5811.0,5811.0
Revenue Per Share,$73.88,$81.79,$87.93,$92.85,$119.78,$119.78
Basic EPS,$3.48,$4.10,$2.84,$5.49,$7.77,$7.77
Basic EPS - Continuing Ops,$3.48,$4.10,$2.84,$5.49,$7.77,$7.77
Basic Weighted Average Shares Outst.,880.0,839.0,811.0,777.0,748.0,748.0
Diluted EPS,$3.47,$4.09,$2.84,$5.49,$7.75,$7.75
Diluted EPS - Continuing Ops,$3.47,$4.09,$2.84,$5.49,$7.75,$7.75
Diluted Weighted Average Shares Outst.,881.0,840.0,812.0,778.0,750.0,750.0
Normalized Basic EPS,$3.73,$4.43,$3.35,$4.74,$8.39,$8.39
Normalized Diluted EPS,$3.72,$4.43,$3.35,$4.73,$8.37,$8.37
Dividend Per Share,$1.33,$1.58,$1.85,$2.13,$2.30,$2.30
Payout Ratio,36.24%,37.37%,62.88%,37.79%,29.20%,29.20%
EBITDA,7483.0,8126.0,6577.0,7966.0,12485.0,12485.0
EBITA,5893.0,6586.0,4970.0,6579.0,10892.0,10892.0
EBIT,5893.0,6586.0,4970.0,6579.0,10892.0,10892.0
EBITDAR,8032.0,,,8864.0,13388.0,13388.0
Effective Tax Rate,40.5%,37.2%,31.8%,23.9%,24.6%,24.6%
Normalized Net Income,3280.0,3720.6,2716.3,3680.0,6277.5,6277.5
Interest Capitalized,4.0,5.0,3.0,1.0,,
Interest on Long-Term Debt,636.0,638.0,640.0,698.0,839.0,839.0
Foreign Sales,3684.0,5356.0,5437.0,5001.0,5294.0,5294.0
