Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,30.30%,16.46%,7.14%,(12.88%),(13.63%)
Total Interest Income,30.43%,15.03%,6.38%,(13.19%),(13.76%)
Interest On Deposits,76.47%,117.22%,49.62%,(66.32%),
Total Interest On Borrowings,55.90%,47.01%,9.21%,(43.92%),(40.53%)
Total Interest Expense,63.88%,76.33%,30.00%,(57.19%),(85.41%)
Net Interest Income,26.72%,6.23%,0.75%,0.34%,7.07%
Service Charges On Deposits,8.95%,3.12%,2.20%,(19.09%),(23.92%)
Trust Income,26.83%,9.62%,4.09%,6.18%,7.18%
Total Mortgage Banking Activities,2.34%,(17.56%),54.63%,119.16%,87.16%
Gain (Loss) on Sale of Assets,,,,(64.29%),0.00%
Gain (Loss) on Sale of Invest. & Securities,,(325.00%),(64.71%),-82.14%,-82.76%
Total Other Non Interest Income,16.26%,4.72%,7.45%,(0.43%),(1.96%)
Total Non Interest Income,13.65%,1.38%,9.43%,9.45%,7.71%
Revenue Before Loan Losses,22.45%,4.76%,3.30%,3.17%,7.28%
Provision For Loan Losses,5.24%,16.92%,22.13%,265.16%,(17.25%)
Total Revenues,23.44%,4.16%,2.27%,(14.01%),11.30%
Salaries And Other Employee Benefits,15.16%,6.55%,6.08%,2.80%,7.24%
Amort. of Goodwill & Intang. Assets,86.67%,(5.36%),(7.55%),(16.33%),(14.89%)
Occupancy Expense,15.94%,15.00%,(38.04%),(4.39%),(3.57%)
Total Selling General & Admin Expenses,14.74%,(0.76%),12.17%,7.55%,10.93%
Total Other Non Interest Expense,30.59%,(0.45%),0.00%,(4.52%),7.91%
Total Non Interest Expense,18.03%,3.55%,2.49%,2.72%,7.22%
"EBT, Excl. Unusual Items",33.56%,5.17%,1.90%,(41.41%),19.77%
"EBT, Incl. Unusual Items",51.52%,16.79%,1.90%,(41.41%),19.44%
Income Tax Expense,0.00%,12.98%,5.53%,(37.50%),26.67%
Earnings From Continuing Operations,66.57%,17.45%,1.29%,(42.10%),18.17%
Net Income to Company,66.57%,17.45%,1.29%,(42.10%),18.17%
Net Income,66.57%,17.45%,1.29%,(42.10%),18.17%
Preferred Dividend and Other Adjustments,16.92%,(7.89%),5.71%,35.14%,54.79%
Net Income to Common Incl Extra Items,71.56%,19.19%,1.06%,(46.37%),15.56%
Net Income to Common Excl. Extra Items,71.56%,19.19%,1.06%,(46.37%),15.56%
Revenue Per Share,2.91%,4.39%,6.37%,(12.12%),12.88%
Basic EPS,42.13%,19.93%,5.49%,(45.35%),17.20%
Basic EPS - Continuing Ops,42.13%,19.93%,5.49%,(45.35%),17.20%
Basic Weighted Average Shares Outst.,19.93%,(0.29%),(3.95%),(2.09%),(1.39%)
Diluted EPS,43.46%,20.00%,5.83%,(45.67%),16.10%
Diluted EPS - Continuing Ops,43.46%,20.00%,5.83%,(45.67%),16.10%
Diluted Weighted Average Shares Outst.,23.66%,(2.66%),(4.51%),(2.22%),(1.35%)
Normalized Basic EPS,11.50%,5.71%,6.18%,(40.27%),21.46%
Normalized Diluted EPS,7.79%,8.23%,6.72%,(39.97%),21.41%
Dividend Per Share,20.69%,42.86%,16.00%,3.45%,1.69%
Payout Ratio,(14.66%),17.01%,13.44%,79.67%,
Effective Tax Rate,(34.01%),(3.25%),3.59%,6.67%,6.05%
Normalized Net Income,33.56%,5.17%,1.90%,(41.41%),19.77%
Interest on Long-Term Debt,44.87%,42.04%,8.72%,(38.97%),
