Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,1816.1,1943.0,2138.0,2336.3,2682.9,2801.0
Total Revenues,1816.1,1943.0,2138.0,2336.3,2682.9,2801.0
Cost Of Revenues,256.5,237.4,258.7,266.4,305.5,315.0
Gross Profit,1559.6,1705.6,1879.3,2070.0,2377.4,2486.0
Selling General & Admin Expenses,519.2,553.3,573.1,621.5,670.9,684.3
R&D Expenses,735.3,804.2,884.8,935.9,1033.7,1063.1
Total Operating Expenses,1272.6,1372.3,1472.0,1569.5,1722.6,1765.8
Operating Income,287.0,333.4,407.3,500.4,654.8,720.1
Interest Expense,(23.7),(25.7),(23.1),(18.8),(20.7),(20.3)
Interest And Investment Income,2.9,3.9,8.1,9.5,3.8,3.8
Net Interest Expenses,(20.8),(21.8),(15.1),(9.3),(16.9),(16.5)
Currency Exchange Gains (Loss),6.9,(2.9),(5.6),(4.1),4.4,4.4
Other Non Operating Income (Expenses),2.3,6.3,(1.9),4.7,4.7,11.9
"EBT, Excl. Unusual Items",275.4,315.0,384.7,491.7,646.9,719.9
"EBT, Incl. Unusual Items",237.2,315.0,376.4,479.0,632.7,705.0
Income Tax Expense,34.1,110.9,30.6,(510.0),42.1,51.2
Earnings From Continuing Operations,203.1,204.1,345.8,989.0,590.6,653.8
Net Income to Company,203.1,204.1,345.8,989.0,590.6,653.8
Net Income,203.1,204.1,345.8,989.0,590.6,653.8
NI to Common Incl Extra Items,203.1,204.1,345.8,989.0,590.6,653.8
NI to Common Excl. Extra Items,203.1,204.1,345.8,989.0,590.6,653.8
Revenue Per Share,$6.38,$7.14,$7.81,$8.55,$9.80,$10.23
Basic EPS,$0.71,$0.75,$1.26,$3.62,$2.16,$2.39
Basic EPS - Continuing Ops,$0.71,$0.75,$1.26,$3.62,$2.16,$2.39
Basic Weighted Average Shares Outst.,284.5,272.1,273.7,273.2,273.7,273.9
Diluted EPS,$0.70,$0.73,$1.23,$3.53,$2.11,$2.34
Diluted EPS - Continuing Ops,$0.70,$0.73,$1.23,$3.53,$2.11,$2.34
Diluted Weighted Average Shares Outst.,291.3,280.2,281.1,280.5,279.6,279.9
Normalized Basic EPS,$0.60,$0.72,$0.88,$1.12,$1.48,$1.64
Normalized Diluted EPS,$0.59,$0.70,$0.86,$1.10,$1.45,$1.61
EBITDA,406.5,448.9,526.0,623.2,800.4,868.7
EBITA,347.4,389.9,460.6,553.5,719.0,784.8
EBIT,287.0,333.4,407.3,500.4,654.8,720.1
EBITDAR,434.8,481.0,559.7,657.9,840.2,
Effective Tax Rate,14.4%,35.2%,8.1%,NM,6.7%,7.3%
Normalized Net Income,172.1,196.9,240.5,307.3,404.3,450.0
Interest on Long-Term Debt,23.7,25.7,23.1,18.8,20.7,
R&D Expense From Footnotes,735.3,804.2,884.8,935.9,1033.7,1063.1
Foreign Sales,983.5,1113.6,1213.4,1353.9,1586.6,
