Income Statement,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,2.38%,3.05%,5.73%,6.48%,10.86%
Total Revenues,2.38%,3.05%,5.73%,6.48%,10.86%
Cost Of Revenues,2.43%,1.91%,4.79%,6.59%,11.87%
Gross Profit,2.33%,4.08%,6.55%,6.37%,10.00%
Selling General & Admin Expenses,3.13%,4.92%,8.24%,2.73%,3.36%
Total Operating Expenses,3.13%,4.92%,8.24%,2.73%,3.36%
Operating Income,0.95%,2.61%,3.51%,13.23%,22.70%
Interest Expense,(5.35%),(13.97%),(6.68%),(7.62%),(5.53%)
Interest And Investment Income,47.70%,60.94%,31.23%,(23.08%),(23.08%)
Net Interest Expenses,(4.67%),(12.90%),(5.89%),(8.85%),(6.63%)
"EBT, Excl. Unusual Items",0.67%,1.78%,3.30%,13.63%,24.22%
"EBT, Incl. Unusual Items",0.67%,(15.02%),24.14%,9.12%,17.50%
Income Tax Expense,(4.03%),(53.65%),38.59%,16.77%,25.24%
Earnings From Continuing Operations,3.21%,4.42%,20.91%,7.16%,15.48%
Net Income to Company,3.21%,4.42%,20.91%,7.16%,15.48%
Net Income,3.21%,4.42%,20.91%,7.16%,15.48%
NI to Common Incl Extra Items,3.21%,4.42%,20.91%,7.16%,15.48%
NI to Common Excl. Extra Items,3.21%,4.42%,20.91%,7.16%,15.48%
Revenue Per Share,7.63%,8.63%,14.21%,12.92%,15.57%
Basic EPS,8.51%,10.09%,30.62%,13.64%,20.38%
Basic EPS - Continuing Ops,8.51%,10.09%,30.62%,13.64%,20.38%
Basic Weighted Average Shares Outst.,(4.88%),(5.14%),(7.43%),(5.71%),(4.07%)
Diluted EPS,8.28%,10.66%,30.06%,13.40%,20.66%
Diluted EPS - Continuing Ops,8.28%,10.66%,30.06%,13.40%,20.66%
Diluted Weighted Average Shares Outst.,(4.67%),(5.65%),(7.02%),(5.51%),(4.28%)
Normalized Basic EPS,5.82%,7.29%,11.59%,20.52%,29.49%
Normalized Diluted EPS,5.60%,7.88%,11.12%,20.26%,29.78%
EBITDA,1.92%,3.17%,4.03%,12.40%,20.01%
EBITA,0.95%,2.61%,3.71%,13.20%,22.76%
EBIT,0.95%,2.61%,3.51%,13.23%,22.70%
EBITDAR,2.57%,3.29%,4.19%,11.75%,
Effective Tax Rate,(4.67%),(45.46%),11.64%,6.99%,6.59%
Normalized Net Income,0.67%,1.78%,3.30%,13.63%,24.22%
Interest Capitalized,37.18%,20.69%,(2.26%),(20.67%),
