Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,43.37%,4.94%,4.88%,5.10%,0.00%
Total Revenues,43.37%,4.94%,4.88%,5.10%,0.00%
Cost Of Revenues,19.63%,64.84%,5.49%,2.75%,0.00%
Gross Profit,61.56%,(29.06%),4.08%,8.24%,0.00%
Selling General & Admin Expenses,96.44%,(75.18%),9.23%,(0.51%),0.00%
Depreciation & Amortization,53.29%,(2.55%),(3.80%),(2.24%),0.00%
Total Operating Expenses,73.07%,(40.34%),(0.98%),(1.83%),0.00%
Operating Income,21.50%,26.84%,15.88%,28.30%,0.00%
Interest Expense,(23.65%),(14.56%),(7.26%),(1.34%),0.00%
Net Interest Expenses,(23.65%),(14.56%),(7.26%),(1.34%),0.00%
Other Non Operating Income (Expenses),(22.47%),,-52.73%,-71.15%,0.00%
"EBT, Excl. Unusual Items",13.94%,39.96%,35.42%,68.40%,0.00%
"EBT, Incl. Unusual Items",25.37%,64.01%,44.19%,76.96%,0.00%
Income Tax Expense,(210.67%),,143.89%,42.60%,0.00%
Earnings From Continuing Operations,170.09%,(85.11%),32.27%,84.54%,0.00%
Net Income to Company,170.09%,(85.11%),32.27%,84.54%,0.00%
Minority Interest,-1.35%,(25.45%),(17.39%),(40.12%),0.00%
Net Income,180.95%,(87.57%),35.61%,93.17%,0.00%
NI to Common Incl Extra Items,180.95%,(87.57%),35.61%,93.17%,0.00%
NI to Common Excl. Extra Items,180.95%,(87.57%),35.61%,93.17%,0.00%
Revenue Per Share,15.35%,15.94%,11.02%,13.46%,0.00%
Basic EPS,126.06%,(86.26%),43.65%,108.52%,0.00%
Basic EPS - Continuing Ops,126.06%,(86.26%),43.65%,108.52%,0.00%
Basic Weighted Average Shares Outst.,24.30%,(9.49%),(5.53%),(7.38%),0.00%
Diluted EPS,113.72%,(84.69%),42.72%,106.71%,0.00%
Diluted EPS - Continuing Ops,113.72%,(84.69%),42.72%,106.71%,0.00%
Diluted Weighted Average Shares Outst.,26.37%,(20.62%),(4.98%),(6.49%),0.00%
Normalized Basic EPS,(3.53%),59.67%,48.66%,89.27%,0.00%
Normalized Diluted EPS,(4.81%),82.13%,47.97%,87.23%,0.00%
EBITDA,42.27%,6.15%,3.16%,9.90%,0.00%
EBITA,28.54%,12.51%,8.66%,17.75%,0.00%
EBIT,21.50%,26.84%,15.88%,28.30%,0.00%
EBITDAR,39.50%,6.11%,5.94%,9.65%,
Effective Tax Rate,,,69.09%,(19.43%),0.00%
Normalized Net Income,20.11%,44.76%,40.60%,75.18%,0.00%
