Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2931.2,3881.7,4363.5,8200.0,7556.1,7556.1
Total Revenues,2931.2,3881.7,4363.5,8200.0,7556.1,7556.1
Cost Of Revenues,2006.9,2804.4,3129.6,5699.0,5375.0,5375.0
Gross Profit,924.2,1077.3,1233.9,2501.0,2181.1,2181.1
Selling General & Admin Expenses,364.1,472.7,624.2,964.7,867.1,867.1
R&D Expenses,71.4,95.2,87.5,209.9,162.1,162.1
Total Operating Expenses,458.1,604.4,751.5,1413.0,1311.6,1311.6
Operating Income,466.1,472.9,482.4,1088.0,869.5,869.5
Interest Expense,(50.3),(79.9),(112.2),(219.1),(198.9),(198.9)
Net Interest Expenses,(50.3),(79.9),(112.2),(219.1),(198.9),(198.9)
Currency Exchange Gains (Loss),(4.0),(6.6),(5.7),(13.5),(8.2),(8.2)
Other Non Operating Income (Expenses),0.6,3.1,1.2,(1.7),0.1,0.1
"EBT, Excl. Unusual Items",412.8,392.1,367.6,861.8,672.2,672.2
"EBT, Incl. Unusual Items",412.8,352.1,367.6,446.8,557.2,557.2
Income Tax Expense,99.4,89.8,75.9,120.3,144.9,144.9
Earnings From Continuing Operations,313.4,262.3,291.7,326.5,412.3,412.3
Net Income to Company,313.4,262.3,291.7,326.5,412.3,412.3
Minority Interest,(8.5),,3.2,0.2,2.1,2.1
Net Income,304.9,262.3,294.9,326.7,414.4,414.4
Preferred Dividend and Other Adjustments,0.9,0.7,0.7,1.4,1.2,1.2
NI to Common Incl Extra Items,304.0,261.6,294.2,325.3,413.2,413.2
NI to Common Excl. Extra Items,304.0,261.6,294.2,325.3,413.2,413.2
Revenue Per Share,$32.44,$40.65,$45.45,$48.09,$39.79,$39.79
Basic EPS,$3.36,$2.74,$3.06,$1.91,$2.18,$2.18
Basic EPS - Continuing Ops,$3.36,$2.74,$3.06,$1.91,$2.18,$2.18
Basic Weighted Average Shares Outst.,90.4,95.5,96.0,170.5,189.9,189.9
Diluted EPS,$3.34,$2.72,$3.05,$1.84,$2.17,$2.17
Diluted EPS - Continuing Ops,$3.34,$2.72,$3.05,$1.84,$2.17,$2.17
Diluted Weighted Average Shares Outst.,91.1,96.1,96.5,177.3,190.4,190.4
Normalized Basic EPS,$2.76,$2.57,$2.43,$3.16,$2.22,$2.22
Normalized Diluted EPS,$2.74,$2.55,$2.41,$3.04,$2.22,$2.22
Dividend Per Share,$0.36,$0.44,$0.48,$0.48,$0.48,$0.48
Payout Ratio,10.64%,16.09%,15.70%,25.01%,22.32%,22.32%
EBITDA,535.9,576.1,591.7,1407.2,1254.6,1254.6
EBITA,488.8,509.4,522.2,1244.2,1063.7,1063.7
EBIT,466.1,472.9,482.4,1088.0,869.5,869.5
EBITDAR,563.1,,,1461.7,1311.6,1311.6
Effective Tax Rate,24.1%,25.5%,20.6%,26.9%,26.0%,26.0%
Normalized Net Income,249.5,245.1,233.0,538.8,422.2,422.2
R&D Expense From Footnotes,71.4,95.2,87.5,209.9,162.1,162.1
Foreign Sales,1568.9,2557.9,2903.2,4819.0,4395.4,4395.4
