Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.64%,7.73%,2.49%,2.54%,0.00%
Total Revenues,8.64%,7.73%,2.49%,2.54%,0.00%
Cost Of Revenues,7.36%,8.87%,1.30%,1.32%,0.00%
Gross Profit,9.60%,6.89%,3.37%,3.44%,0.00%
Selling General & Admin Expenses,7.52%,1.99%,0.96%,(0.78%),0.00%
R&D Expenses,7.64%,9.95%,2.04%,(2.67%),0.00%
Total Operating Expenses,7.97%,3.47%,1.29%,(0.32%),0.00%
Operating Income,12.25%,12.26%,6.39%,8.60%,0.00%
Interest Expense,(16.98%),(5.26%),(8.40%),(3.22%),0.00%
Net Interest Expenses,(16.98%),(5.26%),(8.40%),(3.22%),0.00%
Currency Exchange Gains (Loss),,,(265.00%),(23.29%),0.00%
Other Non Operating Income (Expenses),,,348.66%,22.53%,0.00%
"EBT, Excl. Unusual Items",12.62%,11.84%,6.50%,8.91%,0.00%
"EBT, Incl. Unusual Items",13.89%,13.52%,4.53%,9.88%,0.00%
Income Tax Expense,65.45%,(29.76%),(13.62%),21.38%,0.00%
Earnings From Continuing Operations,(2.18%),36.34%,9.46%,7.42%,0.00%
Net Income to Company,(2.18%),36.34%,9.46%,7.42%,0.00%
Net Income,(2.18%),36.34%,9.46%,7.42%,0.00%
NI to Common Incl Extra Items,(2.18%),36.34%,9.46%,7.42%,0.00%
NI to Common Excl. Extra Items,(2.18%),36.34%,9.46%,7.42%,0.00%
Revenue Per Share,12.04%,9.85%,5.19%,5.49%,0.00%
Basic EPS,0.91%,39.05%,12.34%,10.50%,0.00%
Basic EPS - Continuing Ops,0.91%,39.05%,12.34%,10.50%,0.00%
Basic Weighted Average Shares Outst.,(3.03%),(1.94%),(2.57%),(2.79%),0.00%
Diluted EPS,0.14%,39.61%,13.03%,10.86%,0.00%
Diluted EPS - Continuing Ops,0.14%,39.61%,13.03%,10.86%,0.00%
Diluted Weighted Average Shares Outst.,(2.33%),(2.32%),(3.13%),(3.10%),0.00%
Normalized Basic EPS,16.13%,14.02%,9.28%,12.00%,0.00%
Normalized Diluted EPS,15.30%,14.50%,9.93%,12.38%,0.00%
EBITDA,12.04%,12.42%,6.29%,8.48%,0.00%
EBITA,12.62%,12.49%,6.36%,8.51%,0.00%
EBIT,12.25%,12.26%,6.39%,8.60%,0.00%
EBITDAR,11.69%,12.05%,6.01%,8.14%,
Effective Tax Rate,45.25%,(38.12%),(17.36%),10.48%,0.00%
Normalized Net Income,12.62%,11.84%,6.50%,8.91%,0.00%
R&D Expense From Footnotes,7.64%,9.95%,2.04%,(2.67%),0.00%
Foreign Sales,8.49%,9.00%,1.10%,20.29%,
