Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Total Interest and Dividend Income,25.23%,30.17%,22.70%,(21.94%),(28.21%)
Total Interest Expense,32.69%,31.17%,40.10%,(37.10%),(36.78%)
Net Interest Income,23.58%,29.94%,18.53%,(17.64%),(25.97%)
Brokerage Commission,(54.90%),3.04%,(10.82%),1.24%,4.28%
Trading and Principal Transactions,356.38%,(21.29%),8.51%,36.69%,42.33%
Asset Management Fee,528.20%,26.22%,10.64%,11.10%,11.44%
Underwriting & Invest. Banking Fee,61.43%,2.04%,18.96%,9.06%,28.33%
Other Revenue,31.78%,6.88%,2.74%,(11.95%),(15.84%)
Revenue Before Loan Losses,18.18%,13.53%,6.33%,3.56%,4.96%
Provision For Loan Losses,(53.85%),53.85%,10.00%,959.09%,"6,125.00%"
Total Revenues,18.56%,13.45%,6.32%,0.83%,1.83%
Salaries & Other Empl. Benefits,16.65%,13.41%,6.09%,7.43%,8.53%
Cost of Services Provided,18.53%,15.96%,6.99%,(2.07%),(3.59%)
Other Operating Expenses,49.12%,(33.24%),13.99%,(19.49%),(15.47%)
Total Operating Expenses,18.67%,10.62%,6.55%,4.80%,5.69%
Operating Income,17.97%,28.54%,5.24%,(17.58%),(15.70%)
Currency Exchange Gains (Loss),(651.31%),,38.89%,,0.00%
"EBT, Excl. Unusual Items",15.99%,32.96%,5.70%,(19.06%),(16.05%)
Gain (Loss) on Sale of Assets,,-77.78%,(275.00%),-53.33%,
"EBT, Incl. Unusual Items",13.92%,41.73%,4.88%,(23.49%),(22.11%)
Income Tax Expense,6.53%,57.09%,(24.89%),(31.38%),(34.10%)
Earnings From Continuing Operations,17.64%,34.75%,20.65%,(20.89%),(18.14%)
Net Income to Company,17.64%,34.75%,20.65%,(20.89%),(18.14%)
Net Income,20.15%,34.75%,20.65%,(20.89%),(18.14%)
Pref. Dividends and Other Adj.,(20.38%),0.00%,100.00%,(50.00%),(66.67%)
NI to Common Incl Extra Items,20.24%,34.80%,20.56%,(20.83%),(18.00%)
NI to Common Excl. Extra Items,20.24%,34.80%,20.56%,(20.83%),(18.00%)
Revenue Per Share,17.31%,11.89%,9.56%,3.32%,3.53%
Basic EPS,19.12%,32.99%,24.26%,(18.89%),(16.63%)
Basic EPS - Continuing Ops,19.12%,32.99%,24.26%,(18.89%),(16.63%)
Basic Weighted Average Shares Outst.,1.08%,1.40%,(2.96%),(2.41%),(1.65%)
Diluted EPS,18.63%,32.79%,24.70%,(18.69%),(16.39%)
Diluted EPS - Continuing Ops,18.63%,32.79%,24.70%,(18.69%),(16.39%)
Diluted Weighted Average Shares Outst.,1.44%,1.50%,(3.23%),(2.64%),(1.96%)
Normalized Basic EPS,17.21%,31.24%,8.86%,(17.05%),(14.64%)
Normalized Diluted EPS,16.80%,30.89%,9.29%,(16.83%),(14.37%)
Dividend Per Share,10.00%,25.00%,23.64%,8.82%,7.91%
Payout Ratio,(6.82%),(11.77%),4.83%,35.69%,30.93%
Effective Tax Rate,(6.49%),10.85%,(28.39%),(10.31%),(15.39%)
Normalized Net Income,18.50%,32.96%,5.70%,(19.06%),(16.05%)
Interest on Long-Term Debt,20.97%,(23.16%),0.00%,16.44%,
Foreign Sales,9.57%,18.18%,1.73%,2.84%,
