Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,33183.7,35864.7,38972.9,41717.0,32137.0,32137.0
Total Revenues,33183.7,35864.7,38972.9,41717.0,32137.0,32137.0
Cost Of Revenues,23565.8,25502.2,27831.2,26866.9,21628.4,21628.4
Gross Profit,9618.0,10362.5,11141.8,14850.0,10508.5,10508.5
Selling General & Admin Expenses,5768.5,6375.1,6923.6,10433.8,10438.3,10438.3
Total Operating Expenses,5768.5,6375.1,6923.6,10433.8,10438.3,10438.3
Operating Income,3849.5,3987.4,4218.2,4416.2,70.2,70.2
Interest Expense,(61.7),(64.3),(64.8),(59.1),(193.7),(193.7)
Interest And Investment Income,18.1,32.7,56.0,49.1,12.9,12.9
Net Interest Expenses,(43.5),(31.6),(8.9),(10.0),(180.7),(180.7)
"EBT, Excl. Unusual Items",3806.0,3955.8,4209.3,4406.2,(110.5),(110.5)
"EBT, Incl. Unusual Items",3723.0,3856.6,4173.2,4406.2,89.3,89.3
Income Tax Expense,1424.8,1248.6,1113.4,1134.0,(1.2),(1.2)
Earnings From Continuing Operations,2298.2,2607.9,3059.8,3272.2,90.5,90.5
Net Income to Company,2298.2,2607.9,3059.8,3272.2,90.5,90.5
Net Income,2298.2,2607.9,3059.8,3272.2,90.5,90.5
NI to Common Incl Extra Items,2298.2,2607.9,3059.8,3272.2,90.5,90.5
NI to Common Excl. Extra Items,2298.2,2607.9,3059.8,3272.2,90.5,90.5
Revenue Per Share,$25.31,$28.16,$31.40,$34.53,$26.78,$26.78
Basic EPS,$1.75,$2.05,$2.47,$2.71,$0.08,$0.08
Basic EPS - Continuing Ops,$1.75,$2.05,$2.47,$2.71,$0.08,$0.08
Basic Weighted Average Shares Outst.,1311.3,1273.7,1241.2,1208.2,1199.9,1199.9
Diluted EPS,$1.73,$2.02,$2.43,$2.67,$0.07,$0.07
Diluted EPS - Continuing Ops,$1.73,$2.02,$2.43,$2.67,$0.07,$0.07
Diluted Weighted Average Shares Outst.,1328.9,1292.2,1259.3,1226.5,1214.7,1214.7
Normalized Basic EPS,$1.81,$1.94,$2.12,$2.28,($0.06),($0.06)
Normalized Diluted EPS,$1.79,$1.91,$2.09,$2.25,($0.06),($0.06)
Dividend Per Share,$0.52,$0.63,$0.78,$0.92,$0.26,$0.26
Payout Ratio,28.33%,29.30%,30.15%,32.75%,307.57%,307.57%
EBITDA,4508.3,4713.4,5037.8,5283.5,941.0,941.0
EBITA,3849.5,3987.4,4218.2,4416.2,70.2,70.2
EBIT,3849.5,3987.4,4218.2,4416.2,70.2,70.2
EBITDAR,5908.3,,,8262.4,3924.4,3924.4
Effective Tax Rate,38.3%,32.4%,26.7%,25.7%,NM,NM
Normalized Net Income,2378.7,2472.4,2630.8,2753.9,(69.1),(69.1)
Interest Capitalized,7.5,4.9,4.3,2.3,5.4,5.4
Foreign Earnings,648.9,,,,,
Foreign Sales,7533.1,,,10012.1,6748.8,6748.8
