Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(3.40%),2.40%,1.49%,31.82%,12.50%
Total Revenues,(3.40%),2.40%,1.49%,31.82%,12.50%
Cost Of Revenues,(3.20%),3.80%,2.64%,29.68%,9.23%
Gross Profit,(4.16%),(2.88%),(3.11%),40.93%,26.34%
Selling General & Admin Expenses,(4.31%),(14.06%),3.95%,57.36%,14.53%
R&D Expenses,2.52%,5.21%,(11.97%),52.03%,19.39%
Other Operating Expense/(Income),-46.62%,(4.62%),-57.21%,(92.39%),(80.65%)
Total Operating Expenses,(0.37%),(13.46%),5.76%,56.22%,14.17%
Operating Income,(7.57%),7.37%,(10.03%),26.91%,40.91%
Interest Expense,-0.68%,(10.01%),-1.00%,-0.48%,-16.79%
Interest And Investment Income,(64.53%),7.38%,28.24%,32.14%,(25.35%)
Net Interest Expenses,(13.24%),(10.18%),-2.95%,-3.35%,-15.81%
Currency Exchange Gains (Loss),606.78%,,,110.00%,257.89%
"EBT, Excl. Unusual Items",(6.48%),(11.98%),1.94%,33.44%,53.63%
"EBT, Incl. Unusual Items",78.50%,(3.36%),(13.78%),33.38%,58.03%
Income Tax Expense,10.05%,(20.21%),44.36%,8.98%,27.03%
Earnings From Continuing Operations,112.35%,0.96%,(25.55%),42.96%,70.58%
Net Income to Company,112.35%,0.96%,(25.43%),40.97%,73.41%
Minority Interest,-42.37%,-32.94%,-36.84%,-38.89%,-11.48%
Net Income,131.05%,1.99%,(25.21%),42.31%,74.57%
Preferred Dividend and Other Adjustments,,(23.53%),(38.46%),(50.00%),33.33%
NI to Common Incl Extra Items,130.36%,2.06%,(25.18%),42.48%,74.60%
NI to Common Excl. Extra Items,130.36%,2.06%,(25.30%),44.51%,71.72%
Revenue Per Share,(2.73%),2.32%,(0.70%),(2.72%),1.13%
Basic EPS,132.09%,1.46%,(27.24%),6.22%,56.96%
Basic EPS - Continuing Ops,132.09%,1.46%,(27.36%),7.55%,54.37%
Basic Weighted Average Shares Outst.,(0.73%),0.06%,2.24%,35.56%,11.24%
Diluted EPS,128.57%,2.92%,(26.00%),6.16%,57.06%
Diluted EPS - Continuing Ops,128.57%,2.92%,(26.12%),7.50%,54.46%
Diluted Weighted Average Shares Outst.,(1.11%),(0.21%),1.90%,35.29%,11.35%
Normalized Basic EPS,(3.29%),(10.35%),1.80%,(1.48%),38.83%
Normalized Diluted EPS,(4.16%),(10.92%),1.50%,(1.58%),38.69%
Dividend Per Share,4.88%,4.65%,1.11%,0.00%,(1.06%)
Payout Ratio,(55.42%),5.15%,72.77%,(21.13%),(45.36%)
EBITDA,(5.23%),5.48%,(5.69%),38.35%,30.71%
EBITA,(6.19%),7.42%,(8.61%),42.03%,37.98%
EBIT,(7.57%),7.37%,(10.03%),26.91%,40.91%
EBITDAR,(4.85%),,,,
Effective Tax Rate,(38.35%),(17.44%),67.45%,(18.30%),(19.62%)
Normalized Net Income,(4.51%),(11.28%),2.91%,34.55%,54.43%
R&D Expense From Footnotes,(5.73%),5.21%,(11.97%),52.03%,19.39%
Foreign Sales,(14.13%),66.81%,1.49%,31.82%,
