Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.66%,11.22%,16.16%,2.78%,0.00%
Total Revenues,10.66%,11.22%,16.16%,2.78%,0.00%
Cost Of Revenues,10.19%,12.27%,14.89%,0.81%,0.00%
Gross Profit,11.19%,10.07%,17.59%,4.95%,0.00%
Selling General & Admin Expenses,6.50%,18.02%,23.62%,1.14%,0.00%
R&D Expenses,9.66%,33.68%,28.58%,8.63%,0.00%
Total Operating Expenses,6.81%,21.33%,25.20%,2.82%,0.00%
Operating Income,18.24%,(6.31%),3.26%,9.82%,0.00%
Interest Expense,-57.68%,-4.23%,(127.27%),-65.14%,0.00%
Net Interest Expenses,-57.68%,-4.23%,(127.27%),-65.14%,0.00%
Other Non Operating Income (Expenses),,176.17%,25.87%,(47.79%),0.00%
"EBT, Excl. Unusual Items",20.49%,(4.64%),3.25%,8.76%,0.00%
"EBT, Incl. Unusual Items",20.49%,(4.64%),2.55%,9.51%,0.00%
Income Tax Expense,,,58.31%,,0.00%
Earnings From Continuing Operations,49.14%,(13.04%),(0.63%),32.96%,0.00%
Net Income to Company,49.14%,(13.04%),(0.63%),32.96%,0.00%
Net Income,49.14%,(13.04%),(0.63%),32.96%,0.00%
NI to Common Incl Extra Items,49.14%,(13.04%),(0.63%),32.96%,0.00%
NI to Common Excl. Extra Items,49.14%,(13.04%),(0.63%),32.96%,0.00%
Revenue Per Share,8.20%,7.84%,15.56%,(0.81%),0.00%
Basic EPS,45.82%,(15.70%),(1.25%),28.40%,0.00%
Basic EPS - Continuing Ops,45.82%,(15.70%),(1.25%),28.40%,0.00%
Basic Weighted Average Shares Outst.,2.26%,3.14%,0.51%,3.61%,0.00%
Diluted EPS,47.95%,(14.81%),(0.82%),28.49%,0.00%
Diluted EPS - Continuing Ops,47.95%,(14.81%),(0.82%),28.49%,0.00%
Diluted Weighted Average Shares Outst.,0.73%,2.23%,(0.04%),3.54%,0.00%
Normalized Basic EPS,17.63%,(7.52%),2.89%,5.10%,0.00%
Normalized Diluted EPS,19.41%,(6.62%),3.21%,4.96%,0.00%
EBITDA,17.72%,(1.64%),6.23%,8.97%,0.00%
EBITA,16.69%,(4.22%),6.03%,8.67%,0.00%
EBIT,18.24%,(6.31%),3.26%,9.82%,0.00%
EBITDAR,,,7.27%,8.69%,
Effective Tax Rate,,,54.50%,,0.00%
Normalized Net Income,20.49%,(4.64%),3.25%,8.76%,0.00%
R&D Expense From Footnotes,9.66%,33.68%,29.05%,9.70%,0.00%
