Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,8.68%,8.32%,2.61%,(28.02%),(28.02%)
Total Revenues,8.68%,8.32%,2.61%,(28.02%),(28.02%)
Cost Of Revenues,4.89%,8.16%,3.96%,(25.77%),(25.77%)
Gross Profit,11.99%,8.46%,1.51%,(29.91%),(29.91%)
Selling General & Admin Expenses,15.86%,5.52%,4.08%,(16.66%),(16.66%)
Total Operating Expenses,15.86%,5.52%,4.08%,(16.66%),(16.66%)
Operating Income,(6.00%),25.31%,(10.88%),,
Interest Expense,(6.29%),-5.99%,-0.66%,(4.58%),(4.58%)
Interest And Investment Income,6.78%,(25.40%),12.77%,(20.75%),(20.75%)
Net Interest Expenses,(6.26%),-4.99%,-1.21%,(5.75%),(5.75%)
"EBT, Excl. Unusual Items",(6.62%),32.73%,(13.40%),,
"EBT, Incl. Unusual Items",(24.33%),52.02%,(42.75%),,
Income Tax Expense,,,(6.77%),,
Earnings From Continuing Operations,(2.30%),38.89%,(44.25%),,
Net Income to Company,(2.30%),38.89%,(44.25%),,
Minority Interest,466.67%,5.88%,22.22%,(36.36%),(36.36%)
Net Income,(2.04%),38.79%,(44.09%),,
NI to Common Incl Extra Items,(2.04%),38.79%,(44.09%),,
NI to Common Excl. Extra Items,(2.04%),38.79%,(44.09%),,
Revenue Per Share,12.32%,9.88%,5.79%,(24.98%),(24.99%)
Basic EPS,1.17%,40.79%,(42.38%),,
Basic EPS - Continuing Ops,1.17%,40.79%,(42.38%),,
Basic Weighted Average Shares Outst.,(3.24%),(1.42%),(3.01%),(4.04%),(4.04%)
Diluted EPS,0.74%,41.08%,(41.97%),,
Diluted EPS - Continuing Ops,0.74%,41.08%,(41.97%),,
Diluted Weighted Average Shares Outst.,(2.84%),(1.65%),(3.49%),(4.56%),(4.56%)
Normalized Basic EPS,(3.21%),34.39%,(10.55%),,
Normalized Diluted EPS,(3.50%),34.90%,(10.09%),,
Dividend Per Share,0.00%,0.00%,0.00%,(75.00%),(75.00%)
Payout Ratio,(0.33%),(29.68%),74.70%,,
EBITDA,(3.95%),18.43%,(8.91%),(74.98%),(74.98%)
EBITA,(8.13%),20.85%,(6.52%),,
EBIT,(6.00%),25.31%,(10.88%),,
EBITDAR,0.33%,14.30%,(4.06%),(51.18%),
Effective Tax Rate,,,62.73%,(28.54%),(28.53%)
Normalized Net Income,(6.28%),32.61%,(13.28%),,
Interest on Long-Term Debt,,,,(81.82%),
Foreign Sales,16.30%,11.91%,8.86%,(17.06%),
