Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.71%,12.21%,6.73%,(80.19%),0.00%
Total Revenues,10.71%,12.21%,6.73%,(80.19%),0.00%
Cost Of Revenues,7.49%,10.23%,8.47%,(53.78%),0.00%
Gross Profit,15.24%,14.81%,4.52%,,0.00%
Selling General & Admin Expenses,18.58%,16.10%,7.83%,(23.02%),0.00%
Depreciation & Amortization,18.32%,10.02%,15.17%,7.14%,0.00%
Total Operating Expenses,18.48%,13.69%,10.65%,(10.95%),0.00%
Operating Income,11.50%,16.19%,(2.82%),,0.00%
Interest Expense,(2.63%),(8.26%),-2.98%,(77.41%),0.00%
Net Interest Expenses,(2.63%),(8.26%),-2.98%,(77.41%),0.00%
Currency Exchange Gains (Loss),,,,(127.14%),0.00%
Other Non Operating Income (Expenses),,(66.33%),,,0.00%
"EBT, Excl. Unusual Items",14.22%,22.80%,(5.60%),,0.00%
"EBT, Incl. Unusual Items",20.35%,25.78%,(5.98%),,0.00%
Income Tax Expense,48.82%,34.68%,,,0.00%
Earnings From Continuing Operations,20.03%,25.66%,(2.58%),,0.00%
Net Income to Company,20.03%,25.66%,(2.58%),,0.00%
Net Income,20.03%,25.66%,(2.58%),,0.00%
NI to Common Incl Extra Items,20.03%,25.66%,(2.58%),,0.00%
NI to Common Excl. Extra Items,20.03%,25.66%,(2.58%),,0.00%
Revenue Per Share,10.27%,14.76%,10.75%,(83.29%),0.00%
Basic EPS,19.43%,28.58%,1.12%,,0.00%
Basic EPS - Continuing Ops,19.43%,28.58%,1.12%,,0.00%
Basic Weighted Average Shares Outst.,0.40%,(2.21%),(3.62%),18.52%,0.00%
Diluted EPS,19.06%,28.40%,1.18%,,0.00%
Diluted EPS - Continuing Ops,19.06%,28.40%,1.18%,,0.00%
Diluted Weighted Average Shares Outst.,0.69%,(2.18%),(3.54%),17.67%,0.00%
Normalized Basic EPS,14.01%,25.43%,(1.90%),,0.00%
Normalized Diluted EPS,13.32%,25.79%,(2.24%),,0.00%
EBITDA,13.28%,13.71%,2.56%,,0.00%
EBITA,12.18%,15.25%,(3.38%),,0.00%
EBIT,11.50%,16.19%,(2.82%),,0.00%
EBITDAR,,,6.87%,,
Effective Tax Rate,23.35%,7.37%,,,0.00%
Normalized Net Income,14.22%,22.80%,(5.60%),,0.00%
Interest Capitalized,(13.95%),4.83%,8.22%,(23.40%),
Interest on Long-Term Debt,,,,249.95%,
Foreign Sales,10.71%,12.21%,6.73%,(80.19%),
